,size,CRBL,HIPP
CRBL_black,988,NA,20
CRBL_blue,1654,NA,22
CRBL_brown,456,NA,5
CRBL_cyan,919,NA,15
CRBL_darkgrey,1552,NA,4
CRBL_darkred,538,NA,9
CRBL_darkturquoise,736,NA,18
CRBL_green,573,NA,10
CRBL_greenyellow,680,NA,5
CRBL_grey60,861,NA,9
CRBL_lightcyan,850,NA,8
CRBL_lightgreen,553,NA,16
CRBL_lightyellow,322,NA,24
CRBL_magenta,776,NA,12
CRBL_midnightblue,364,NA,1
CRBL_pink,858,NA,18
CRBL_purple,943,NA,21
CRBL_red,581,NA,17
CRBL_royalblue,556,NA,10
CRBL_salmon,733,NA,12
CRBL_tan,1049,NA,6
CRBL_turquoise,2041,NA,17
CRBL_yellow,569,NA,4
HIPP_black,630,10,NA
HIPP_blue,972,20,NA
HIPP_brown,710,29,NA
HIPP_cyan,527,7,NA
HIPP_darkgreen,373,10,NA
HIPP_darkgrey,402,25,NA
HIPP_darkorange,397,15,NA
HIPP_darkred,321,30,NA
HIPP_darkturquoise,346,28,NA
HIPP_green,455,21,NA
HIPP_greenyellow,441,17,NA
HIPP_grey60,607,16,NA
HIPP_lightcyan,597,16,NA
HIPP_lightgreen,1530,9,NA
HIPP_lightyellow,492,1,NA
HIPP_magenta,481,31,NA
HIPP_midnightblue,332,31,NA
HIPP_orange,525,18,NA
HIPP_paleturquoise,407,21,NA
HIPP_pink,433,23,NA
HIPP_purple,427,19,NA
HIPP_red,435,24,NA
HIPP_royalblue,675,4,NA
HIPP_saddlebrown,1296,6,NA
HIPP_salmon,351,33,NA
HIPP_skyblue,408,14,NA
HIPP_steelblue,503,12,NA
HIPP_tan,420,3,NA
HIPP_turquoise,2119,5,NA
HIPP_violet,365,10,NA
HIPP_white,551,2,NA
HIPP_yellow,624,22,NA
