,tissue,color,size,CRBL,SNIG
CRBL_black,CRBL,black,988,NA,10.6960495810554
CRBL_blue,CRBL,blue,1654,NA,32.1920077731983
CRBL_brown,CRBL,brown,456,NA,34.1344549871797
CRBL_cyan,CRBL,cyan,919,NA,11.8027797340705
CRBL_darkgrey,CRBL,darkgrey,1552,NA,13.8627863556497
CRBL_darkred,CRBL,darkred,538,NA,13.6598809921594
CRBL_darkturquoise,CRBL,darkturquoise,736,NA,9.82182863865553
CRBL_green,CRBL,green,573,NA,36.3475880833851
CRBL_greenyellow,CRBL,greenyellow,680,NA,42.7068658002233
CRBL_grey60,CRBL,grey60,861,NA,32.3782481001517
CRBL_lightcyan,CRBL,lightcyan,850,NA,17.1424906549035
CRBL_lightgreen,CRBL,lightgreen,553,NA,12.3663376292074
CRBL_lightyellow,CRBL,lightyellow,322,NA,1.7546269059409
CRBL_magenta,CRBL,magenta,776,NA,39.6985766623749
CRBL_midnightblue,CRBL,midnightblue,364,NA,38.8310376327725
CRBL_pink,CRBL,pink,858,NA,17.6344970941728
CRBL_purple,CRBL,purple,943,NA,12.9151961131441
CRBL_red,CRBL,red,581,NA,31.8183496852173
CRBL_royalblue,CRBL,royalblue,556,NA,16.9919080984593
CRBL_salmon,CRBL,salmon,733,NA,17.8793501504972
CRBL_tan,CRBL,tan,1049,NA,47.4110860156876
CRBL_turquoise,CRBL,turquoise,2041,NA,70.8895867456922
CRBL_yellow,CRBL,yellow,569,NA,37.6816525866229
SNIG_black,SNIG,black,1016,22.6319124626389,NA
SNIG_blue,SNIG,blue,2459,45.3477784321063,NA
SNIG_brown,SNIG,brown,1083,10.9562234426317,NA
SNIG_cyan,SNIG,cyan,1193,6.06779600945679,NA
SNIG_green,SNIG,green,1465,39.3783239823398,NA
SNIG_greenyellow,SNIG,greenyellow,1439,15.9846142667268,NA
SNIG_magenta,SNIG,magenta,1117,9.41077594405212,NA
SNIG_pink,SNIG,pink,1294,26.1790231523328,NA
SNIG_purple,SNIG,purple,625,29.4060386454157,NA
SNIG_red,SNIG,red,1435,17.8200557847978,NA
SNIG_salmon,SNIG,salmon,1091,7.33319965057631,NA
SNIG_turquoise,SNIG,turquoise,2953,90.4355277023658,NA
SNIG_yellow,SNIG,yellow,1982,41.4404434131115,NA
