,size,CRBL,THAL
CRBL_black,988,NA,22
CRBL_blue,1654,NA,20
CRBL_brown,456,NA,8
CRBL_cyan,919,NA,16
CRBL_darkgrey,1552,NA,10
CRBL_darkred,538,NA,4
CRBL_darkturquoise,736,NA,18
CRBL_green,573,NA,9
CRBL_greenyellow,680,NA,1
CRBL_grey60,861,NA,11
CRBL_lightcyan,850,NA,17
CRBL_lightgreen,553,NA,13
CRBL_lightyellow,322,NA,23
CRBL_magenta,776,NA,10
CRBL_midnightblue,364,NA,2
CRBL_pink,858,NA,19
CRBL_purple,943,NA,22
CRBL_red,581,NA,7
CRBL_royalblue,556,NA,5
CRBL_salmon,733,NA,16
CRBL_tan,1049,NA,8
CRBL_turquoise,2041,NA,15
CRBL_yellow,569,NA,4
THAL_black,1308,9,NA
THAL_blue,2188,5,NA
THAL_brown,1284,17,NA
THAL_cyan,729,19,NA
THAL_darkgreen,838,8,NA
THAL_darkred,1017,8,NA
THAL_greenyellow,458,15,NA
THAL_grey60,475,18,NA
THAL_lightcyan,1133,7,NA
THAL_lightgreen,966,6,NA
THAL_lightyellow,493,14,NA
THAL_magenta,746,19,NA
THAL_midnightblue,306,2,NA
THAL_pink,1035,12,NA
THAL_red,1241,5,NA
THAL_salmon,426,1,NA
THAL_tan,808,13,NA
THAL_turquoise,3072,3,NA
THAL_yellow,629,12,NA
