,size,CRBL,WHMT
CRBL_black,988,NA,20
CRBL_blue,1654,NA,20
CRBL_brown,456,NA,15
CRBL_cyan,919,NA,8
CRBL_darkgrey,1552,NA,2
CRBL_darkred,538,NA,9
CRBL_darkturquoise,736,NA,13
CRBL_green,573,NA,6
CRBL_greenyellow,680,NA,3
CRBL_grey60,861,NA,9
CRBL_lightcyan,850,NA,13
CRBL_lightgreen,553,NA,9
CRBL_lightyellow,322,NA,24
CRBL_magenta,776,NA,17
CRBL_midnightblue,364,NA,1
CRBL_pink,858,NA,19
CRBL_purple,943,NA,23
CRBL_red,581,NA,14
CRBL_royalblue,556,NA,6
CRBL_salmon,733,NA,18
CRBL_tan,1049,NA,12
CRBL_turquoise,2041,NA,15
CRBL_yellow,569,NA,4
WHMT_black,1184,15,NA
WHMT_blue,1315,12,NA
WHMT_brown,1360,14,NA
WHMT_cyan,1069,17,NA
WHMT_green,1230,8,NA
WHMT_greenyellow,550,16,NA
WHMT_grey60,972,13,NA
WHMT_lightcyan,708,3,NA
WHMT_magenta,658,9,NA
WHMT_midnightblue,463,1,NA
WHMT_pink,1110,4,NA
WHMT_purple,602,7,NA
WHMT_red,625,6,NA
WHMT_salmon,1303,9,NA
WHMT_tan,1046,8,NA
WHMT_turquoise,2677,2,NA
WHMT_yellow,2280,7,NA
