"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","grey60",TRUE,0.00905,100,763,18,0.024,0.18,"GO:0006475","BP",2,"internal protein amino acid acetylation",1,NA,5.43310810100379
"2","grey60",TRUE,0.00779,99,763,18,0.024,0.182,"GO:0018394","BP",2,"peptidyl-lysine acetylation",1,NA,5.41171691102247
"3","grey60",TRUE,0.00491,96,763,18,0.024,0.188,"GO:0018393","BP",2,"internal peptidyl-lysine acetylation",2,NA,5.46050707519191
"4","grey60",TRUE,0.00356,94,763,18,0.024,0.191,"GO:0016573","BP",2,"histone acetylation",3,NA,5.49440862686759
"5","grey60",TRUE,0.0029,254,763,33,0.043,0.13,"GO:0006352","BP",1,"DNA-templated transcription, initiation",1,NA,6.64613074084965
"6","grey60",TRUE,0.00568,226,763,30,0.039,0.133,"GO:0006367","BP",1,"transcription initiation from RNA polymerase II promoter",2,NA,7.15695636461564
"7","grey60",TRUE,0.0285,7129,763,428,0.561,0.06,"GO:0008152","BP",8,"metabolic process",1,NA,1.09105922272488
"8","grey60",TRUE,0.0122,112,763,19,0.025,0.17,"GO:0016051","BP",5,"carbohydrate biosynthetic process",1,NA,6.18755580742753
"9","grey60",TRUE,0.00456,700,763,66,0.087,0.094,"GO:1902494","CC",7,"catalytic complex",1,NA,3.66504745691262
"10","grey60",TRUE,0.00205,8097,763,485,0.636,0.06,"GO:0043226","CC",3,"organelle",1,NA,0.565605514134331
"11","grey60",TRUE,1.25e-05,5353,763,354,0.464,0.066,"GO:0044422","CC",3,"organelle part",2,NA,1.39654167757144
"12","grey60",TRUE,0.000252,7579,763,464,0.608,0.061,"GO:0043227","CC",3,"membrane-bounded organelle",2,NA,0.734472452582356
"13","grey60",TRUE,1.66e-07,3264,763,245,0.321,0.075,"GO:0031974","CC",3,"membrane-enclosed lumen",1,NA,2.11753978628716
"14","grey60",TRUE,9.85e-08,3231,763,244,0.32,0.076,"GO:0043233","CC",3,"organelle lumen",2,NA,2.12773692576892
"15","grey60",TRUE,1.51e-05,8662,763,525,0.688,0.061,"GO:0005622","CC",3,"intracellular",1,NA,0.458202476180666
"16","grey60",TRUE,2.03e-06,8495,763,521,0.683,0.061,"GO:0044424","CC",3,"intracellular part",2,NA,0.465375469578815
"17","grey60",TRUE,3.62e-06,7076,763,448,0.587,0.063,"GO:0043229","CC",3,"intracellular organelle",3,NA,0.76882230233395
"18","grey60",TRUE,1.88e-06,5240,763,352,0.461,0.067,"GO:0044446","CC",3,"intracellular organelle part",4,NA,1.42975381177755
"19","grey60",TRUE,4.01e-08,3187,763,243,0.318,0.076,"GO:0070013","CC",3,"intracellular organelle lumen",5,NA,2.12801397245305
"20","grey60",TRUE,7.58e-08,6479,763,425,0.557,0.066,"GO:0043231","CC",3,"intracellular membrane-bounded organelle",4,NA,0.948868868810718
"21","grey60",TRUE,1.49e-05,4007,763,279,0.366,0.07,"GO:0005634","CC",3,"nucleus",5,NA,1.45008311116636
"22","grey60",TRUE,5.61e-06,2920,763,218,0.286,0.075,"GO:0044428","CC",3,"nuclear part",6,NA,1.96995217652905
"23","grey60",TRUE,1.12e-07,2718,763,213,0.279,0.078,"GO:0031981","CC",3,"nuclear lumen",7,NA,2.17539200032436
"24","grey60",TRUE,1.48e-06,2334,763,185,0.242,0.079,"GO:0005654","CC",3,"nucleoplasm",7,NA,2.53472674135937
"25","grey60",TRUE,2.12e-05,414,763,51,0.067,0.123,"GO:0044451","CC",3,"nucleoplasm part",8,NA,3.94758812986399
"26","grey60",TRUE,0.0228,10878,763,615,0.806,0.057,"GO:0003674","MF",4,"molecular_function",1,NA,0
"27","grey60",TRUE,0.00223,8799,763,520,0.682,0.059,"GO:0005488","MF",4,"binding",2,NA,0.278529033833506
"28","grey60",TRUE,0.00206,7841,763,472,0.619,0.06,"GO:0005515","MF",4,"protein binding",3,NA,0.556417711578738
"29","grey60",TRUE,0.0435,420,763,43,0.056,0.102,"GO:0000988","MF",4,"transcription factor activity, protein binding",2,NA,4.26736372635374
"30","grey60",TRUE,0.0365,417,763,43,0.056,0.103,"GO:0000989","MF",4,"transcription factor activity, transcription factor binding",3,NA,4.28089573257232
"31","grey60",TRUE,0.0156,980,763,83,0.109,0.085,"GO:0044822","MF",6,"poly(A) RNA binding",1,NA,3.10286973300159
"32","darkturquoise",TRUE,0.00987,7129,638,365,0.572,0.051,"GO:0008152","BP",1,"metabolic process",1,NA,1.09105922272488
"33","darkturquoise",TRUE,0.0225,6333,638,328,0.514,0.052,"GO:0044238","BP",1,"primary metabolic process",2,NA,1.35036207402462
"34","darkturquoise",TRUE,0.018,6615,638,341,0.534,0.052,"GO:0071704","BP",1,"organic substance metabolic process",2,NA,1.24542089527368
"35","darkturquoise",TRUE,0.0235,4170,638,230,0.361,0.055,"GO:0006807","BP",1,"nitrogen compound metabolic process",2,NA,2.03896255219888
"36","darkturquoise",TRUE,0.041,1437,638,95,0.149,0.066,"GO:1901564","BP",1,"organonitrogen compound metabolic process",3,NA,3.94782483122211
"37","darkturquoise",TRUE,0.0168,3577,638,203,0.318,0.057,"GO:0044710","BP",1,"single-organism metabolic process",2,NA,2.28779154230712
"38","darkturquoise",TRUE,0.000156,6529,638,349,0.547,0.053,"GO:0044237","BP",1,"cellular metabolic process",2,NA,1.25366088916061
"39","darkturquoise",TRUE,0.028,3944,638,219,0.343,0.056,"GO:0034641","BP",1,"cellular nitrogen compound metabolic process",3,NA,2.08881479350958
"40","darkturquoise",TRUE,0.0297,580,638,48,0.075,0.083,"GO:0043603","BP",1,"cellular amide metabolic process",4,NA,5.55971372527535
"41","darkturquoise",TRUE,0.00755,487,638,44,0.069,0.09,"GO:0006518","BP",1,"peptide metabolic process",5,NA,6.2226471272388
"42","darkturquoise",TRUE,0.0467,507,638,43,0.067,0.085,"GO:0007005","BP",1,"mitochondrion organization",1,NA,4.32374302055942
"43","darkturquoise",TRUE,0.026,415,638,38,0.06,0.092,"GO:0043043","BP",1,"peptide biosynthetic process",1,NA,8.08851456862058
"44","darkturquoise",TRUE,0.0111,400,638,38,0.06,0.095,"GO:0006412","BP",1,"translation",2,NA,5.22411829712768
"45","darkturquoise",TRUE,0.0433,200,638,23,0.036,0.115,"GO:0006413","BP",1,"translational initiation",3,NA,6.41935742148486
"46","darkturquoise",TRUE,0.000569,100,638,18,0.028,0.18,"GO:0032543","BP",1,"mitochondrial translation",1,NA,7.5624214727238
"47","darkturquoise",TRUE,0.00913,76,638,14,0.022,0.184,"GO:0070124","BP",1,"mitochondrial translational initiation",2,NA,9.96031674552217
"48","darkturquoise",TRUE,0.0429,134,638,18,0.028,0.134,"GO:0006415","BP",1,"translational termination",1,NA,9.26716956496223
