,tissue,color,size,FCTX,HIPP
FCTX_black,FCTX,black,808,NA,25.2936760427039
FCTX_blue,FCTX,blue,1816,NA,37.6469106991502
FCTX_brown,FCTX,brown,960,NA,102.47013871895
FCTX_cyan,FCTX,cyan,586,NA,29.5046393166747
FCTX_darkgreen,FCTX,darkgreen,634,NA,17.621688043521
FCTX_darkred,FCTX,darkred,1377,NA,16.8104109376122
FCTX_darkturquoise,FCTX,darkturquoise,550,NA,20.4947698395931
FCTX_green,FCTX,green,751,NA,53.4051127452607
FCTX_greenyellow,FCTX,greenyellow,646,NA,18.2261292349157
FCTX_grey60,FCTX,grey60,468,NA,39.4585456373992
FCTX_lightcyan,FCTX,lightcyan,601,NA,21.9877926618553
FCTX_lightgreen,FCTX,lightgreen,707,NA,17.7030013645467
FCTX_lightyellow,FCTX,lightyellow,669,NA,16.7405232316425
FCTX_magenta,FCTX,magenta,785,NA,40.7707165072242
FCTX_midnightblue,FCTX,midnightblue,598,NA,27.7898939575412
FCTX_pink,FCTX,pink,719,NA,32.0360440734226
FCTX_purple,FCTX,purple,635,NA,29.4798161219049
FCTX_red,FCTX,red,877,NA,48.9205089872135
FCTX_royalblue,FCTX,royalblue,561,NA,13.9654000792269
FCTX_salmon,FCTX,salmon,560,NA,18.1073160400218
FCTX_tan,FCTX,tan,580,NA,20.9738190344896
FCTX_turquoise,FCTX,turquoise,2545,NA,89.5242927020984
FCTX_yellow,FCTX,yellow,719,NA,50.5555511038647
HIPP_black,HIPP,black,630,44.9065487201432,NA
HIPP_blue,HIPP,blue,972,56.0075034370348,NA
HIPP_brown,HIPP,brown,710,9.66876543962537,NA
HIPP_cyan,HIPP,cyan,527,38.2543966630147,NA
HIPP_darkgreen,HIPP,darkgreen,373,16.1534960438878,NA
HIPP_darkgrey,HIPP,darkgrey,402,9.40870678189707,NA
HIPP_darkorange,HIPP,darkorange,397,15.5993979544862,NA
HIPP_darkred,HIPP,darkred,321,0.423955406094481,NA
HIPP_darkturquoise,HIPP,darkturquoise,346,3.14021209843043,NA
HIPP_green,HIPP,green,455,22.3905097686957,NA
HIPP_greenyellow,HIPP,greenyellow,441,18.6789191871,NA
HIPP_grey60,HIPP,grey60,607,17.3332277444373,NA
HIPP_lightcyan,HIPP,lightcyan,597,17.9685088482853,NA
HIPP_lightgreen,HIPP,lightgreen,1530,17.5484069129692,NA
HIPP_lightyellow,HIPP,lightyellow,492,29.6854617658057,NA
HIPP_magenta,HIPP,magenta,481,3.86238727015203,NA
HIPP_midnightblue,HIPP,midnightblue,332,1.94012507245799,NA
HIPP_orange,HIPP,orange,525,6.90694461361375,NA
HIPP_paleturquoise,HIPP,paleturquoise,407,9.79630822274991,NA
HIPP_pink,HIPP,pink,433,14.9891330790984,NA
HIPP_purple,HIPP,purple,427,21.0417980715754,NA
HIPP_red,HIPP,red,435,19.6084805392276,NA
HIPP_royalblue,HIPP,royalblue,675,21.6924735732013,NA
HIPP_saddlebrown,HIPP,saddlebrown,1296,15.2303438953198,NA
HIPP_salmon,HIPP,salmon,351,2.02389323152885,NA
HIPP_skyblue,HIPP,skyblue,408,16.0421607289079,NA
HIPP_steelblue,HIPP,steelblue,503,13.2845145279139,NA
HIPP_tan,HIPP,tan,420,49.3439876604863,NA
HIPP_turquoise,HIPP,turquoise,2119,129.882030063446,NA
HIPP_violet,HIPP,violet,365,13.7463103891073,NA
HIPP_white,HIPP,white,551,32.9620238851809,NA
HIPP_yellow,HIPP,yellow,624,28.491647551565,NA
