,size,FCTX,MEDU
FCTX_black,808,NA,22
FCTX_blue,1816,NA,23
FCTX_brown,960,NA,2
FCTX_cyan,586,NA,4
FCTX_darkgreen,634,NA,11
FCTX_darkred,1377,NA,3
FCTX_darkturquoise,550,NA,4
FCTX_green,751,NA,12
FCTX_greenyellow,646,NA,9
FCTX_grey60,468,NA,1
FCTX_lightcyan,601,NA,15
FCTX_lightgreen,707,NA,17
FCTX_lightyellow,669,NA,17
FCTX_magenta,785,NA,16
FCTX_midnightblue,598,NA,9
FCTX_pink,719,NA,20
FCTX_purple,635,NA,6
FCTX_red,877,NA,8
FCTX_royalblue,561,NA,19
FCTX_salmon,560,NA,21
FCTX_tan,580,NA,15
FCTX_turquoise,2545,NA,13
FCTX_yellow,719,NA,10
MEDU_black,799,7,NA
MEDU_blue,1723,12,NA
MEDU_brown,933,15,NA
MEDU_cyan,1552,3,NA
MEDU_green,909,18,NA
MEDU_greenyellow,972,4,NA
MEDU_grey60,794,17,NA
MEDU_lightcyan,900,1,NA
MEDU_lightgreen,922,11,NA
MEDU_lightyellow,815,5,NA
MEDU_midnightblue,911,16,NA
MEDU_pink,457,9,NA
MEDU_purple,1275,7,NA
MEDU_red,1087,6,NA
MEDU_tan,1421,12,NA
MEDU_turquoise,2429,2,NA
MEDU_yellow,1253,9,NA
