,tissue,color,size,FCTX,SNIG
FCTX_black,FCTX,black,808,NA,23.3952093188102
FCTX_blue,FCTX,blue,1816,NA,37.1420395840765
FCTX_brown,FCTX,brown,960,NA,61.3326836672277
FCTX_cyan,FCTX,cyan,586,NA,22.0389892249426
FCTX_darkgreen,FCTX,darkgreen,634,NA,13.5228588167829
FCTX_darkred,FCTX,darkred,1377,NA,23.0694037449726
FCTX_darkturquoise,FCTX,darkturquoise,550,NA,13.9911982310599
FCTX_green,FCTX,green,751,NA,41.5010735686721
FCTX_greenyellow,FCTX,greenyellow,646,NA,18.5228976718265
FCTX_grey60,FCTX,grey60,468,NA,33.033658729259
FCTX_lightcyan,FCTX,lightcyan,601,NA,13.5561385047724
FCTX_lightgreen,FCTX,lightgreen,707,NA,12.2960235594197
FCTX_lightyellow,FCTX,lightyellow,669,NA,10.0507054395131
FCTX_magenta,FCTX,magenta,785,NA,32.5485584066184
FCTX_midnightblue,FCTX,midnightblue,598,NA,19.131874253608
FCTX_pink,FCTX,pink,719,NA,18.952002067446
FCTX_purple,FCTX,purple,635,NA,33.662661798665
FCTX_red,FCTX,red,877,NA,54.5244131221943
FCTX_royalblue,FCTX,royalblue,561,NA,7.92112389998844
FCTX_salmon,FCTX,salmon,560,NA,8.00552096515002
FCTX_tan,FCTX,tan,580,NA,15.3878809461848
FCTX_turquoise,FCTX,turquoise,2545,NA,83.623127692972
FCTX_yellow,FCTX,yellow,719,NA,45.3888826057795
SNIG_black,SNIG,black,1016,23.8585746247007,NA
SNIG_blue,SNIG,blue,2459,57.1382393796065,NA
SNIG_brown,SNIG,brown,1083,22.9324915715535,NA
SNIG_cyan,SNIG,cyan,1193,2.07456486762802,NA
SNIG_green,SNIG,green,1465,46.6355200474674,NA
SNIG_greenyellow,SNIG,greenyellow,1439,18.5851700300724,NA
SNIG_magenta,SNIG,magenta,1117,11.969447847136,NA
SNIG_pink,SNIG,pink,1294,30.0974778535559,NA
SNIG_purple,SNIG,purple,625,26.7974677986112,NA
SNIG_red,SNIG,red,1435,29.8272284408327,NA
SNIG_salmon,SNIG,salmon,1091,11.4367503010013,NA
SNIG_turquoise,SNIG,turquoise,2953,98.2497202955292,NA
SNIG_yellow,SNIG,yellow,1982,53.3334543425199,NA
