,size,FCTX,TCTX
FCTX_black,808,NA,23
FCTX_blue,1816,NA,21
FCTX_brown,960,NA,5
FCTX_cyan,586,NA,4
FCTX_darkgreen,634,NA,10
FCTX_darkred,1377,NA,6
FCTX_darkturquoise,550,NA,15
FCTX_green,751,NA,3
FCTX_greenyellow,646,NA,3
FCTX_grey60,468,NA,1
FCTX_lightcyan,601,NA,14
FCTX_lightgreen,707,NA,16
FCTX_lightyellow,669,NA,12
FCTX_magenta,785,NA,11
FCTX_midnightblue,598,NA,13
FCTX_pink,719,NA,17
FCTX_purple,635,NA,9
FCTX_red,877,NA,6
FCTX_royalblue,561,NA,20
FCTX_salmon,560,NA,18
FCTX_tan,580,NA,21
FCTX_turquoise,2545,NA,18
FCTX_yellow,719,NA,7
TCTX_black,898,21,NA
TCTX_blue,1556,10,NA
TCTX_brown,883,19,NA
TCTX_cyan,647,14,NA
TCTX_darkgreen,518,7,NA
TCTX_darkred,844,6,NA
TCTX_darkturquoise,687,13,NA
TCTX_green,896,17,NA
TCTX_greenyellow,738,17,NA
TCTX_grey60,622,2,NA
TCTX_lightcyan,647,4,NA
TCTX_lightgreen,774,10,NA
TCTX_lightyellow,699,6,NA
TCTX_magenta,906,5,NA
TCTX_midnightblue,794,6,NA
TCTX_pink,893,21,NA
TCTX_purple,800,13,NA
TCTX_red,1607,7,NA
TCTX_salmon,683,4,NA
TCTX_tan,722,20,NA
TCTX_turquoise,1565,15,NA
TCTX_yellow,773,3,NA
