,tissue,color,size,FCTX,THAL
FCTX_black,FCTX,black,808,NA,17.9314736930383
FCTX_blue,FCTX,blue,1816,NA,35.7693967538624
FCTX_brown,FCTX,brown,960,NA,73.880707568081
FCTX_cyan,FCTX,cyan,586,NA,24.5332141599567
FCTX_darkgreen,FCTX,darkgreen,634,NA,13.6402301893389
FCTX_darkred,FCTX,darkred,1377,NA,21.905464094036
FCTX_darkturquoise,FCTX,darkturquoise,550,NA,14.2259932672274
FCTX_green,FCTX,green,751,NA,56.6383654441396
FCTX_greenyellow,FCTX,greenyellow,646,NA,22.3543838495614
FCTX_grey60,FCTX,grey60,468,NA,28.21619656651
FCTX_lightcyan,FCTX,lightcyan,601,NA,14.0892812993484
FCTX_lightgreen,FCTX,lightgreen,707,NA,12.4174739604016
FCTX_lightyellow,FCTX,lightyellow,669,NA,11.0820068668982
FCTX_magenta,FCTX,magenta,785,NA,31.7830422186978
FCTX_midnightblue,FCTX,midnightblue,598,NA,22.1700894385765
FCTX_pink,FCTX,pink,719,NA,18.5000600234684
FCTX_purple,FCTX,purple,635,NA,33.3129288954466
FCTX_red,FCTX,red,877,NA,54.1657683144505
FCTX_royalblue,FCTX,royalblue,561,NA,11.2272620870417
FCTX_salmon,FCTX,salmon,560,NA,11.7739914358769
FCTX_tan,FCTX,tan,580,NA,15.6242773429273
FCTX_turquoise,FCTX,turquoise,2545,NA,76.0463383315162
FCTX_yellow,FCTX,yellow,719,NA,49.9992292764843
THAL_black,THAL,black,1308,36.0434469532816,NA
THAL_blue,THAL,blue,2188,65.0642623427892,NA
THAL_brown,THAL,brown,1284,34.5712454632141,NA
THAL_cyan,THAL,cyan,729,2.91252816503069,NA
THAL_darkgreen,THAL,darkgreen,838,49.314823140818,NA
THAL_darkred,THAL,darkred,1017,6.09116400154292,NA
THAL_greenyellow,THAL,greenyellow,458,2.16499550506585,NA
THAL_grey60,THAL,grey60,475,2.95777876181056,NA
THAL_lightcyan,THAL,lightcyan,1133,15.5641939022636,NA
THAL_lightgreen,THAL,lightgreen,966,15.7940162715684,NA
THAL_lightyellow,THAL,lightyellow,493,3.68917750850791,NA
THAL_magenta,THAL,magenta,746,12.1994005464711,NA
THAL_midnightblue,THAL,midnightblue,306,20.1948506588026,NA
THAL_pink,THAL,pink,1035,20.9483160957594,NA
THAL_red,THAL,red,1241,54.1676797314608,NA
THAL_salmon,THAL,salmon,426,29.0518848095218,NA
THAL_tan,THAL,tan,808,10.3883236472108,NA
THAL_turquoise,THAL,turquoise,3072,104.129568197208,NA
THAL_yellow,THAL,yellow,629,27.6868836300469,NA
