,size,HIPP,MEDU
HIPP_black,630,NA,10
HIPP_blue,972,NA,7
HIPP_brown,710,NA,29
HIPP_cyan,527,NA,15
HIPP_darkgreen,373,NA,3
HIPP_darkgrey,402,NA,30
HIPP_darkorange,397,NA,21
HIPP_darkred,321,NA,32
HIPP_darkturquoise,346,NA,27
HIPP_green,455,NA,15
HIPP_greenyellow,441,NA,16
HIPP_grey60,607,NA,11
HIPP_lightcyan,597,NA,21
HIPP_lightgreen,1530,NA,3
HIPP_lightyellow,492,NA,1
HIPP_magenta,481,NA,32
HIPP_midnightblue,332,NA,30
HIPP_orange,525,NA,23
HIPP_paleturquoise,407,NA,22
HIPP_pink,433,NA,24
HIPP_purple,427,NA,18
HIPP_red,435,NA,25
HIPP_royalblue,675,NA,14
HIPP_saddlebrown,1296,NA,4
HIPP_salmon,351,NA,31
HIPP_skyblue,408,NA,11
HIPP_steelblue,503,NA,6
HIPP_tan,420,NA,6
HIPP_turquoise,2119,NA,12
HIPP_violet,365,NA,16
HIPP_white,551,NA,7
HIPP_yellow,624,NA,19
MEDU_black,799,3,NA
MEDU_blue,1723,9,NA
MEDU_brown,933,15,NA
MEDU_cyan,1552,7,NA
MEDU_green,909,16,NA
MEDU_greenyellow,972,2,NA
MEDU_grey60,794,16,NA
MEDU_lightcyan,900,2,NA
MEDU_lightgreen,922,12,NA
MEDU_lightyellow,815,11,NA
MEDU_midnightblue,911,18,NA
MEDU_pink,457,6,NA
MEDU_purple,1275,6,NA
MEDU_red,1087,10,NA
MEDU_tan,1421,13,NA
MEDU_turquoise,2429,4,NA
MEDU_yellow,1253,8,NA
