,tissue,color,size,HIPP,MEDU
HIPP_black,HIPP,black,630,NA,36.6077180311383
HIPP_blue,HIPP,blue,972,NA,86.400247017538
HIPP_brown,HIPP,brown,710,NA,10.7408063010333
HIPP_cyan,HIPP,cyan,527,NA,31.6278738422246
HIPP_darkgreen,HIPP,darkgreen,373,NA,23.7420469870029
HIPP_darkgrey,HIPP,darkgrey,402,NA,5.44456374743921
HIPP_darkorange,HIPP,darkorange,397,NA,13.040843769094
HIPP_darkred,HIPP,darkred,321,NA,1.18930650477193
HIPP_darkturquoise,HIPP,darkturquoise,346,NA,4.55130999977647
HIPP_green,HIPP,green,455,NA,35.9507188188324
HIPP_greenyellow,HIPP,greenyellow,441,NA,24.837787014124
HIPP_grey60,HIPP,grey60,607,NA,21.6270522617064
HIPP_lightcyan,HIPP,lightcyan,597,NA,15.8877212231535
HIPP_lightgreen,HIPP,lightgreen,1530,NA,28.7919905505376
HIPP_lightyellow,HIPP,lightyellow,492,NA,37.7059557227513
HIPP_magenta,HIPP,magenta,481,NA,2.0743043012675
HIPP_midnightblue,HIPP,midnightblue,332,NA,3.11094883892083
HIPP_orange,HIPP,orange,525,NA,8.75827672161986
HIPP_paleturquoise,HIPP,paleturquoise,407,NA,6.00403528212866
HIPP_pink,HIPP,pink,433,NA,14.671351700363
HIPP_purple,HIPP,purple,427,NA,23.1361833947145
HIPP_red,HIPP,red,435,NA,19.5303309555437
HIPP_royalblue,HIPP,royalblue,675,NA,19.2350693477919
HIPP_saddlebrown,HIPP,saddlebrown,1296,NA,17.0943874739994
HIPP_salmon,HIPP,salmon,351,NA,3.24804928517376
HIPP_skyblue,HIPP,skyblue,408,NA,15.7712156269876
HIPP_steelblue,HIPP,steelblue,503,NA,16.5316017872325
HIPP_tan,HIPP,tan,420,NA,43.3619760083326
HIPP_turquoise,HIPP,turquoise,2119,NA,79.8730809902975
HIPP_violet,HIPP,violet,365,NA,12.5216793329202
HIPP_white,HIPP,white,551,NA,24.6085612267938
HIPP_yellow,HIPP,yellow,624,NA,27.6989159671716
MEDU_black,MEDU,black,799,36.7490043200882,NA
MEDU_blue,MEDU,blue,1723,84.2785786855735,NA
MEDU_brown,MEDU,brown,933,30.5548958079447,NA
MEDU_cyan,MEDU,cyan,1552,15.2883531430486,NA
MEDU_green,MEDU,green,909,12.95209181585,NA
MEDU_greenyellow,MEDU,greenyellow,972,33.8023719460341,NA
MEDU_grey60,MEDU,grey60,794,5.96086496283676,NA
MEDU_lightcyan,MEDU,lightcyan,900,40.5946095739711,NA
MEDU_lightgreen,MEDU,lightgreen,922,10.7369658909769,NA
MEDU_lightyellow,MEDU,lightyellow,815,12.5245551892811,NA
MEDU_midnightblue,MEDU,midnightblue,911,3.14443131114374,NA
MEDU_pink,MEDU,pink,457,27.6220279884097,NA
MEDU_purple,MEDU,purple,1275,25.9535503937503,NA
MEDU_red,MEDU,red,1087,29.9606853474208,NA
MEDU_tan,MEDU,tan,1421,11.5261793196855,NA
MEDU_turquoise,MEDU,turquoise,2429,96.958797311224,NA
MEDU_yellow,MEDU,yellow,1253,50.8108241310796,NA
