,size,HIPP,OCTX
HIPP_black,630,NA,6
HIPP_blue,972,NA,19
HIPP_brown,710,NA,31
HIPP_cyan,527,NA,3
HIPP_darkgreen,373,NA,7
HIPP_darkgrey,402,NA,22
HIPP_darkorange,397,NA,17
HIPP_darkred,321,NA,30
HIPP_darkturquoise,346,NA,27
HIPP_green,455,NA,21
HIPP_greenyellow,441,NA,20
HIPP_grey60,607,NA,16
HIPP_lightcyan,597,NA,15
HIPP_lightgreen,1530,NA,9
HIPP_lightyellow,492,NA,2
HIPP_magenta,481,NA,31
HIPP_midnightblue,332,NA,31
HIPP_orange,525,NA,20
HIPP_paleturquoise,407,NA,18
HIPP_pink,433,NA,24
HIPP_purple,427,NA,15
HIPP_red,435,NA,25
HIPP_royalblue,675,NA,6
HIPP_saddlebrown,1296,NA,11
HIPP_salmon,351,NA,30
HIPP_skyblue,408,NA,12
HIPP_steelblue,503,NA,13
HIPP_tan,420,NA,1
HIPP_turquoise,2119,NA,9
HIPP_violet,365,NA,8
HIPP_white,551,NA,4
HIPP_yellow,624,NA,25
OCTX_black,530,12,NA
OCTX_blue,1372,31,NA
OCTX_brown,669,3,NA
OCTX_cyan,435,26,NA
OCTX_darkgreen,367,15,NA
OCTX_darkgrey,1389,26,NA
OCTX_darkmagenta,455,14,NA
OCTX_darkolivegreen,355,26,NA
OCTX_darkorange,504,27,NA
OCTX_darkturquoise,538,20,NA
OCTX_green,490,34,NA
OCTX_greenyellow,630,16,NA
OCTX_grey60,313,11,NA
OCTX_lightcyan,361,1,NA
OCTX_lightgreen,378,4,NA
OCTX_lightyellow,532,29,NA
OCTX_magenta,378,21,NA
OCTX_midnightblue,421,9,NA
OCTX_orange,436,13,NA
OCTX_paleturquoise,587,2,NA
OCTX_pink,501,5,NA
OCTX_purple,545,24,NA
OCTX_red,581,34,NA
OCTX_royalblue,418,17,NA
OCTX_saddlebrown,430,13,NA
OCTX_salmon,518,19,NA
OCTX_sienna3,400,6,NA
OCTX_skyblue,423,10,NA
OCTX_steelblue,443,22,NA
OCTX_tan,440,21,NA
OCTX_turquoise,1775,18,NA
OCTX_violet,344,17,NA
OCTX_white,547,28,NA
OCTX_yellow,647,30,NA
