,tissue,color,size,HIPP,OCTX
HIPP_black,HIPP,black,630,NA,39.4406014503612
HIPP_blue,HIPP,blue,972,NA,62.6727283855793
HIPP_brown,HIPP,brown,710,NA,6.97446918750284
HIPP_cyan,HIPP,cyan,527,NA,55.2926316051723
HIPP_darkgreen,HIPP,darkgreen,373,NA,20.6484044680097
HIPP_darkgrey,HIPP,darkgrey,402,NA,9.20553903657735
HIPP_darkorange,HIPP,darkorange,397,NA,16.0896589930076
HIPP_darkred,HIPP,darkred,321,NA,2.78008460183154
HIPP_darkturquoise,HIPP,darkturquoise,346,NA,4.53219474830505
HIPP_green,HIPP,green,455,NA,25.2900762607256
HIPP_greenyellow,HIPP,greenyellow,441,NA,21.0606790768212
HIPP_grey60,HIPP,grey60,607,NA,21.5170874945069
HIPP_lightcyan,HIPP,lightcyan,597,NA,22.1639791956508
HIPP_lightgreen,HIPP,lightgreen,1530,NA,23.8064961555988
HIPP_lightyellow,HIPP,lightyellow,492,NA,30.6698434271534
HIPP_magenta,HIPP,magenta,481,NA,3.21622585553694
HIPP_midnightblue,HIPP,midnightblue,332,NA,2.51170127953479
HIPP_orange,HIPP,orange,525,NA,8.40373879728661
HIPP_paleturquoise,HIPP,paleturquoise,407,NA,8.17359411866068
HIPP_pink,HIPP,pink,433,NA,15.0937824150574
HIPP_purple,HIPP,purple,427,NA,25.1883960192996
HIPP_red,HIPP,red,435,NA,19.7060415537763
HIPP_royalblue,HIPP,royalblue,675,NA,33.204709699382
HIPP_saddlebrown,HIPP,saddlebrown,1296,NA,13.0391985360875
HIPP_salmon,HIPP,salmon,351,NA,5.63471023459281
HIPP_skyblue,HIPP,skyblue,408,NA,17.8486357719463
HIPP_steelblue,HIPP,steelblue,503,NA,14.5571316907147
HIPP_tan,HIPP,tan,420,NA,53.1331419536129
HIPP_turquoise,HIPP,turquoise,2119,NA,119.291599245416
HIPP_violet,HIPP,violet,365,NA,19.6801284822628
HIPP_white,HIPP,white,551,NA,33.9335414787417
HIPP_yellow,HIPP,yellow,624,NA,24.2786581251017
OCTX_black,OCTX,black,530,49.1663368640009,NA
OCTX_blue,OCTX,blue,1372,44.4532729125638,NA
OCTX_brown,OCTX,brown,669,101.441300618653,NA
OCTX_cyan,OCTX,cyan,435,24.9123063083638,NA
OCTX_darkgreen,OCTX,darkgreen,367,21.6237816433015,NA
OCTX_darkgrey,OCTX,darkgrey,1389,14.6810007407703,NA
OCTX_darkmagenta,OCTX,darkmagenta,455,20.7902932267968,NA
OCTX_darkolivegreen,OCTX,darkolivegreen,355,8.9335683196653,NA
OCTX_darkorange,OCTX,darkorange,504,17.7153250922384,NA
OCTX_darkturquoise,OCTX,darkturquoise,538,19.7696802864313,NA
OCTX_green,OCTX,green,490,8.31791307282782,NA
OCTX_greenyellow,OCTX,greenyellow,630,39.2088722361615,NA
OCTX_grey60,OCTX,grey60,313,24.4048538857427,NA
OCTX_lightcyan,OCTX,lightcyan,361,37.862858938168,NA
OCTX_lightgreen,OCTX,lightgreen,378,30.5839517985781,NA
OCTX_lightyellow,OCTX,lightyellow,532,14.9780916655974,NA
OCTX_magenta,OCTX,magenta,378,36.4088984049816,NA
OCTX_midnightblue,OCTX,midnightblue,421,25.9491999636429,NA
OCTX_orange,OCTX,orange,436,26.1950582764771,NA
OCTX_paleturquoise,OCTX,paleturquoise,587,26.7149018872637,NA
OCTX_pink,OCTX,pink,501,57.7971967879431,NA
OCTX_purple,OCTX,purple,545,35.1775584942391,NA
OCTX_red,OCTX,red,581,14.2522672164202,NA
OCTX_royalblue,OCTX,royalblue,418,25.3896644816548,NA
OCTX_saddlebrown,OCTX,saddlebrown,430,19.7821655519978,NA
OCTX_salmon,OCTX,salmon,518,27.5870007948569,NA
OCTX_sienna3,OCTX,sienna3,400,21.0744522269185,NA
OCTX_skyblue,OCTX,skyblue,423,26.3148181384092,NA
OCTX_steelblue,OCTX,steelblue,443,18.5930996771487,NA
OCTX_tan,OCTX,tan,440,29.2065525689772,NA
OCTX_turquoise,OCTX,turquoise,1775,95.5409366028459,NA
OCTX_violet,OCTX,violet,344,16.0611302003152,NA
OCTX_white,OCTX,white,547,15.2812101539619,NA
OCTX_yellow,OCTX,yellow,647,24.5748781212249,NA
