,tissue,color,size,HIPP,SNIG
HIPP_black,HIPP,black,630,NA,39.3948327659423
HIPP_blue,HIPP,blue,972,NA,48.7082224201657
HIPP_brown,HIPP,brown,710,NA,4.77875770631425
HIPP_cyan,HIPP,cyan,527,NA,45.1772573245991
HIPP_darkgreen,HIPP,darkgreen,373,NA,19.7178037071451
HIPP_darkgrey,HIPP,darkgrey,402,NA,2.76339197702861
HIPP_darkorange,HIPP,darkorange,397,NA,20.9800381389685
HIPP_darkred,HIPP,darkred,321,NA,1.74805574669164
HIPP_darkturquoise,HIPP,darkturquoise,346,NA,2.26999436897416
HIPP_green,HIPP,green,455,NA,30.248599327681
HIPP_greenyellow,HIPP,greenyellow,441,NA,27.1354448674913
HIPP_grey60,HIPP,grey60,607,NA,19.9393427347806
HIPP_lightcyan,HIPP,lightcyan,597,NA,17.1406149992586
HIPP_lightgreen,HIPP,lightgreen,1530,NA,13.5391360694456
HIPP_lightyellow,HIPP,lightyellow,492,NA,35.3083438927809
HIPP_magenta,HIPP,magenta,481,NA,5.60259210423607
HIPP_midnightblue,HIPP,midnightblue,332,NA,3.31524887281122
HIPP_orange,HIPP,orange,525,NA,4.82564061746826
HIPP_paleturquoise,HIPP,paleturquoise,407,NA,3.00336936400168
HIPP_pink,HIPP,pink,433,NA,13.5869423224296
HIPP_purple,HIPP,purple,427,NA,14.5602802671151
HIPP_red,HIPP,red,435,NA,16.4459036098724
HIPP_royalblue,HIPP,royalblue,675,NA,13.8026965965011
HIPP_saddlebrown,HIPP,saddlebrown,1296,NA,15.8477176540643
HIPP_salmon,HIPP,salmon,351,NA,2.2540953600635
HIPP_skyblue,HIPP,skyblue,408,NA,17.1705074871415
HIPP_steelblue,HIPP,steelblue,503,NA,13.602170253309
HIPP_tan,HIPP,tan,420,NA,36.9189225228401
HIPP_turquoise,HIPP,turquoise,2119,NA,88.5418067548424
HIPP_violet,HIPP,violet,365,NA,9.76137237248089
HIPP_white,HIPP,white,551,NA,21.6518010837058
HIPP_yellow,HIPP,yellow,624,NA,29.0789160262509
SNIG_black,SNIG,black,1016,25.0031696042839,NA
SNIG_blue,SNIG,blue,2459,49.868284424384,NA
SNIG_brown,SNIG,brown,1083,29.0513462380961,NA
SNIG_cyan,SNIG,cyan,1193,3.43958067838752,NA
SNIG_green,SNIG,green,1465,82.545170114396,NA
SNIG_greenyellow,SNIG,greenyellow,1439,15.2570126402171,NA
SNIG_magenta,SNIG,magenta,1117,11.5025988131021,NA
SNIG_pink,SNIG,pink,1294,37.1977312582964,NA
SNIG_purple,SNIG,purple,625,33.6778459600873,NA
SNIG_red,SNIG,red,1435,43.0470073780396,NA
SNIG_salmon,SNIG,salmon,1091,13.305607706497,NA
SNIG_turquoise,SNIG,turquoise,2953,81.2070885890026,NA
SNIG_yellow,SNIG,yellow,1982,65.3909378606652,NA
