"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","skyblue",TRUE,0.0145,2930,341,102,0.299,0.035,"GO:0032991","CC",2,"macromolecular complex",1,NA,1.98185141259867
"2","skyblue",TRUE,0.0389,700,341,35,0.103,0.05,"GO:1902494","CC",3,"catalytic complex",1,NA,3.66504745691262
"3","skyblue",TRUE,5.38e-05,3264,341,120,0.352,0.037,"GO:0031974","CC",1,"membrane-enclosed lumen",1,NA,2.11753978628716
"4","skyblue",TRUE,0.0044,8097,341,230,0.674,0.028,"GO:0043226","CC",1,"organelle",1,NA,0.565605514134331
"5","skyblue",TRUE,8.84e-07,5353,341,180,0.528,0.034,"GO:0044422","CC",1,"organelle part",2,NA,1.39654167757144
"6","skyblue",TRUE,2.92e-05,3231,341,120,0.352,0.037,"GO:0043233","CC",1,"organelle lumen",3,NA,2.12773692576892
"7","skyblue",TRUE,0.000581,7579,341,222,0.651,0.029,"GO:0043227","CC",1,"membrane-bounded organelle",2,NA,0.734472452582356
"8","skyblue",TRUE,0.000971,8662,341,245,0.718,0.028,"GO:0005622","CC",1,"intracellular",1,NA,0.458202476180666
"9","skyblue",TRUE,0.000103,8495,341,245,0.718,0.029,"GO:0044424","CC",1,"intracellular part",2,NA,0.465375469578815
"10","skyblue",TRUE,2.11e-05,7076,341,216,0.633,0.031,"GO:0043229","CC",1,"intracellular organelle",3,NA,0.76882230233395
"11","skyblue",TRUE,1.22e-07,5240,341,180,0.528,0.034,"GO:0044446","CC",1,"intracellular organelle part",4,NA,1.42975381177755
"12","skyblue",TRUE,1.26e-05,3187,341,120,0.352,0.038,"GO:0070013","CC",1,"intracellular organelle lumen",5,NA,2.12801397245305
"13","skyblue",TRUE,8.58e-07,6479,341,207,0.607,0.032,"GO:0043231","CC",1,"intracellular membrane-bounded organelle",4,NA,0.948868868810718
"14","skyblue",TRUE,0.00182,4007,341,134,0.393,0.033,"GO:0005634","CC",1,"nucleus",5,NA,1.45008311116636
"15","skyblue",TRUE,3.96e-05,2920,341,111,0.326,0.038,"GO:0044428","CC",1,"nuclear part",6,NA,1.96995217652905
"16","skyblue",TRUE,1.2e-05,2718,341,107,0.314,0.039,"GO:0031981","CC",1,"nuclear lumen",7,NA,2.17539200032436
"17","skyblue",TRUE,2.47e-05,2334,341,95,0.279,0.041,"GO:0005654","CC",1,"nucleoplasm",7,NA,2.53472674135937
"18","skyblue",TRUE,0.000299,414,341,29,0.085,0.07,"GO:0044451","CC",1,"nucleoplasm part",8,NA,3.94758812986399
"19","purple",TRUE,0.00397,76,352,11,0.031,0.145,"GO:0050803","BP",1,"regulation of synapse structure or activity",1,NA,6.93989185937781
"20","purple",TRUE,0.0217,45,352,8,0.023,0.178,"GO:0048167","BP",1,"regulation of synaptic plasticity",2,NA,6.76164362797149
"21","purple",TRUE,0.0297,3,352,3,0.009,1,"GO:0030160","MF",3,"GKAP/Homer scaffold activity",1,NA,9.49311040006694
"22","purple",TRUE,0.0115,12,352,5,0.014,0.417,"GO:0035254","MF",2,"glutamate receptor binding",1,NA,8.39449811139883
"23","purple",TRUE,0.0458,8,352,4,0.011,0.5,"GO:0035255","MF",2,"ionotropic glutamate receptor binding",2,NA,8.799963219507
"24","midnightblue",TRUE,0.0105,7,288,4,0.014,0.571,"GO:0002116","CC",1,"semaphorin receptor complex",1,NA,10.3191999770958
"25","darkgrey",TRUE,0.00211,16,329,6,0.018,0.375,"GO:0007274","BP",5,"neuromuscular synaptic transmission",1,NA,8.7075537770268
"26","darkgrey",TRUE,8.26e-05,24,329,8,0.024,0.333,"GO:0007271","BP",1,"synaptic transmission, cholinergic",1,NA,8.86170445685406
"27","darkgrey",TRUE,0.00168,34,329,8,0.024,0.235,"GO:0043279","BP",3,"response to alkaloid",1,NA,6.93989185937781
"28","darkgrey",TRUE,0.00675,19,329,6,0.018,0.316,"GO:0035094","BP",3,"response to nicotine",1,NA,8.01440659646686
"29","darkgrey",TRUE,0.0264,244,329,18,0.055,0.074,"GO:0010817","BP",2,"regulation of hormone levels",1,NA,5.15220571553739
"30","darkgrey",TRUE,0.0232,95,329,11,0.033,0.116,"GO:0042445","BP",2,"hormone metabolic process",1,NA,6.07875294757873
"31","darkgrey",TRUE,0.0101,56,329,9,0.027,0.161,"GO:0034754","BP",2,"cellular hormone metabolic process",2,NA,6.5759264821764
"32","darkgrey",TRUE,0.000262,12,329,6,0.018,0.5,"GO:0015464","MF",4,"acetylcholine receptor activity",1,NA,7.70135093083889
"33","turquoise",TRUE,0.036,104,1632,27,0.017,0.26,"GO:0008544","BP",3,"epidermis development",1,NA,5.98063509162021
"34","turquoise",TRUE,0.0296,200,1632,43,0.026,0.215,"GO:1903034","BP",4,"regulation of response to wounding",1,NA,5.3353439322379
"35","turquoise",TRUE,0.00127,246,1632,54,0.033,0.22,"GO:0051606","BP",5,"detection of stimulus",1,NA,5.93496505478702
"36","turquoise",TRUE,0.000485,709,1632,123,0.075,0.173,"GO:0005615","CC",2,"extracellular space",1,NA,3.52349420192233
"37","turquoise",TRUE,0.0256,1625,1632,233,0.143,0.143,"GO:0031224","CC",1,"intrinsic component of membrane",1,NA,3.57986334973867
"38","turquoise",TRUE,0.035,1568,1632,225,0.138,0.143,"GO:0016021","CC",1,"integral component of membrane",2,NA,3.65097172867844
"39","turquoise",TRUE,0.00985,1500,1632,220,0.135,0.147,"GO:0044459","CC",1,"plasma membrane part",1,NA,3.2682105300278
"40","turquoise",TRUE,0.00281,1078,1632,169,0.104,0.157,"GO:0031226","CC",1,"intrinsic component of plasma membrane",2,NA,4.25309188699209
