,size,MEDU,OCTX
MEDU_black,799,NA,9
MEDU_blue,1723,NA,12
MEDU_brown,933,NA,16
MEDU_cyan,1552,NA,5
MEDU_green,909,NA,17
MEDU_greenyellow,972,NA,4
MEDU_grey60,794,NA,16
MEDU_lightcyan,900,NA,1
MEDU_lightgreen,922,NA,8
MEDU_lightyellow,815,NA,4
MEDU_midnightblue,911,NA,18
MEDU_pink,457,NA,6
MEDU_purple,1275,NA,10
MEDU_red,1087,NA,8
MEDU_tan,1421,NA,12
MEDU_turquoise,2429,NA,2
MEDU_yellow,1253,NA,9
OCTX_black,530,16,NA
OCTX_blue,1372,31,NA
OCTX_brown,669,5,NA
OCTX_cyan,435,24,NA
OCTX_darkgreen,367,17,NA
OCTX_darkgrey,1389,28,NA
OCTX_darkmagenta,455,20,NA
OCTX_darkolivegreen,355,21,NA
OCTX_darkorange,504,26,NA
OCTX_darkturquoise,538,25,NA
OCTX_green,490,35,NA
OCTX_greenyellow,630,23,NA
OCTX_grey60,313,9,NA
OCTX_lightcyan,361,1,NA
OCTX_lightgreen,378,3,NA
OCTX_lightyellow,532,29,NA
OCTX_magenta,378,13,NA
OCTX_midnightblue,421,19,NA
OCTX_orange,436,8,NA
OCTX_paleturquoise,587,2,NA
OCTX_pink,501,9,NA
OCTX_purple,545,25,NA
OCTX_red,581,34,NA
OCTX_royalblue,418,18,NA
OCTX_saddlebrown,430,11,NA
OCTX_salmon,518,23,NA
OCTX_sienna3,400,4,NA
OCTX_skyblue,423,11,NA
OCTX_steelblue,443,20,NA
OCTX_tan,440,16,NA
OCTX_turquoise,1775,13,NA
OCTX_violet,344,10,NA
OCTX_white,547,27,NA
OCTX_yellow,647,32,NA
