,size,MEDU,PUTM
MEDU_black,799,NA,7
MEDU_blue,1723,NA,11
MEDU_brown,933,NA,16
MEDU_cyan,1552,NA,2
MEDU_green,909,NA,17
MEDU_greenyellow,972,NA,5
MEDU_grey60,794,NA,14
MEDU_lightcyan,900,NA,3
MEDU_lightgreen,922,NA,6
MEDU_lightyellow,815,NA,9
MEDU_midnightblue,911,NA,18
MEDU_pink,457,NA,4
MEDU_purple,1275,NA,10
MEDU_red,1087,NA,9
MEDU_tan,1421,NA,16
MEDU_turquoise,2429,NA,1
MEDU_yellow,1253,NA,8
PUTM_black,867,12,NA
PUTM_blue,1028,16,NA
PUTM_brown,1090,11,NA
PUTM_cyan,524,19,NA
PUTM_green,725,3,NA
PUTM_greenyellow,362,2,NA
PUTM_grey60,794,10,NA
PUTM_lightcyan,736,9,NA
PUTM_lightgreen,849,15,NA
PUTM_lightyellow,2271,4,NA
PUTM_magenta,694,9,NA
PUTM_midnightblue,652,16,NA
PUTM_pink,590,4,NA
PUTM_purple,644,13,NA
PUTM_red,1149,11,NA
PUTM_royalblue,1455,7,NA
PUTM_salmon,551,21,NA
PUTM_tan,366,1,NA
PUTM_turquoise,2709,12,NA
PUTM_yellow,1096,20,NA
