,tissue,color,size,MEDU,PUTM
MEDU_black,MEDU,black,799,NA,19.2439856831237
MEDU_blue,MEDU,blue,1723,NA,32.9314802976467
MEDU_brown,MEDU,brown,933,NA,10.3091261116814
MEDU_cyan,MEDU,cyan,1552,NA,17.5568398688426
MEDU_green,MEDU,green,909,NA,4.5002445073524
MEDU_greenyellow,MEDU,greenyellow,972,NA,18.6227098683478
MEDU_grey60,MEDU,grey60,794,NA,4.16504859688302
MEDU_lightcyan,MEDU,lightcyan,900,NA,29.3057742821518
MEDU_lightgreen,MEDU,lightgreen,922,NA,8.49534279329386
MEDU_lightyellow,MEDU,lightyellow,815,NA,8.36012299885829
MEDU_midnightblue,MEDU,midnightblue,911,NA,0.336909715330249
MEDU_pink,MEDU,pink,457,NA,22.1776267345942
MEDU_purple,MEDU,purple,1275,NA,12.0686829667487
MEDU_red,MEDU,red,1087,NA,19.1005213349517
MEDU_tan,MEDU,tan,1421,NA,4.43800840759499
MEDU_turquoise,MEDU,turquoise,2429,NA,114.157098061197
MEDU_yellow,MEDU,yellow,1253,NA,25.3945651555764
PUTM_black,PUTM,black,867,25.0061097040058,NA
PUTM_blue,PUTM,blue,1028,30.4494128486909,NA
PUTM_brown,PUTM,brown,1090,47.0738631252118,NA
PUTM_cyan,PUTM,cyan,524,5.15119250144619,NA
PUTM_green,PUTM,green,725,69.3930897749404,NA
PUTM_greenyellow,PUTM,greenyellow,362,30.7153688606687,NA
PUTM_grey60,PUTM,grey60,794,10.5882475313822,NA
PUTM_lightcyan,PUTM,lightcyan,736,12.4666523576056,NA
PUTM_lightgreen,PUTM,lightgreen,849,8.85798823767952,NA
PUTM_lightyellow,PUTM,lightyellow,2271,14.1871911002484,NA
PUTM_magenta,PUTM,magenta,694,22.8887220959536,NA
PUTM_midnightblue,PUTM,midnightblue,652,8.52685873108252,NA
PUTM_pink,PUTM,pink,590,30.9251202086484,NA
PUTM_purple,PUTM,purple,644,16.406360816938,NA
PUTM_red,PUTM,red,1149,41.6376246251609,NA
PUTM_royalblue,PUTM,royalblue,1455,8.28528977696683,NA
PUTM_salmon,PUTM,salmon,551,3.51774369350111,NA
PUTM_tan,PUTM,tan,366,33.4231938940458,NA
PUTM_turquoise,PUTM,turquoise,2709,68.2545796903451,NA
PUTM_yellow,PUTM,yellow,1096,12.2784293932304,NA
