,size,MEDU,SNIG
MEDU_black,799,NA,5
MEDU_blue,1723,NA,13
MEDU_brown,933,NA,14
MEDU_cyan,1552,NA,2
MEDU_green,909,NA,18
MEDU_greenyellow,972,NA,1
MEDU_grey60,794,NA,17
MEDU_lightcyan,900,NA,4
MEDU_lightgreen,922,NA,9
MEDU_lightyellow,815,NA,11
MEDU_midnightblue,911,NA,9
MEDU_pink,457,NA,12
MEDU_purple,1275,NA,6
MEDU_red,1087,NA,8
MEDU_tan,1421,NA,12
MEDU_turquoise,2429,NA,6
MEDU_yellow,1253,NA,6
SNIG_black,1016,10,NA
SNIG_blue,2459,11,NA
SNIG_brown,1083,13,NA
SNIG_cyan,1193,14,NA
SNIG_green,1465,2,NA
SNIG_greenyellow,1439,6,NA
SNIG_magenta,1117,8,NA
SNIG_pink,1294,9,NA
SNIG_purple,625,1,NA
SNIG_red,1435,7,NA
SNIG_salmon,1091,4,NA
SNIG_turquoise,2953,5,NA
SNIG_yellow,1982,3,NA
