,size,MEDU,WHMT
MEDU_black,799,NA,2
MEDU_blue,1723,NA,10
MEDU_brown,933,NA,17
MEDU_cyan,1552,NA,3
MEDU_green,909,NA,15
MEDU_greenyellow,972,NA,4
MEDU_grey60,794,NA,13
MEDU_lightcyan,900,NA,7
MEDU_lightgreen,922,NA,10
MEDU_lightyellow,815,NA,12
MEDU_midnightblue,911,NA,17
MEDU_pink,457,NA,1
MEDU_purple,1275,NA,6
MEDU_red,1087,NA,9
MEDU_tan,1421,NA,16
MEDU_turquoise,2429,NA,8
MEDU_yellow,1253,NA,7
WHMT_black,1184,15,NA
WHMT_blue,1315,9,NA
WHMT_brown,1360,10,NA
WHMT_cyan,1069,18,NA
WHMT_green,1230,11,NA
WHMT_greenyellow,550,14,NA
WHMT_grey60,972,14,NA
WHMT_lightcyan,708,2,NA
WHMT_magenta,658,3,NA
WHMT_midnightblue,463,1,NA
WHMT_pink,1110,9,NA
WHMT_purple,602,7,NA
WHMT_red,625,4,NA
WHMT_salmon,1303,6,NA
WHMT_tan,1046,11,NA
WHMT_turquoise,2677,7,NA
WHMT_yellow,2280,14,NA
