,size,OCTX,PUTM
OCTX_black,530,NA,10
OCTX_blue,1372,NA,20
OCTX_brown,669,NA,8
OCTX_cyan,435,NA,27
OCTX_darkgreen,367,NA,22
OCTX_darkgrey,1389,NA,20
OCTX_darkmagenta,455,NA,7
OCTX_darkolivegreen,355,NA,32
OCTX_darkorange,504,NA,19
OCTX_darkturquoise,538,NA,31
OCTX_green,490,NA,35
OCTX_greenyellow,630,NA,18
OCTX_grey60,313,NA,17
OCTX_lightcyan,361,NA,2
OCTX_lightgreen,378,NA,3
OCTX_lightyellow,532,NA,29
OCTX_magenta,378,NA,23
OCTX_midnightblue,421,NA,7
OCTX_orange,436,NA,12
OCTX_paleturquoise,587,NA,1
OCTX_pink,501,NA,13
OCTX_purple,545,NA,16
OCTX_red,581,NA,34
OCTX_royalblue,418,NA,20
OCTX_saddlebrown,430,NA,12
OCTX_salmon,518,NA,23
OCTX_sienna3,400,NA,11
OCTX_skyblue,423,NA,10
OCTX_steelblue,443,NA,13
OCTX_tan,440,NA,26
OCTX_turquoise,1775,NA,4
OCTX_violet,344,NA,25
OCTX_white,547,NA,24
OCTX_yellow,647,NA,30
PUTM_black,867,7,NA
PUTM_blue,1028,19,NA
PUTM_brown,1090,11,NA
PUTM_cyan,524,18,NA
PUTM_green,725,4,NA
PUTM_greenyellow,362,5,NA
PUTM_grey60,794,14,NA
PUTM_lightcyan,736,10,NA
PUTM_lightgreen,849,14,NA
PUTM_lightyellow,2271,8,NA
PUTM_magenta,694,7,NA
PUTM_midnightblue,652,10,NA
PUTM_pink,590,2,NA
PUTM_purple,644,9,NA
PUTM_red,1149,4,NA
PUTM_royalblue,1455,16,NA
PUTM_salmon,551,18,NA
PUTM_tan,366,1,NA
PUTM_turquoise,2709,12,NA
PUTM_yellow,1096,20,NA
