,tissue,color,size,OCTX,PUTM
OCTX_black,OCTX,black,530,NA,31.1428465922033
OCTX_blue,OCTX,blue,1372,NA,44.9655655275729
OCTX_brown,OCTX,brown,669,NA,53.5607717684165
OCTX_cyan,OCTX,cyan,435,NA,13.5495924948977
OCTX_darkgreen,OCTX,darkgreen,367,NA,14.4485587710608
OCTX_darkgrey,OCTX,darkgrey,1389,NA,13.3403200554983
OCTX_darkmagenta,OCTX,darkmagenta,455,NA,16.1275704147426
OCTX_darkolivegreen,OCTX,darkolivegreen,355,NA,4.82901445440757
OCTX_darkorange,OCTX,darkorange,504,NA,14.8358270357671
OCTX_darkturquoise,OCTX,darkturquoise,538,NA,6.96133544824135
OCTX_green,OCTX,green,490,NA,4.19141446793939
OCTX_greenyellow,OCTX,greenyellow,630,NA,23.4817106695139
OCTX_grey60,OCTX,grey60,313,NA,14.0799912548971
OCTX_lightcyan,OCTX,lightcyan,361,NA,24.3164002219134
OCTX_lightgreen,OCTX,lightgreen,378,NA,22.0046479398358
OCTX_lightyellow,OCTX,lightyellow,532,NA,10.8128766913441
OCTX_magenta,OCTX,magenta,378,NA,18.9376827971695
OCTX_midnightblue,OCTX,midnightblue,421,NA,17.1288708718927
OCTX_orange,OCTX,orange,436,NA,17.9739393813608
OCTX_paleturquoise,OCTX,paleturquoise,587,NA,17.1581646623624
OCTX_pink,OCTX,pink,501,NA,24.2891605794546
OCTX_purple,OCTX,purple,545,NA,23.3927419225435
OCTX_red,OCTX,red,581,NA,8.04437962840203
OCTX_royalblue,OCTX,royalblue,418,NA,15.5953919057668
OCTX_saddlebrown,OCTX,saddlebrown,430,NA,14.1685098948402
OCTX_salmon,OCTX,salmon,518,NA,15.0745449833179
OCTX_sienna3,OCTX,sienna3,400,NA,9.68718402645243
OCTX_skyblue,OCTX,skyblue,423,NA,17.6324460018356
OCTX_steelblue,OCTX,steelblue,443,NA,15.375580821634
OCTX_tan,OCTX,tan,440,NA,15.3819821442307
OCTX_turquoise,OCTX,turquoise,1775,NA,106.368612898057
OCTX_violet,OCTX,violet,344,NA,6.91651041828146
OCTX_white,OCTX,white,547,NA,13.676876084033
OCTX_yellow,OCTX,yellow,647,NA,18.5077759731123
PUTM_black,PUTM,black,867,38.1842985155846,NA
PUTM_blue,PUTM,blue,1028,26.922205586464,NA
PUTM_brown,PUTM,brown,1090,53.9598479235977,NA
PUTM_cyan,PUTM,cyan,524,7.2006075629357,NA
PUTM_green,PUTM,green,725,60.3020640977349,NA
PUTM_greenyellow,PUTM,greenyellow,362,22.7697604925858,NA
PUTM_grey60,PUTM,grey60,794,10.1020982077175,NA
PUTM_lightcyan,PUTM,lightcyan,736,18.3646224304201,NA
PUTM_lightgreen,PUTM,lightgreen,849,11.2589221861163,NA
PUTM_lightyellow,PUTM,lightyellow,2271,11.8870303903164,NA
PUTM_magenta,PUTM,magenta,694,31.3640292670594,NA
PUTM_midnightblue,PUTM,midnightblue,652,21.1698773983794,NA
PUTM_pink,PUTM,pink,590,32.9603083286849,NA
PUTM_purple,PUTM,purple,644,23.6903131082374,NA
PUTM_red,PUTM,red,1149,70.0093491909029,NA
PUTM_royalblue,PUTM,royalblue,1455,5.87261201131259,NA
PUTM_salmon,PUTM,salmon,551,5.4421645669266,NA
PUTM_tan,PUTM,tan,366,26.7211269152546,NA
PUTM_turquoise,PUTM,turquoise,2709,86.9970785918781,NA
PUTM_yellow,PUTM,yellow,1096,15.1406370075744,NA
