,tissue,color,size,OCTX,THAL
OCTX_black,OCTX,black,530,NA,37.7532608688477
OCTX_blue,OCTX,blue,1372,NA,36.5155434713794
OCTX_brown,OCTX,brown,669,NA,70.1523069385024
OCTX_cyan,OCTX,cyan,435,NA,14.8585630196433
OCTX_darkgreen,OCTX,darkgreen,367,NA,14.8097902321391
OCTX_darkgrey,OCTX,darkgrey,1389,NA,12.182151632922
OCTX_darkmagenta,OCTX,darkmagenta,455,NA,18.3370577800956
OCTX_darkolivegreen,OCTX,darkolivegreen,355,NA,8.47255877569845
OCTX_darkorange,OCTX,darkorange,504,NA,12.9866844385297
OCTX_darkturquoise,OCTX,darkturquoise,538,NA,15.3751566085164
OCTX_green,OCTX,green,490,NA,6.52515846458619
OCTX_greenyellow,OCTX,greenyellow,630,NA,28.5496080890621
OCTX_grey60,OCTX,grey60,313,NA,21.1508755275838
OCTX_lightcyan,OCTX,lightcyan,361,NA,28.2110737266723
OCTX_lightgreen,OCTX,lightgreen,378,NA,30.2542923660391
OCTX_lightyellow,OCTX,lightyellow,532,NA,9.60755203067994
OCTX_magenta,OCTX,magenta,378,NA,31.9301732100509
OCTX_midnightblue,OCTX,midnightblue,421,NA,15.182466052967
OCTX_orange,OCTX,orange,436,NA,18.4901338159168
OCTX_paleturquoise,OCTX,paleturquoise,587,NA,18.5673580011842
OCTX_pink,OCTX,pink,501,NA,48.7858212943785
OCTX_purple,OCTX,purple,545,NA,30.405196319479
OCTX_red,OCTX,red,581,NA,6.56234854176644
OCTX_royalblue,OCTX,royalblue,418,NA,15.1750043128049
OCTX_saddlebrown,OCTX,saddlebrown,430,NA,16.8928006615448
OCTX_salmon,OCTX,salmon,518,NA,20.1942154397251
OCTX_sienna3,OCTX,sienna3,400,NA,14.9702207397842
OCTX_skyblue,OCTX,skyblue,423,NA,15.7360162874419
OCTX_steelblue,OCTX,steelblue,443,NA,10.4427427488678
OCTX_tan,OCTX,tan,440,NA,25.8316206762765
OCTX_turquoise,OCTX,turquoise,1775,NA,78.4980412134656
OCTX_violet,OCTX,violet,344,NA,15.5796465708386
OCTX_white,OCTX,white,547,NA,11.1544123777289
OCTX_yellow,OCTX,yellow,647,NA,19.864473327819
THAL_black,THAL,black,1308,31.0046391538738,NA
THAL_blue,THAL,blue,2188,59.6773776855256,NA
THAL_brown,THAL,brown,1284,22.5135958702079,NA
THAL_cyan,THAL,cyan,729,3.29766334392625,NA
THAL_darkgreen,THAL,darkgreen,838,57.2668392708007,NA
THAL_darkred,THAL,darkred,1017,8.19348116496271,NA
THAL_greenyellow,THAL,greenyellow,458,6.48139028500767,NA
THAL_grey60,THAL,grey60,475,2.71053770259202,NA
THAL_lightcyan,THAL,lightcyan,1133,12.1405520953101,NA
THAL_lightgreen,THAL,lightgreen,966,19.8547489524864,NA
THAL_lightyellow,THAL,lightyellow,493,5.84921681993971,NA
THAL_magenta,THAL,magenta,746,7.62499513196634,NA
THAL_midnightblue,THAL,midnightblue,306,21.6663720583351,NA
THAL_pink,THAL,pink,1035,24.4980641567402,NA
THAL_red,THAL,red,1241,56.3901834040088,NA
THAL_salmon,THAL,salmon,426,28.7121438524978,NA
THAL_tan,THAL,tan,808,10.9080325745833,NA
THAL_turquoise,THAL,turquoise,3072,100.637717318973,NA
THAL_yellow,THAL,yellow,629,33.3301287282117,NA
