"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","darkmagenta",TRUE,0.0208,489,418,32,0.077,0.065,"GO:0055114","BP",1,"oxidation-reduction process",1,NA,5.1043878411869
"2","darkmagenta",TRUE,0.00494,328,418,26,0.062,0.079,"GO:0006091","BP",1,"generation of precursor metabolites and energy",1,NA,5.96211604385297
"3","darkmagenta",TRUE,0.0111,261,418,22,0.053,0.084,"GO:0015980","BP",1,"energy derivation by oxidation of organic compounds",2,NA,6.46380918405569
"4","darkmagenta",TRUE,0.00136,128,418,16,0.038,0.125,"GO:0045333","BP",1,"cellular respiration",3,NA,7.18772802328239
"5","darkmagenta",TRUE,0.0429,83,418,11,0.026,0.133,"GO:0015992","BP",2,"proton transport",1,NA,7.60894148835869
"6","darkmagenta",TRUE,0.00306,11021,418,353,0.844,0.032,"GO:0005575","CC",3,"cellular_component",1,NA,0
"7","darkmagenta",TRUE,2.46e-05,8097,418,286,0.684,0.035,"GO:0043226","CC",3,"organelle",2,NA,0.565605514134331
"8","darkmagenta",TRUE,1.91e-08,7579,418,283,0.677,0.037,"GO:0043227","CC",3,"membrane-bounded organelle",3,NA,0.734472452582356
"9","darkmagenta",TRUE,0.00122,9915,418,327,0.782,0.033,"GO:0005623","CC",3,"cell",2,NA,0.275255071864458
"10","darkmagenta",TRUE,0.00536,3264,418,133,0.318,0.041,"GO:0031974","CC",3,"membrane-enclosed lumen",2,NA,2.11753978628716
"11","darkmagenta",TRUE,0.00161,9895,418,326,0.78,0.033,"GO:0044464","CC",3,"cell part",2,NA,0.27551579406643
"12","darkmagenta",TRUE,3.42e-09,8662,418,314,0.751,0.036,"GO:0005622","CC",3,"intracellular",3,NA,0.458202476180666
"13","darkmagenta",TRUE,5.71e-10,8495,418,312,0.746,0.037,"GO:0044424","CC",3,"intracellular part",4,NA,0.465375469578815
"14","darkmagenta",TRUE,1.8e-10,6627,418,263,0.629,0.04,"GO:0005737","CC",3,"cytoplasm",5,NA,1.19900315497263
"15","darkmagenta",TRUE,5.14e-07,5278,418,212,0.507,0.04,"GO:0044444","CC",3,"cytoplasmic part",6,NA,1.60446826308079
"16","darkmagenta",TRUE,7e-06,7076,418,260,0.622,0.037,"GO:0043229","CC",3,"intracellular organelle",5,NA,0.76882230233395
"17","darkmagenta",TRUE,2.34e-08,6479,418,252,0.603,0.039,"GO:0043231","CC",3,"intracellular membrane-bounded organelle",6,NA,0.948868868810718
"18","darkmagenta",TRUE,2.35e-05,882,418,56,0.134,0.063,"GO:0005739","CC",3,"mitochondrion",7,NA,3.29011241294618
"19","darkmagenta",TRUE,3.2e-07,5353,418,215,0.514,0.04,"GO:0044422","CC",3,"organelle part",2,NA,1.39654167757144
"20","darkmagenta",TRUE,0.0145,3231,418,130,0.311,0.04,"GO:0043233","CC",3,"organelle lumen",3,NA,2.12773692576892
"21","darkmagenta",TRUE,6.61e-08,5240,418,214,0.512,0.041,"GO:0044446","CC",3,"intracellular organelle part",3,NA,1.42975381177755
"22","darkmagenta",TRUE,0.00703,3187,418,130,0.311,0.041,"GO:0070013","CC",3,"intracellular organelle lumen",4,NA,2.12801397245305
"23","darkmagenta",TRUE,2.09e-05,541,418,41,0.098,0.076,"GO:0044429","CC",3,"mitochondrial part",4,NA,4.26476063082647
"24","darkmagenta",TRUE,0.00236,356,418,28,0.067,0.079,"GO:0005740","CC",3,"mitochondrial envelope",5,NA,4.61875640370516
"25","darkmagenta",TRUE,0.00635,1642,418,78,0.187,0.048,"GO:0031090","CC",3,"organelle membrane",3,NA,3.18430912552996
"26","darkmagenta",TRUE,0.000123,271,418,26,0.062,0.096,"GO:0019866","CC",3,"organelle inner membrane",4,NA,5.17753642059318
"27","darkmagenta",TRUE,0.00467,327,418,26,0.062,0.08,"GO:0031966","CC",3,"mitochondrial membrane",4,NA,4.75085547333475
"28","darkmagenta",TRUE,9.12e-05,249,418,25,0.06,0.1,"GO:0005743","CC",3,"mitochondrial inner membrane",5,NA,5.23779561211138
"29","red",TRUE,0.00794,3451,445,146,0.328,0.042,"GO:0032501","BP",1,"multicellular organismal process",1,NA,1.67871931335938
"30","red",TRUE,0.00437,3328,445,143,0.321,0.043,"GO:0044707","BP",1,"single-multicellular organism process",2,NA,1.69853206600742
"31","red",TRUE,0.00513,804,445,49,0.11,0.061,"GO:0003008","BP",1,"system process",3,NA,3.89189115727806
"32","red",TRUE,0.0164,388,445,29,0.065,0.075,"GO:0050877","BP",1,"neurological system process",4,NA,4.8304180305991
"33","red",TRUE,2.16e-06,468,445,41,0.092,0.088,"GO:0007186","BP",3,"G-protein coupled receptor signaling pathway",1,NA,4.95302035269143
"34","red",TRUE,0.00299,48,445,10,0.022,0.208,"GO:0007200","BP",3,"phospholipase C-activating G-protein coupled receptor signaling pathway",2,NA,7.32125941590691
"35","red",TRUE,1.11e-05,123,445,19,0.043,0.154,"GO:0007187","BP",3,"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",2,NA,6.55911936386002
"36","red",TRUE,0.00116,104,445,15,0.034,0.144,"GO:0007188","BP",3,"adenylate cyclase-modulating G-protein coupled receptor signaling pathway",3,NA,6.5930209155357
"37","red",TRUE,8.67e-06,780,445,55,0.124,0.071,"GO:0007267","BP",5,"cell-cell signaling",1,NA,4.51789903500038
