,size,PUTM,SNIG
PUTM_black,867,NA,9
PUTM_blue,1028,NA,15
PUTM_brown,1090,NA,6
PUTM_cyan,524,NA,18
PUTM_green,725,NA,4
PUTM_greenyellow,362,NA,8
PUTM_grey60,794,NA,11
PUTM_lightcyan,736,NA,5
PUTM_lightgreen,849,NA,12
PUTM_lightyellow,2271,NA,3
PUTM_magenta,694,NA,14
PUTM_midnightblue,652,NA,18
PUTM_pink,590,NA,2
PUTM_purple,644,NA,11
PUTM_red,1149,NA,13
PUTM_royalblue,1455,NA,16
PUTM_salmon,551,NA,20
PUTM_tan,366,NA,2
PUTM_turquoise,2709,NA,9
PUTM_yellow,1096,NA,20
SNIG_black,1016,10,NA
SNIG_blue,2459,4,NA
SNIG_brown,1083,12,NA
SNIG_cyan,1193,13,NA
SNIG_green,1465,6,NA
SNIG_greenyellow,1439,4,NA
SNIG_magenta,1117,13,NA
SNIG_pink,1294,8,NA
SNIG_purple,625,4,NA
SNIG_red,1435,7,NA
SNIG_salmon,1091,9,NA
SNIG_turquoise,2953,1,NA
SNIG_yellow,1982,5,NA
