,size,PUTM,TCTX
PUTM_black,867,NA,11
PUTM_blue,1028,NA,18
PUTM_brown,1090,NA,10
PUTM_cyan,524,NA,18
PUTM_green,725,NA,4
PUTM_greenyellow,362,NA,8
PUTM_grey60,794,NA,15
PUTM_lightcyan,736,NA,12
PUTM_lightgreen,849,NA,6
PUTM_lightyellow,2271,NA,6
PUTM_magenta,694,NA,10
PUTM_midnightblue,652,NA,13
PUTM_pink,590,NA,1
PUTM_purple,644,NA,12
PUTM_red,1149,NA,6
PUTM_royalblue,1455,NA,17
PUTM_salmon,551,NA,16
PUTM_tan,366,NA,2
PUTM_turquoise,2709,NA,12
PUTM_yellow,1096,NA,21
TCTX_black,898,21,NA
TCTX_blue,1556,3,NA
TCTX_brown,883,20,NA
TCTX_cyan,647,17,NA
TCTX_darkgreen,518,5,NA
TCTX_darkred,844,3,NA
TCTX_darkturquoise,687,16,NA
TCTX_green,896,19,NA
TCTX_greenyellow,738,16,NA
TCTX_grey60,622,9,NA
TCTX_lightcyan,647,13,NA
TCTX_lightgreen,774,14,NA
TCTX_lightyellow,699,1,NA
TCTX_magenta,906,8,NA
TCTX_midnightblue,794,9,NA
TCTX_pink,893,23,NA
TCTX_purple,800,10,NA
TCTX_red,1607,6,NA
TCTX_salmon,683,3,NA
TCTX_tan,722,18,NA
TCTX_turquoise,1565,10,NA
TCTX_yellow,773,8,NA
