,tissue,color,size,PUTM,THAL
PUTM_black,PUTM,black,867,NA,21.7993104453376
PUTM_blue,PUTM,blue,1028,NA,34.4920866686394
PUTM_brown,PUTM,brown,1090,NA,56.769440635526
PUTM_cyan,PUTM,cyan,524,NA,3.13243390290809
PUTM_green,PUTM,green,725,NA,62.0143028429519
PUTM_greenyellow,PUTM,greenyellow,362,NA,16.6507757510478
PUTM_grey60,PUTM,grey60,794,NA,15.3835454637255
PUTM_lightcyan,PUTM,lightcyan,736,NA,22.8632687890242
PUTM_lightgreen,PUTM,lightgreen,849,NA,14.1790791793977
PUTM_lightyellow,PUTM,lightyellow,2271,NA,13.9977308077002
PUTM_magenta,PUTM,magenta,694,NA,18.918227341145
PUTM_midnightblue,PUTM,midnightblue,652,NA,8.25648044995426
PUTM_pink,PUTM,pink,590,NA,38.6527411098963
PUTM_purple,PUTM,purple,644,NA,15.5242492833054
PUTM_red,PUTM,red,1149,NA,40.6676145767138
PUTM_royalblue,PUTM,royalblue,1455,NA,6.07138866241809
PUTM_salmon,PUTM,salmon,551,NA,5.14615253901441
PUTM_tan,PUTM,tan,366,NA,23.0264285732387
PUTM_turquoise,PUTM,turquoise,2709,NA,59.8928942955672
PUTM_yellow,PUTM,yellow,1096,NA,5.95429089805927
THAL_black,THAL,black,1308,27.2072060074401,NA
THAL_blue,THAL,blue,2188,56.9066388732015,NA
THAL_brown,THAL,brown,1284,26.1366816467138,NA
THAL_cyan,THAL,cyan,729,3.24959988915428,NA
THAL_darkgreen,THAL,darkgreen,838,31.8142787022938,NA
THAL_darkred,THAL,darkred,1017,6.78882285515482,NA
THAL_greenyellow,THAL,greenyellow,458,6.0097836831462,NA
THAL_grey60,THAL,grey60,475,1.65758745699026,NA
THAL_lightcyan,THAL,lightcyan,1133,14.8496786286071,NA
THAL_lightgreen,THAL,lightgreen,966,18.0657238860966,NA
THAL_lightyellow,THAL,lightyellow,493,5.08635528052726,NA
THAL_magenta,THAL,magenta,746,3.84520240870992,NA
THAL_midnightblue,THAL,midnightblue,306,20.3931651218407,NA
THAL_pink,THAL,pink,1035,11.2691134748381,NA
THAL_red,THAL,red,1241,46.2910399575681,NA
THAL_salmon,THAL,salmon,426,24.2259569864271,NA
THAL_tan,THAL,tan,808,4.58426424567694,NA
THAL_turquoise,THAL,turquoise,3072,108.664077400603,NA
THAL_yellow,THAL,yellow,629,18.8528892122276,NA
