,size,PUTM,WHMT
PUTM_black,867,NA,9
PUTM_blue,1028,NA,17
PUTM_brown,1090,NA,15
PUTM_cyan,524,NA,19
PUTM_green,725,NA,4
PUTM_greenyellow,362,NA,2
PUTM_grey60,794,NA,10
PUTM_lightcyan,736,NA,8
PUTM_lightgreen,849,NA,11
PUTM_lightyellow,2271,NA,5
PUTM_magenta,694,NA,8
PUTM_midnightblue,652,NA,17
PUTM_pink,590,NA,4
PUTM_purple,644,NA,14
PUTM_red,1149,NA,12
PUTM_royalblue,1455,NA,10
PUTM_salmon,551,NA,20
PUTM_tan,366,NA,1
PUTM_turquoise,2709,NA,8
PUTM_yellow,1096,NA,21
WHMT_black,1184,12,NA
WHMT_blue,1315,12,NA
WHMT_brown,1360,14,NA
WHMT_cyan,1069,18,NA
WHMT_green,1230,14,NA
WHMT_greenyellow,550,17,NA
WHMT_grey60,972,11,NA
WHMT_lightcyan,708,2,NA
WHMT_magenta,658,7,NA
WHMT_midnightblue,463,3,NA
WHMT_pink,1110,11,NA
WHMT_purple,602,7,NA
WHMT_red,625,10,NA
WHMT_salmon,1303,6,NA
WHMT_tan,1046,5,NA
WHMT_turquoise,2677,2,NA
WHMT_yellow,2280,5,NA
