,tissue,color,size,PUTM,WHMT
PUTM_black,PUTM,black,867,NA,23.5304305451377
PUTM_blue,PUTM,blue,1028,NA,28.909006407286
PUTM_brown,PUTM,brown,1090,NA,42.3553289631135
PUTM_cyan,PUTM,cyan,524,NA,5.26835023111411
PUTM_green,PUTM,green,725,NA,54.0656519715057
PUTM_greenyellow,PUTM,greenyellow,362,NA,33.2597603708213
PUTM_grey60,PUTM,grey60,794,NA,12.0528765471646
PUTM_lightcyan,PUTM,lightcyan,736,NA,17.7860510641177
PUTM_lightgreen,PUTM,lightgreen,849,NA,11.9728653383608
PUTM_lightyellow,PUTM,lightyellow,2271,NA,12.4633261923146
PUTM_magenta,PUTM,magenta,694,NA,25.866710949959
PUTM_midnightblue,PUTM,midnightblue,652,NA,7.85427488323769
PUTM_pink,PUTM,pink,590,NA,29.7332119280124
PUTM_purple,PUTM,purple,644,NA,13.7622881654222
PUTM_red,PUTM,red,1149,NA,44.9177517710699
PUTM_royalblue,PUTM,royalblue,1455,NA,8.47141518621754
PUTM_salmon,PUTM,salmon,551,NA,6.60775792198224
PUTM_tan,PUTM,tan,366,NA,33.7008542110471
PUTM_turquoise,PUTM,turquoise,2709,NA,73.0302695272472
PUTM_yellow,PUTM,yellow,1096,NA,9.18117336059392
WHMT_black,WHMT,black,1184,20.3759154801355,NA
WHMT_blue,WHMT,blue,1315,32.4093958173098,NA
WHMT_brown,WHMT,brown,1360,23.3803375592493,NA
WHMT_cyan,WHMT,cyan,1069,2.21730917040383,NA
WHMT_green,WHMT,green,1230,18.948370665782,NA
WHMT_greenyellow,WHMT,greenyellow,550,5.04275000616043,NA
WHMT_grey60,WHMT,grey60,972,5.05172226651971,NA
WHMT_lightcyan,WHMT,lightcyan,708,16.2496783285578,NA
WHMT_magenta,WHMT,magenta,658,23.2062516072585,NA
WHMT_midnightblue,WHMT,midnightblue,463,16.8604752337005,NA
WHMT_pink,WHMT,pink,1110,21.252981687902,NA
WHMT_purple,WHMT,purple,602,17.5515864703111,NA
WHMT_red,WHMT,red,625,18.8921936886481,NA
WHMT_salmon,WHMT,salmon,1303,19.6369467532274,NA
WHMT_tan,WHMT,tan,1046,24.1172670345741,NA
WHMT_turquoise,WHMT,turquoise,2677,108.545965278836,NA
WHMT_yellow,WHMT,yellow,2280,33.6661082907752,NA
