,size,SNIG,THAL
SNIG_black,1016,NA,8
SNIG_blue,2459,NA,10
SNIG_brown,1083,NA,12
SNIG_cyan,1193,NA,14
SNIG_green,1465,NA,3
SNIG_greenyellow,1439,NA,6
SNIG_magenta,1117,NA,13
SNIG_pink,1294,NA,2
SNIG_purple,625,NA,4
SNIG_red,1435,NA,7
SNIG_salmon,1091,NA,9
SNIG_turquoise,2953,NA,5
SNIG_yellow,1982,NA,2
THAL_black,1308,8,NA
THAL_blue,2188,7,NA
THAL_brown,1284,12,NA
THAL_cyan,729,20,NA
THAL_darkgreen,838,6,NA
THAL_darkred,1017,10,NA
THAL_greenyellow,458,17,NA
THAL_grey60,475,19,NA
THAL_lightcyan,1133,7,NA
THAL_lightgreen,966,2,NA
THAL_lightyellow,493,15,NA
THAL_magenta,746,17,NA
THAL_midnightblue,306,4,NA
THAL_pink,1035,13,NA
THAL_red,1241,6,NA
THAL_salmon,426,1,NA
THAL_tan,808,15,NA
THAL_turquoise,3072,4,NA
THAL_yellow,629,12,NA
