,tissue,color,size,TCTX,THAL
TCTX_black,TCTX,black,898,NA,18.0420619652097
TCTX_blue,TCTX,blue,1556,NA,59.5717925137325
TCTX_brown,TCTX,brown,883,NA,53.1645814089976
TCTX_cyan,TCTX,cyan,647,NA,32.9391039536665
TCTX_darkgreen,TCTX,darkgreen,518,NA,17.4092805199522
TCTX_darkred,TCTX,darkred,844,NA,18.3395181409398
TCTX_darkturquoise,TCTX,darkturquoise,687,NA,13.5090456685405
TCTX_green,TCTX,green,896,NA,49.6346050238347
TCTX_greenyellow,TCTX,greenyellow,738,NA,17.0889647616687
TCTX_grey60,TCTX,grey60,622,NA,26.015221226591
TCTX_lightcyan,TCTX,lightcyan,647,NA,16.5012948689637
TCTX_lightgreen,TCTX,lightgreen,774,NA,13.8800114417667
TCTX_lightyellow,TCTX,lightyellow,699,NA,23.7222638000622
TCTX_magenta,TCTX,magenta,906,NA,48.5566695535878
TCTX_midnightblue,TCTX,midnightblue,794,NA,26.1199049585747
TCTX_pink,TCTX,pink,893,NA,22.2546488165363
TCTX_purple,TCTX,purple,800,NA,35.8766369173611
TCTX_red,TCTX,red,1607,NA,40.0606378651101
TCTX_salmon,TCTX,salmon,683,NA,36.7440703967283
TCTX_tan,TCTX,tan,722,NA,7.78443374811679
TCTX_turquoise,TCTX,turquoise,1565,NA,55.9056502023133
TCTX_yellow,TCTX,yellow,773,NA,63.7402439642693
THAL_black,THAL,black,1308,45.6793357259663,NA
THAL_blue,THAL,blue,2188,59.8920487725142,NA
THAL_brown,THAL,brown,1284,39.0361454479321,NA
THAL_cyan,THAL,cyan,729,3.60720610373552,NA
THAL_darkgreen,THAL,darkgreen,838,59.4078706794996,NA
THAL_darkred,THAL,darkred,1017,7.93663998288915,NA
THAL_greenyellow,THAL,greenyellow,458,3.71104190979481,NA
THAL_grey60,THAL,grey60,475,3.44125588350389,NA
THAL_lightcyan,THAL,lightcyan,1133,13.924103452338,NA
THAL_lightgreen,THAL,lightgreen,966,22.7205960969101,NA
THAL_lightyellow,THAL,lightyellow,493,6.06859321114879,NA
THAL_magenta,THAL,magenta,746,15.7226155306929,NA
THAL_midnightblue,THAL,midnightblue,306,18.5031256619323,NA
THAL_pink,THAL,pink,1035,25.477959183707,NA
THAL_red,THAL,red,1241,55.4426930139062,NA
THAL_salmon,THAL,salmon,426,30.8308043581406,NA
THAL_tan,THAL,tan,808,8.93619312899252,NA
THAL_turquoise,THAL,turquoise,3072,84.3155400086867,NA
THAL_yellow,THAL,yellow,629,32.19464807453,NA
