,size,TCTX,WHMT
TCTX_black,898,NA,22
TCTX_blue,1556,NA,8
TCTX_brown,883,NA,15
TCTX_cyan,647,NA,13
TCTX_darkgreen,518,NA,6
TCTX_darkred,844,NA,1
TCTX_darkturquoise,687,NA,14
TCTX_green,896,NA,13
TCTX_greenyellow,738,NA,10
TCTX_grey60,622,NA,9
TCTX_lightcyan,647,NA,15
TCTX_lightgreen,774,NA,17
TCTX_lightyellow,699,NA,3
TCTX_magenta,906,NA,6
TCTX_midnightblue,794,NA,2
TCTX_pink,893,NA,20
TCTX_purple,800,NA,18
TCTX_red,1607,NA,5
TCTX_salmon,683,NA,11
TCTX_tan,722,NA,20
TCTX_turquoise,1565,NA,11
TCTX_yellow,773,NA,5
WHMT_black,1184,16,NA
WHMT_blue,1315,10,NA
WHMT_brown,1360,13,NA
WHMT_cyan,1069,17,NA
WHMT_green,1230,13,NA
WHMT_greenyellow,550,14,NA
WHMT_grey60,972,13,NA
WHMT_lightcyan,708,3,NA
WHMT_magenta,658,11,NA
WHMT_midnightblue,463,1,NA
WHMT_pink,1110,9,NA
WHMT_purple,602,2,NA
WHMT_red,625,8,NA
WHMT_salmon,1303,8,NA
WHMT_tan,1046,6,NA
WHMT_turquoise,2677,4,NA
WHMT_yellow,2280,6,NA
