,tissue,color,size,TCTX,WHMT
TCTX_black,TCTX,black,898,NA,12.381791568275
TCTX_blue,TCTX,blue,1556,NA,61.6579290656215
TCTX_brown,TCTX,brown,883,NA,32.7212972803799
TCTX_cyan,TCTX,cyan,647,NA,21.5681250646485
TCTX_darkgreen,TCTX,darkgreen,518,NA,17.0147801435578
TCTX_darkred,TCTX,darkred,844,NA,26.5673075497513
TCTX_darkturquoise,TCTX,darkturquoise,687,NA,12.777801998224
TCTX_green,TCTX,green,896,NA,32.432463919908
TCTX_greenyellow,TCTX,greenyellow,738,NA,26.6207425760396
TCTX_grey60,TCTX,grey60,622,NA,19.4590234902211
TCTX_lightcyan,TCTX,lightcyan,647,NA,16.6200105562724
TCTX_lightgreen,TCTX,lightgreen,774,NA,20.1270787484598
TCTX_lightyellow,TCTX,lightyellow,699,NA,21.6639745587346
TCTX_magenta,TCTX,magenta,906,NA,42.0602717661962
TCTX_midnightblue,TCTX,midnightblue,794,NA,35.6266415748928
TCTX_pink,TCTX,pink,893,NA,18.5468969700016
TCTX_purple,TCTX,purple,800,NA,28.8021315270969
TCTX_red,TCTX,red,1607,NA,56.9185537412879
TCTX_salmon,TCTX,salmon,683,NA,22.6782506337571
TCTX_tan,TCTX,tan,722,NA,11.0781498021685
TCTX_turquoise,TCTX,turquoise,1565,NA,59.2216005517411
TCTX_yellow,TCTX,yellow,773,NA,54.1377518235746
WHMT_black,WHMT,black,1184,14.076894035018,NA
WHMT_blue,WHMT,blue,1315,56.7083531700641,NA
WHMT_brown,WHMT,brown,1360,32.2613154973158,NA
WHMT_cyan,WHMT,cyan,1069,6.20414537877916,NA
WHMT_green,WHMT,green,1230,21.925917731229,NA
WHMT_greenyellow,WHMT,greenyellow,550,11.6519479333016,NA
WHMT_grey60,WHMT,grey60,972,8.53711316596992,NA
WHMT_lightcyan,WHMT,lightcyan,708,16.8475138101167,NA
WHMT_magenta,WHMT,magenta,658,20.4046081458539,NA
WHMT_midnightblue,WHMT,midnightblue,463,34.3551940690473,NA
WHMT_pink,WHMT,pink,1110,31.7593140033331,NA
WHMT_purple,WHMT,purple,602,37.5350057356139,NA
WHMT_red,WHMT,red,625,26.1104330955632,NA
WHMT_salmon,WHMT,salmon,1303,24.3554155926789,NA
WHMT_tan,WHMT,tan,1046,32.4542032870452,NA
WHMT_turquoise,WHMT,turquoise,2677,96.3199392101004,NA
WHMT_yellow,WHMT,yellow,2280,40.4044492232489,NA
