"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","tan",TRUE,0.000272,7129,917,521,0.568,0.073,"GO:0008152","BP",1,"metabolic process",1,NA,1.09105922272488
"2","tan",TRUE,9e-05,6333,917,474,0.517,0.075,"GO:0044238","BP",1,"primary metabolic process",2,NA,1.35036207402462
"3","tan",TRUE,0.000746,6615,917,486,0.53,0.073,"GO:0071704","BP",1,"organic substance metabolic process",2,NA,1.24542089527368
"4","tan",TRUE,2.26e-05,5543,917,427,0.466,0.077,"GO:0043170","BP",1,"macromolecule metabolic process",3,NA,1.42116638675389
"5","tan",TRUE,0.000222,2500,917,216,0.236,0.086,"GO:0043412","BP",1,"macromolecule modification",4,NA,2.51841001747055
"6","tan",TRUE,7.34e-06,3463,917,291,0.317,0.084,"GO:0019538","BP",1,"protein metabolic process",4,NA,2.18252411918334
"7","tan",TRUE,8.9e-05,2416,917,212,0.231,0.088,"GO:0036211","BP",1,"protein modification process",5,NA,2.55512507989306
"8","tan",TRUE,0.00563,850,917,87,0.095,0.102,"GO:0009057","BP",1,"macromolecule catabolic process",1,NA,4.05905046633234
"9","tan",TRUE,0.000238,576,917,69,0.075,0.12,"GO:0030163","BP",1,"protein catabolic process",2,NA,4.42298247850364
"10","tan",TRUE,3.32e-05,6529,917,489,0.533,0.075,"GO:0044237","BP",1,"cellular metabolic process",1,NA,1.25366088916061
"11","tan",TRUE,0.0349,1341,917,121,0.132,0.09,"GO:0044248","BP",1,"cellular catabolic process",2,NA,3.49963012450327
"12","tan",TRUE,6.98e-06,5206,917,408,0.445,0.078,"GO:0044260","BP",1,"cellular macromolecule metabolic process",2,NA,1.54792866847206
"13","tan",TRUE,5.42e-06,3194,917,273,0.298,0.085,"GO:0044267","BP",1,"cellular protein metabolic process",3,NA,2.30350665404179
"14","tan",TRUE,8.9e-05,2416,917,212,0.231,0.088,"GO:0006464","BP",1,"cellular protein modification process",4,NA,2.55512507989306
