"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"yellow","blue_M2_Oligodendrocytes__HumanMeta","Brain",7.40615498627751e-134
"red","brown_M3_Astrocytes__HumanMeta","Brain",8.01730578400062e-134
"brown","blue_M2_Oligodendrocytes__HumanMeta","Brain",6.57930414689698e-98
"midnightblue","pink_M10_Microglia(Type1)__HumanMeta","Brain",2.09909471054583e-97
"red","brown_M15_Astrocyte__CTX","Brain",1.40542884144302e-78
"red","Astrocyte_probable__Cahoy","Brain",1.34762616860256e-76
"green","Neuron_probable__Cahoy","Brain",1.20208921983566e-74
"brown","turquoise_M9_Oligodendrocyte__CTX","Brain",3.59873862829062e-65
"greenyellow","Neuron_probable__Cahoy","Brain",2.29491590767926e-64
"yellow","turquoise_M9_Oligodendrocyte__CTX","Brain",1.94962448152268e-60
"green","Autism_associated_module_M12__Voineagu","Brain",6.46624553963573e-52
"yellow","Oligodendrocyte_probable__Cahoy","Brain",2.53996026455584e-43
"brown","tan_noChangeAD_oligo_plasmaMembrane__Blalock_AD","Brain",1.84577954347711e-40
"red","red_ACCandCaudate__HumanChimp","Brain",6.22314271536582e-40
"cyan","Neuron_probable__Cahoy","Brain",1.79837111176155e-38
"red","Astrocyte_definite__Cahoy","Brain",5.29735642746169e-38
"green","Neuron_definite__Cahoy","Brain",5.73249569803245e-35
"brown","Oligodendrocyte_probable__Cahoy","Brain",1.31390078211742e-32
"magenta","yellow_M18__CTX","Brain",5.32784599793687e-32
"tan","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",1.7566858151556e-31
"midnightblue","purple_M4_Microglia(Type1)__CTX","Brain",1.31277617925505e-29
"brown","turquoise_upAging_oligo__Lu_Aging","Brain",4.62257415953199e-29
"magenta","blue_M16_Neuron__CTX","Brain",5.20125126768273e-29
"darkred","Astrocyte_probable__Cahoy","Brain",2.38825389829177e-27
"yellow","Oligodendrocyte_definite__Cahoy","Brain",6.25305357869302e-25
"brown","Oligodendrocyte__ABA","Brain",6.72266661632036e-25
"darkred","brown_M3_Astrocytes__HumanMeta","Brain",6.91407849123673e-25
"royalblue","magenta_M8_Microglia(Type2)__HumanMeta","Brain",9.36958291541782e-25
"red","brown_upAging_copperHomeostatisMT1__Lu_Aging","Brain",1.41005508748457e-23
"green","purple_downAD_synapticTransmission__Blalock_AD","Brain",2.01282503945191e-23
"tan","red_M11_Neuron__HumanMeta","Brain",2.70743688145719e-23
"midnightblue","upInFrontalCortex__EarlyAD","Brain",4.05115545681682e-23
"tan","blue_M16_Neuron__CTX","Brain",1.31174399626741e-22
"green","PostSynapticDensity_proteins__Bayes","Brain",1.56202339332405e-22
"green","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",2.00271519668844e-22
"green","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",6.33494402800316e-22
"yellow","turquoise_upAging_oligo__Lu_Aging","Brain",1.29697656972375e-21
"greenyellow","Autism_associated_module_M12__Voineagu","Brain",3.5297374981635e-21
"tan","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",9.11028129986865e-21
"green","green_M5_Mitochondria__HumanMeta","Brain",4.70585175519533e-20
"brown","black_WhiteMatter__HumanChimp","Brain",5.06562456617192e-20
"green","brown_downAD_mitochondrion__Blalock_AD","Brain",1.47084868886596e-18
"yellow","tan_noChangeAD_oligo_plasmaMembrane__Blalock_AD","Brain",5.64024713051069e-18
"grey60","green_M5_Mitochondria__HumanMeta","Brain",8.00915339975632e-18
"darkred","Astrocyte_definite__Cahoy","Brain",9.44644130360007e-18
"magenta","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",3.03394724151046e-17
"magenta","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",3.75098318718954e-16
"salmon","turquoise_M14_Nucleus__HumanMeta","Brain",5.50318327339314e-16
"red","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",8.6649649235606e-16
"magenta","red_M11_Neuron__HumanMeta","Brain",1.03663309385665e-15
"green","red_M11_Neuron__HumanMeta","Brain",1.11301787089836e-15
"greenyellow","Neuron_definite__Cahoy","Brain",1.35246111021227e-15
"darkred","brown_M15_Astrocyte__CTX","Brain",7.38093888266481e-15
"magenta","turquoise_M14_Nucleus__MouseMeta","Brain",7.94319167350179e-15
"grey60","greenyellow_M6_GlutatmatergicSynapse__MouseMeta","Brain",2.9765562812245e-14
"tan","turquoise_M14_Nucleus__MouseMeta","Brain",5.66261614186146e-14
"greenyellow","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",5.82612717658182e-14
"cyan","Neuron_definite__Cahoy","Brain",6.40286700886356e-14
"green","black_M1_PvalbInterneurons__HumanMeta","Brain",9.1053197120808e-14
"green","blue_Cortex__HumanChimp","Brain",1.00225530093721e-13
"greenyellow","green_M5_Mitochondria__HumanMeta","Brain",1.14792739437583e-13
"red","yellow_noChangeAD_antigenProcessing_ribosome__Blalock_AD","Brain",1.24667621207745e-13
"salmon","Oligodendrocyte_probable__Cahoy","Brain",4.49795129848422e-13
"brown","Oligodendrocyte_definite__Cahoy","Brain",4.80064800154642e-13
"green","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",5.87089592017035e-13
"magenta","brown_downAD_mitochondrion__Blalock_AD","Brain",7.11588015668529e-13
"tan","brown_downAD_mitochondrion__Blalock_AD","Brain",7.44453791418746e-13
"salmon","turquoise_upAging_oligo__Lu_Aging","Brain",2.09470762253881e-12
"greenyellow","PostSynapticDensity_proteins__Bayes","Brain",3.04833004007808e-12
"green","brown_Cortex__HumanChimp","Brain",6.33305476723143e-12
"red","Astrocyte__ABA","Brain",1.07776857735319e-11
"greenyellow","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",1.13743458401424e-11
"grey60","green_M10_GlutamatergicSynapticFunction__CTX","Brain",1.56990411256057e-10
"grey60","PostSynapticDensity_proteins__Bayes","Brain",1.62317015654356e-10
"cyan","greenyellow_M6_GlutatmatergicSynapse__HumanMeta","Brain",4.9168695690876e-10
"royalblue","orange_M5_Microglia(Type2)__CTX","Brain",6.1179831450238e-10
"greenyellow","Neuron__ABA","Brain",1.47937684711784e-09
"lightgreen","Neuron_probable__Cahoy","Brain",1.75078021000718e-09
"green","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",2.57722894010276e-09
"brown","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",4.81101672975896e-09
"greenyellow","tan_M13_Neuron__HumanMeta","Brain",6.52852590291204e-09
"red","Validated_Astrocyte_Bachoo__MO","Brain",8.58430305815113e-09
"greenyellow","purple_downAD_synapticTransmission__Blalock_AD","Brain",1.35074965521499e-08
"lightcyan","Oligodendrocyte_probable__Cahoy","Brain",1.65447182565065e-08
"green","blue_downAD_metalIonTransport_glycoprotein__Blalock_AD","Brain",2.20934852144159e-08
"green","Neuron__ABA","Brain",2.67133366998551e-08
"magenta","brown_pyramidalNeurons_Layer5/basolateralAmygdala__Sugino/Winden","Brain",2.67925766444759e-08
"green","pink_downAD_synapticTransmission__Blalock_AD","Brain",3.00024209413161e-08
"royalblue","Astrocyte_probable__Cahoy","Brain",6.20686708376177e-08
"tan","PostSynapticDensity_proteins__Bayes","Brain",6.67658164487908e-08
"grey60","green_M5_Mitochondria__MouseMeta","Brain",1.19901282662865e-07
"lightcyan","turquoise_M14_Nucleus__HumanMeta","Brain",2.3274160084854e-07
"greenyellow","pink_downAD_synapticTransmission__Blalock_AD","Brain",2.73363682628353e-07
"black","turquoise_M14_Nucleus__HumanMeta","Brain",2.73600385390601e-07
"pink","turquoise_Cerebellum__HumanChimp","Brain",3.66604986711637e-07
"yellow","Oligodendrocyte__ABA","Brain",4.50654894558373e-07
"greenyellow","blue_downAD_metalIonTransport_glycoprotein__Blalock_AD","Brain",6.63898943218875e-07
"darkred","brown_upAging_copperHomeostatisMT1__Lu_Aging","Brain",6.94033706458469e-07
"lightgreen","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.21111610782237e-06
"lightcyan","turquoise_upAging_oligo__Lu_Aging","Brain",2.6652099519382e-06
"greenyellow","greenyellow_M6_GlutatmatergicSynapse__MouseMeta","Brain",3.11762919856344e-06
"magenta","Oligodendrocyte_probable__Cahoy","Brain",3.20358518955426e-06
"tan","yellow_M18__CTX","Brain",3.34333579068236e-06
"greenyellow","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",3.72465490791673e-06
"green","tan_M13_Neuron__HumanMeta","Brain",4.38519338856698e-06
"lightyellow","Neuron_probable__Cahoy","Brain",5.63408630788485e-06
"red","PostSynapticDensity_proteins__Bayes","Brain",5.74533048798974e-06
"midnightblue","mutationMouseOrHumanOrBoth__JAXdiseaseGene","Brain",5.99158243345837e-06
"salmon","yellow_noChangeAD_antigenProcessing_ribosome__Blalock_AD","Brain",7.51309413092378e-06
"green","green_M10_GlutamatergicSynapticFunction__CTX","Brain",8.40342003013497e-06
"salmon","Astrocyte_probable__Cahoy","Brain",8.48418574892216e-06
"midnightblue","upMGactivagtion_GSE1910__MicrogialMarkers","Brain",1.67492568864422e-05
"lightgreen","turquoise_Cerebellum__HumanChimp","Brain",1.80633030844495e-05
"brown","PostSynapticDensity_proteins__Bayes","Brain",2.11575167080944e-05
