"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"brown","blue_M2_Oligodendrocytes__HumanMeta","Brain",5.67773776705055e-270
"green","brown_M3_Astrocytes__HumanMeta","Brain",2.93440738532996e-229
"brown","turquoise_M9_Oligodendrocyte__CTX","Brain",5.59661624539176e-172
"green","brown_M15_Astrocyte__CTX","Brain",2.11838601116323e-142
"green","Astrocyte_probable__Cahoy","Brain",3.77319651759006e-141
"brown","Oligodendrocyte_probable__Cahoy","Brain",1.28449581758433e-93
"grey60","pink_M10_Microglia(Type1)__HumanMeta","Brain",2.24681586976303e-86
"green","Astrocyte_definite__Cahoy","Brain",2.44020642284635e-76
"cyan","Neuron_probable__Cahoy","Brain",2.44988745064015e-72
"brown","turquoise_upAging_oligo__Lu_Aging","Brain",7.63229046703032e-68
"brown","tan_noChangeAD_oligo_plasmaMembrane__Blalock_AD","Brain",2.49708597703161e-63
"cyan","Autism_associated_module_M12__Voineagu","Brain",8.09590575687297e-57
"red","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",1.77358484440792e-52
"green","red_ACCandCaudate__HumanChimp","Brain",3.21669881104073e-52
"purple","green_M5_Mitochondria__HumanMeta","Brain",1.86918962920965e-50
"brown","Oligodendrocyte_definite__Cahoy","Brain",3.01363478050468e-48
"green","brown_upAging_copperHomeostatisMT1__Lu_Aging","Brain",2.39804928197407e-44
"brown","Oligodendrocyte__ABA","Brain",2.44920939362452e-42
"red","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",5.43257308645397e-42
"purple","Neuron_probable__Cahoy","Brain",7.83913174997313e-41
"purple","Autism_associated_module_M12__Voineagu","Brain",1.38074237701155e-39
"lightyellow","Neuron_probable__Cahoy","Brain",1.83089728390989e-39
"cyan","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.70559783075637e-35
"cyan","Neuron_definite__Cahoy","Brain",8.7567084472289e-32
"cyan","PostSynapticDensity_proteins__Bayes","Brain",8.98495853734182e-31
"red","blue_M16_Neuron__CTX","Brain",3.74786413622712e-30
"green","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",5.36721758916011e-30
"brown","black_WhiteMatter__HumanChimp","Brain",9.62686305738145e-29
"cyan","purple_downAD_synapticTransmission__Blalock_AD","Brain",1.2620778940788e-26
"red","red_M11_Neuron__HumanMeta","Brain",1.69146182127702e-26
"purple","PostSynapticDensity_proteins__Bayes","Brain",6.73150987284134e-25
"yellow","yellow_M18__CTX","Brain",1.49610569603497e-24
