"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","purple",TRUE,0.0276,2676,512,115,0.225,0.043,"GO:0006793","BP",1,"phosphorus metabolic process",1,"CX3CL1,MAP3K9,PIGQ,PPP5C,PSMC4,COX15,OSBPL5,STRAP,ATP6V0A1,RTN4R,PTPRU,PDE4A,PFKP,PRKCZ,SPTB,ATP6AP1,PRKACA,NUAK1,NLK,ERP29,ACOT7,CHGA,ABHD12,EEF1A2,FAM83D,ACOT8,PIM2,CDK16,ARL2BP,NDRG4,EEF2K,TSTA3,GPI,PTPRS,PPP2R1A,MAST1,GSK3A,LIMK1,MTMR4,PNPO,PSMD11,DUSP3,YWHAE,UNC119,ALDOC,MADD,PITPNM1,NDUFS8,ENO2,VAPB,PSMB2,COX6B1,COX7B,ACLY,VPS25,PEMT,DCLK1,DUSP26,ACVR1B,GABBR2,MAPK8IP3,WARS,RPS27A,CAMK2G,PAK1,ALDOA,GUCY1A2,THY1,TMEM55A,NPTN,SYNJ1,ATP13A2,BRSK1,ADCY1,PRKACG,WNK2,PRDX3,TMEM55B,TTC7B,NDUFB8,NAB2,NKX3-1,NDUFV1,SDHAF2,MAP4K2,PPIP5K1,HINT1,GPS1,KNDC1,DPAGT1,RASGRP1,PDP2,NDUFA11,DOLK,COX8A,LPCAT4,CDK5R1,GRIN1,GBA,COX5A,RNF41,EFNA5,INPP5J,PIP5K1C,CHP,SBK1,PTPRT,FITM2,ADARB1,SPTAN1,STARD10,PI4KA,MC1R,STRADA,NEFL",2.94424159126568
"2","purple",TRUE,0.0434,2586,512,111,0.217,0.043,"GO:0006796","BP",1,"phosphate-containing compound metabolic process",2,"CX3CL1,MAP3K9,PIGQ,PPP5C,PSMC4,COX15,OSBPL5,STRAP,ATP6V0A1,RTN4R,PTPRU,PDE4A,PFKP,PRKCZ,SPTB,ATP6AP1,PRKACA,NUAK1,NLK,ERP29,ACOT7,CHGA,ABHD12,EEF1A2,FAM83D,PIM2,CDK16,ARL2BP,NDRG4,EEF2K,GPI,PTPRS,PPP2R1A,MAST1,GSK3A,LIMK1,MTMR4,PNPO,PSMD11,DUSP3,YWHAE,UNC119,ALDOC,MADD,PITPNM1,NDUFS8,ENO2,VAPB,PSMB2,COX6B1,COX7B,VPS25,PEMT,DCLK1,DUSP26,ACVR1B,GABBR2,MAPK8IP3,WARS,RPS27A,CAMK2G,PAK1,ALDOA,GUCY1A2,THY1,TMEM55A,NPTN,SYNJ1,ATP13A2,BRSK1,ADCY1,PRKACG,WNK2,PRDX3,TMEM55B,TTC7B,NDUFB8,NAB2,NKX3-1,NDUFV1,SDHAF2,MAP4K2,PPIP5K1,HINT1,GPS1,KNDC1,DPAGT1,RASGRP1,NDUFA11,DOLK,COX8A,LPCAT4,CDK5R1,GRIN1,GBA,COX5A,RNF41,EFNA5,INPP5J,PIP5K1C,CHP,SBK1,PTPRT,FITM2,ADARB1,SPTAN1,STARD10,PI4KA,MC1R,STRADA,NEFL",2.95766461159782
"3","purple",TRUE,0.00736,5142,512,199,0.389,0.039,"GO:0071840","BP",6,"cellular component organization or biogenesis",1,"DBNDD1,CIAPIN1,CX3CL1,SYT7,ERCC1,PSMC4,CAPN1,COX15,SYT13,ZRANB1,STRAP,ATP6V0A1,CLEC16A,RTN4R,PHF23,ATP9A,WDR18,CACNB1,PRKCZ,SPTB,PRKACA,PANX2,FRY,NSF,ATXN7L3,EPB41L1,RPH3A,NECAP1,SLC9A1,STX1B,NHP2L1,RANGAP1,PRMT5,CNIH,CHGA,TM9SF4,MAP1LC3A,ACOT8,SYP,PIM2,CDK16,NDRG4,DNAJA3,CORO2B,VPS18,ATP5SL,MRPL4,NAPA,PTPRS,PPP2R1A,MAST1,RAB3A,GSK3A,TFR2,LIMK1,CORO2A,DNM1,NCS1,APBA1,SPOCK2,GBF1,CPEB3,PSMD11,CNTNAP1,YWHAE,TMEM97,UNC119,PRPF19,ARHGEF17,MADD,ELMOD1,NDUFS8,PRDM4,RAB5B,COPS7A,RAB35,TRIM32,IQSEC3,MRPS2,SLC12A5,VAPB,GGA3,DYNLRB1,CAPNS1,BECN1,YEATS4,EPS15L1,MACF1,YWHAH,MRPS12,CLN6,KCNC1,ECSIT,UNC13A,OLFM1,TUBGCP2,ADRM1,ATG4D,KCNC3,VPS25,RAP1GAP2,ERAL1,MYH10,PEMT,DCLK1,RTN3,ACVR1B,STXBP1,RHOF,WARS,CDH13,TRPM2,DOPEY2,CARM1,RPS27A,NLGN4X,SIGMAR1,POLR3A,CAMK2G,PAK1,ALDOA,SLC25A4,THY1,AFF2,KIF5A,KCNMA1,NPTN,MX1,SYNJ1,ATP13A2,ATP6V0D1,ZYX,BRSK1,DEDD2,VPS11,CHRNB2,PRKACG,FAM175B,PRDX3,NDUFB8,APBB1,TAF10,CENPN,SGSM1,ATCAY,OTUB1,NDUFV1,SDHAF2,DDB1,BSCL2,KLK7,GPS1,RAC3,REPS2,TRAPPC1,GAA,NEUROD2,KNDC1,DPAGT1,RASGRP1,CHCHD1,RND1,CFL1,RNF26,NDUFA11,DCTN2,CLTB,BNIP3,EID2,CDK5R1,GBA,TMEM11,MPI,FARSA,NOP10,SHMT2,EFNA5,MAP7D2,PIP5K1C,LYRM7,CHP,PARVB,IPO4,AP2A1,FITM2,STMN3,SPTAN1,HIST4H4,SCAMP5,L1CAM,SPIRE2,ITSN1,SYT3,SUPT4H1,VAMP2,EXOSC6,PI4KA,HIST1H3A,NEFL",2.24797428336949
"4","purple",TRUE,0.0024,4939,512,195,0.381,0.039,"GO:0016043","BP",6,"cellular component organization",1,"DBNDD1,CIAPIN1,CX3CL1,SYT7,ERCC1,PSMC4,CAPN1,COX15,SYT13,ZRANB1,STRAP,ATP6V0A1,CLEC16A,RTN4R,PHF23,ATP9A,CACNB1,PRKCZ,SPTB,PRKACA,PANX2,FRY,NSF,ATXN7L3,EPB41L1,RPH3A,NECAP1,SLC9A1,STX1B,RANGAP1,PRMT5,CNIH,CHGA,TM9SF4,MAP1LC3A,ACOT8,SYP,PIM2,CDK16,NDRG4,DNAJA3,CORO2B,VPS18,ATP5SL,MRPL4,NAPA,PTPRS,PPP2R1A,MAST1,RAB3A,GSK3A,TFR2,LIMK1,CORO2A,DNM1,NCS1,APBA1,SPOCK2,GBF1,CPEB3,PSMD11,CNTNAP1,YWHAE,TMEM97,UNC119,PRPF19,ARHGEF17,MADD,ELMOD1,NDUFS8,PRDM4,RAB5B,COPS7A,RAB35,TRIM32,IQSEC3,MRPS2,SLC12A5,VAPB,GGA3,DYNLRB1,CAPNS1,BECN1,YEATS4,EPS15L1,MACF1,YWHAH,MRPS12,CLN6,KCNC1,ECSIT,UNC13A,OLFM1,TUBGCP2,ADRM1,ATG4D,KCNC3,VPS25,RAP1GAP2,ERAL1,MYH10,PEMT,DCLK1,RTN3,ACVR1B,STXBP1,RHOF,WARS,CDH13,TRPM2,DOPEY2,CARM1,RPS27A,NLGN4X,SIGMAR1,POLR3A,CAMK2G,PAK1,ALDOA,SLC25A4,THY1,AFF2,KIF5A,KCNMA1,NPTN,MX1,SYNJ1,ATP13A2,ATP6V0D1,ZYX,BRSK1,DEDD2,VPS11,CHRNB2,PRKACG,FAM175B,PRDX3,NDUFB8,APBB1,TAF10,CENPN,SGSM1,ATCAY,OTUB1,NDUFV1,SDHAF2,DDB1,BSCL2,KLK7,GPS1,RAC3,REPS2,TRAPPC1,GAA,NEUROD2,KNDC1,DPAGT1,RASGRP1,CHCHD1,RND1,CFL1,RNF26,NDUFA11,DCTN2,CLTB,BNIP3,EID2,CDK5R1,GBA,TMEM11,FARSA,NOP10,SHMT2,EFNA5,MAP7D2,PIP5K1C,LYRM7,CHP,PARVB,IPO4,AP2A1,FITM2,STMN3,SPTAN1,HIST4H4,SCAMP5,L1CAM,SPIRE2,ITSN1,SYT3,SUPT4H1,VAMP2,PI4KA,HIST1H3A,NEFL",2.26874934594445
"5","purple",TRUE,0.0178,739,512,44,0.086,0.06,"GO:0030182","BP",4,"neuron differentiation",1,"DBNDD1,RTN4R,SPTB,FRY,STX1B,XBP1,CDK16,NDRG4,PTPRS,LIMK1,NCS1,CPEB3,CNTNAP1,UNC119,RAB35,TRIM32,SLC12A5,MACF1,YWHAH,UNC13A,OLFM1,ATP8A2,DCLK1,FAIM2,STXBP1,NLGN4X,PAK1,THY1,KIF5A,NPTN,BRSK1,CHRNB2,APBB1,ATCAY,NEUROD2,KNDC1,RND1,CFL1,CDK5R1,EFNA5,STMN3,SPTAN1,L1CAM,SYT3",4.06689045776203
"6","purple",TRUE,0.00567,592,512,39,0.076,0.066,"GO:0048666","BP",4,"neuron development",2,"DBNDD1,RTN4R,SPTB,FRY,STX1B,XBP1,CDK16,NDRG4,PTPRS,LIMK1,NCS1,CPEB3,CNTNAP1,RAB35,SLC12A5,MACF1,YWHAH,UNC13A,OLFM1,ATP8A2,DCLK1,STXBP1,PAK1,THY1,KIF5A,NPTN,BRSK1,CHRNB2,APBB1,ATCAY,KNDC1,RND1,CFL1,CDK5R1,EFNA5,STMN3,SPTAN1,L1CAM,SYT3",4.33890420205609
"7","purple",TRUE,0.00731,531,512,36,0.07,0.068,"GO:0031175","BP",4,"neuron projection development",1,"DBNDD1,RTN4R,SPTB,FRY,STX1B,CDK16,NDRG4,PTPRS,LIMK1,NCS1,CPEB3,CNTNAP1,RAB35,SLC12A5,MACF1,YWHAH,UNC13A,OLFM1,DCLK1,STXBP1,PAK1,THY1,KIF5A,NPTN,BRSK1,CHRNB2,APBB1,ATCAY,KNDC1,CFL1,CDK5R1,EFNA5,STMN3,SPTAN1,L1CAM,SYT3",4.4839461656851
"8","purple",TRUE,0.033,228,512,20,0.039,0.088,"GO:0010975","BP",4,"regulation of neuron projection development",1,"RTN4R,STX1B,NDRG4,PTPRS,LIMK1,NCS1,CPEB3,MACF1,YWHAH,UNC13A,OLFM1,PAK1,THY1,NPTN,CHRNB2,KNDC1,CFL1,CDK5R1,L1CAM,SYT3",5.72128466385484
"9","purple",TRUE,0.00666,2683,512,118,0.23,0.044,"GO:0065008","BP",3,"regulation of biological quality",1,"SYN1,SYT7,ERCC1,PSMC4,SYT13,STRAP,ATP6V0A1,RTN4R,ATP9A,KCNH2,CTSA,PRKCZ,ATP2B3,ATP6AP1,PRKACA,NLK,TESC,RPH3A,SLC9A1,SLC7A8,SLC22A17,STX1B,XBP1,SYNGR1,KCNK10,CHGA,CHRNA4,SNPH,TM9SF4,SYP,PIM2,CDK16,ARL2BP,GPI,ATP1A3,PTPRS,RAB3D,RAB3A,GSK3A,TFR2,LIMK1,APBA1,CPEB3,PSMD11,CNTNAP1,YWHAE,TMEM97,ELMOD1,SLC12A5,VAPB,PCSK2,PSMB2,MACF1,YWHAH,VGF,CLN6,UNC13A,OLFM1,C19ORF12,RAP1GAP2,ACVR1B,STXBP1,HCN4,TRPM2,RPS27A,NLGN4X,CAMK2G,CNNM2,SCN2B,ALDOA,SLC25A4,THY1,KCNMA1,NPTN,TSC22D3,KCNB1,SYNJ1,ATP13A2,ATP6V0D1,BRSK1,DEDD2,VPS11,CHRNB2,ADCY1,PRKACG,WNK2,PRDX3,CACNG2,NKX3-1,DDB1,BSCL2,CPLX1,KCNK9,GAA,NEUROD2,ADRA1D,CSDC2,FIBP,ATP2A2,BNIP3,GRIN1,GBA,NOP10,EFNA5,SYN3,BCAP31,PIP5K1C,CHP,PARVB,SCN8A,FITM2,HIST4H4,L1CAM,SYT3,VAMP2,EXOSC6,FDX1L,HIST1H3A",2.96600447193704
"10","purple",TRUE,0.000973,134,512,17,0.033,0.127,"GO:0001505","BP",3,"regulation of neurotransmitter levels",2,"SYN1,SYT7,SYT13,RPH3A,STX1B,SNPH,RAB3A,APBA1,UNC13A,STXBP1,SYNJ1,BRSK1,CPLX1,SYN3,PIP5K1C,SYT3,VAMP2",6.1090501948636
