"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"blue","blue_M2_Oligodendrocytes__HumanMeta","Brain",5.04567472947081e-243
"black","brown_M3_Astrocytes__HumanMeta","Brain",3.51937118087067e-166
"blue","turquoise_M9_Oligodendrocyte__CTX","Brain",1.5178339605355e-148
"black","Astrocyte_probable__Cahoy","Brain",6.18696082142845e-126
"black","brown_M15_Astrocyte__CTX","Brain",1.6272497155543e-109
"lightyellow","pink_M10_Microglia(Type1)__HumanMeta","Brain",1.20697285449059e-94
"blue","Oligodendrocyte_probable__Cahoy","Brain",4.49017914485307e-84
"black","Astrocyte_definite__Cahoy","Brain",1.83597666052492e-70
"blue","turquoise_upAging_oligo__Lu_Aging","Brain",2.84375625597135e-59
"blue","tan_noChangeAD_oligo_plasmaMembrane__Blalock_AD","Brain",1.61599166461596e-53
"blue","Oligodendrocyte_definite__Cahoy","Brain",1.29860011976024e-43
"yellow","blue_M2_Oligodendrocytes__HumanMeta","Brain",1.45075592332165e-36
"grey60","Astrocyte_probable__Cahoy","Brain",2.27418053446155e-35
"black","red_ACCandCaudate__HumanChimp","Brain",2.64039029561355e-35
"blue","Oligodendrocyte__ABA","Brain",3.20940195022838e-35
"grey60","brown_M3_Astrocytes__HumanMeta","Brain",9.90675919005501e-35
"green","Neuron_probable__Cahoy","Brain",1.2282672860988e-34
"cyan","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",1.693400998985e-34
"grey60","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",1.9239212981148e-29
"lightyellow","upInFrontalCortex__EarlyAD","Brain",2.82764330247744e-28
"red","Neuron_probable__Cahoy","Brain",8.09202827533474e-26
"green","Autism_associated_module_M12__Voineagu","Brain",9.13225706554525e-25
"lightyellow","purple_M4_Microglia(Type1)__CTX","Brain",1.80127433972613e-24
"darkgreen","Neuron_probable__Cahoy","Brain",1.91245482967571e-24
"steelblue","red_M11_Neuron__HumanMeta","Brain",8.48784043273877e-24
"steelblue","brown_downAD_mitochondrion__Blalock_AD","Brain",3.14458227772255e-23
"black","brown_upAging_copperHomeostatisMT1__Lu_Aging","Brain",3.04892006963577e-22
"greenyellow","Neuron_probable__Cahoy","Brain",4.92038080402502e-22
"greenyellow","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",4.00791045297455e-20
"green","purple_downAD_synapticTransmission__Blalock_AD","Brain",5.07706671987012e-20
"blue","black_WhiteMatter__HumanChimp","Brain",9.62087548855314e-20
"tan","yellow_M18__CTX","Brain",2.82417903142309e-19
"grey60","magenta_M8_Microglia(Type2)__HumanMeta","Brain",7.20473725940308e-19
"greenyellow","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",9.48035468344368e-19
"yellow","turquoise_M9_Oligodendrocyte__CTX","Brain",4.34321540626588e-18
"greenyellow","green_M5_Mitochondria__HumanMeta","Brain",4.53639759810435e-18
"pink","Neuron_probable__Cahoy","Brain",1.45691327146369e-17
"cyan","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",3.10109765196706e-17
"pink","black_M1_PvalbInterneurons__HumanMeta","Brain",3.50417783253246e-17
"steelblue","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",4.01158298787757e-17
"cyan","brown_downAD_mitochondrion__Blalock_AD","Brain",5.06963434567785e-17
"grey60","brown_M15_Astrocyte__CTX","Brain",6.18456991087018e-17
"steelblue","Autism_associated_module_M12__Voineagu","Brain",5.00052091311451e-16
"steelblue","blue_M16_Neuron__CTX","Brain",6.84729180036456e-16
"cyan","red_M11_Neuron__HumanMeta","Brain",9.50112582566614e-16
"steelblue","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",1.56669198406335e-15
"pink","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.38363447804284e-15
"steelblue","Neuron_probable__Cahoy","Brain",4.62499864310477e-15
"cyan","blue_M16_Neuron__CTX","Brain",7.54388388616701e-15
"grey60","brown_upAging_copperHomeostatisMT1__Lu_Aging","Brain",4.15851901054181e-14
"black","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",5.40032624028482e-14
"white","turquoise_M14_Nucleus__HumanMeta","Brain",1.31457997389239e-13
"tan","blue_M16_Neuron__CTX","Brain",1.69904710427937e-13
"green","green_M5_Mitochondria__HumanMeta","Brain",2.42656807149469e-13
"tan","turquoise_M14_Nucleus__HumanMeta","Brain",5.97574377381073e-13
"darkgreen","green_M5_Mitochondria__HumanMeta","Brain",8.52587602264286e-13
"midnightblue","CA3specific_Newrzella__CA1vsCA3","Brain",1.00003657697128e-12
"greenyellow","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",2.68341917505923e-12
"lightyellow","orange_M5_Microglia(Type2)__CTX","Brain",6.17150197757156e-12
"greenyellow","PostSynapticDensity_proteins__Bayes","Brain",7.95679206505435e-12
"lightcyan","turquoise_M14_Nucleus__HumanMeta","Brain",9.51718497303542e-12
"tan","turquoise_M14_Nucleus__MouseMeta","Brain",1.0907084756349e-11
"darkgreen","pink_downAD_synapticTransmission__Blalock_AD","Brain",1.38071402890724e-11
"darkgreen","Autism_associated_module_M12__Voineagu","Brain",2.56384959461958e-11
"yellow","Oligodendrocyte_probable__Cahoy","Brain",2.85560103129592e-11
"violet","yellow_M18__CTX","Brain",1.23124083678763e-10
"steelblue","PostSynapticDensity_proteins__Bayes","Brain",1.93608924931396e-10
"salmon","greenyellow_M6_GlutatmatergicSynapse__HumanMeta","Brain",5.65438880467725e-10
"darkgreen","PostSynapticDensity_proteins__Bayes","Brain",5.79592830197146e-10
"greenyellow","brown_downAD_mitochondrion__Blalock_AD","Brain",6.7628216271552e-10
"red","Neuron_definite__Cahoy","Brain",8.6801434740183e-10
"darkgreen","green_M10_GlutamatergicSynapticFunction__CTX","Brain",1.0135325206566e-09
"darkgreen","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",1.47056333690067e-09
"darkgreen","Neuron_definite__Cahoy","Brain",2.3669455926003e-09
"tan","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",2.38771037178549e-09
"brown","Neuron_probable__Cahoy","Brain",3.94570774833367e-09
"green","Neuron_definite__Cahoy","Brain",6.42166146927706e-09
"violet","blue_M16_Neuron__CTX","Brain",1.63528468990119e-08
"lightyellow","mutationMouseOrHumanOrBoth__JAXdiseaseGene","Brain",2.43204742462761e-08
"yellow","turquoise_upAging_oligo__Lu_Aging","Brain",2.57870049191576e-08
"steelblue","turquoise_CingulateNeurons(allTypes)/Layer5__Sugino/Winden","Brain",3.54864053886543e-08
"green","PostSynapticDensity_proteins__Bayes","Brain",3.61152933631053e-08
