"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","skyblue",TRUE,0.022,9333,312,205,0.657,0.022,"GO:0008152","BP",4,"metabolic process",1,"CIAPIN1,CREBBP,PDK2,PIGQ,NFIX,MED24,PRSS3,RANBP3,PNPLA6,EDC4,AP2S1,FAM168A,SPHK2,TMEM161A,CTSA,FOXJ2,MAOB,RNF126,MNT,ATP6AP1,MARK2,SNRPA,CIC,SRCAP,CHERP,PIGS,KHSRP,LTBP4,RNF31,ATP5D,TECR,MKNK2,MED15,SF3A1,PES1,DGCR14,GGA1,DEPDC5,SLC16A8,GTPBP1,LMF2,PDGFB,FOXRED2,ALKBH1,REC8,RABGGTA,PCIF1,HM13,N4BP1,VAC14,NPRL3,TSC2,NARFL,SLC7A5,UBE2I,CDIPT,BCKDK,CD276,RPAP1,INTS9,SARS2,PIH1D1,IL4I1,SGTA,MED25,SNAPC2,FZR1,MRPL4,GRWD1,MIER2,PRPF31,ZMIZ1,PSMD3,RNF167,PEX12,DPH1,TNFAIP1,PHF12,ATG2A,AMBRA1,ATN1,CTH,CTSD,KIAA1267,DDX54,GGA3,ALKBH7,CLPP,OPA3,PSMF1,COX6B1,THRA,WDR24,CLN6,MPDU1,ILF3,JUND,ADRM1,TRIM28,EIF2S3,UBA1,THAP1,WBP2,ERAL1,IGHMBP2,PEMT,SRRM1,MEN1,COQ10A,CIDEB,SAP130,DPM2,GCHFR,MMAB,SUOX,SETD1B,DCAF5,BCAS3,PELP1,CSNK1D,CBX4,MBD1,NFIC,SNX12,LRSAM1,PPRC1,TUT1,CAPN5,INCENP,CPSF7,DCP1B,KLF10,MMS19,TSC22D3,SPPL3,MRPL10,G6PD,VPS11,VPS28,U2AF1L4,PGAP3,CCNF,TAF6L,CABC1,MTMR14,FOXK1,SALL2,ZFYVE1,PCBD1,MAPK7,NDST2,PLK1,VPS39,STAT6,MIDN,SRRM2,CHTF8,LCMT2,SIN3A,ASPSCR1,NFRKB,NDUFA3,DPAGT1,DCAKD,KDM2A,RNF26,SLC19A1,RAB1B,MED16,BNIP3,COX8A,SMCR8,MAN1B1,PNPLA2,CHID1,ERN1,PFAS,PER1,SAMD4B,GEMIN4,MYADM,MRPS16,EXOC7,ALG12,ZNF320,EP400,THAP7,NOC4L,RAB11B,HGS,UBE2L3,NHLRC1,C17ORF97,WWP2,ZNF808,NCOA6,LDB1,DHX16,PPP1R11,AKT1S1,ATXN2,ALG3,FADS3,RBM14,STRADA",1.10347152361181
"2","skyblue",TRUE,0.00353,8796,312,199,0.638,0.023,"GO:0044237","BP",4,"cellular metabolic process",1,"CIAPIN1,CREBBP,PDK2,PIGQ,NFIX,MED24,PRSS3,RANBP3,PNPLA6,EDC4,AP2S1,FAM168A,SPHK2,TMEM161A,CTSA,FOXJ2,MAOB,RNF126,MNT,ATP6AP1,MARK2,SNRPA,CIC,SRCAP,CHERP,PIGS,KHSRP,RNF31,ATP5D,TECR,MKNK2,MED15,SF3A1,PES1,DGCR14,GGA1,DEPDC5,SLC16A8,GTPBP1,PDGFB,FOXRED2,ALKBH1,REC8,RABGGTA,PCIF1,HM13,N4BP1,VAC14,NPRL3,TSC2,NARFL,SLC7A5,UBE2I,CDIPT,BCKDK,CD276,RPAP1,INTS9,SARS2,PIH1D1,IL4I1,SGTA,MED25,SNAPC2,FZR1,MRPL4,GRWD1,MIER2,PRPF31,ZMIZ1,PSMD3,RNF167,PEX12,DPH1,TNFAIP1,PHF12,ATG2A,AMBRA1,ATN1,CTH,CTSD,KIAA1267,DDX54,GGA3,ALKBH7,CLPP,PSMF1,COX6B1,THRA,WDR24,CLN6,MPDU1,ILF3,JUND,ADRM1,TRIM28,EIF2S3,UBA1,THAP1,WBP2,ERAL1,IGHMBP2,PEMT,SRRM1,MEN1,COQ10A,CIDEB,SAP130,DPM2,GCHFR,MMAB,SUOX,SETD1B,DCAF5,BCAS3,PELP1,CSNK1D,CBX4,MBD1,NFIC,SNX12,LRSAM1,PPRC1,TUT1,INCENP,CPSF7,DCP1B,KLF10,MMS19,TSC22D3,SPPL3,MRPL10,G6PD,VPS11,VPS28,U2AF1L4,PGAP3,CCNF,TAF6L,CABC1,MTMR14,FOXK1,SALL2,ZFYVE1,PCBD1,MAPK7,PLK1,VPS39,STAT6,MIDN,SRRM2,CHTF8,LCMT2,SIN3A,ASPSCR1,NFRKB,NDUFA3,DPAGT1,DCAKD,KDM2A,RNF26,SLC19A1,RAB1B,MED16,BNIP3,COX8A,SMCR8,MAN1B1,PNPLA2,ERN1,PFAS,PER1,SAMD4B,GEMIN4,MYADM,MRPS16,EXOC7,ALG12,ZNF320,EP400,THAP7,NOC4L,RAB11B,HGS,UBE2L3,NHLRC1,C17ORF97,WWP2,ZNF808,NCOA6,LDB1,DHX16,PPP1R11,AKT1S1,ATXN2,ALG3,FADS3,RBM14,STRADA",1.33189125738454
"3","skyblue",TRUE,0.0363,1805,312,57,0.183,0.032,"GO:0044248","BP",4,"cellular catabolic process",2,"RANBP3,PNPLA6,EDC4,AP2S1,CTSA,MAOB,RNF126,MARK2,KHSRP,DEPDC5,GTPBP1,FOXRED2,HM13,N4BP1,NPRL3,TSC2,UBE2I,BCKDK,IL4I1,SGTA,FZR1,PSMD3,TNFAIP1,ATG2A,AMBRA1,CTH,CTSD,CLPP,PSMF1,WDR24,ADRM1,UBA1,CSNK1D,LRSAM1,DCP1B,VPS11,VPS28,CCNF,MTMR14,ZFYVE1,PCBD1,MAPK7,PLK1,VPS39,RAB1B,BNIP3,SMCR8,MAN1B1,PNPLA2,ERN1,SAMD4B,EXOC7,HGS,UBE2L3,NHLRC1,C17ORF97,WWP2",3.75111753715397
"4","skyblue",TRUE,0.0116,1008,312,39,0.125,0.039,"GO:1901565","BP",7,"organonitrogen compound catabolic process",1,"RANBP3,AP2S1,CTSA,MAOB,RNF126,FOXRED2,HM13,N4BP1,UBE2I,BCKDK,IL4I1,SGTA,FZR1,PSMD3,TNFAIP1,CTH,CTSD,CLPP,PSMF1,CLN6,ADRM1,UBA1,CSNK1D,SNX12,LRSAM1,VPS11,VPS28,CCNF,PCBD1,MAPK7,PLK1,BNIP3,MAN1B1,CHID1,HGS,UBE2L3,NHLRC1,C17ORF97,WWP2",5.55508946441152
"5","skyblue",TRUE,0.00406,711,312,32,0.103,0.045,"GO:0030163","BP",7,"protein catabolic process",1,"RANBP3,AP2S1,CTSA,RNF126,FOXRED2,HM13,N4BP1,UBE2I,SGTA,FZR1,PSMD3,TNFAIP1,CTSD,CLPP,PSMF1,CLN6,ADRM1,UBA1,CSNK1D,SNX12,LRSAM1,VPS11,VPS28,CCNF,PLK1,BNIP3,MAN1B1,HGS,UBE2L3,NHLRC1,C17ORF97,WWP2",4.62864254217323
"6","skyblue",TRUE,0.0264,599,312,27,0.087,0.045,"GO:0044257","BP",7,"cellular protein catabolic process",1,"RANBP3,AP2S1,CTSA,RNF126,FOXRED2,HM13,N4BP1,UBE2I,SGTA,FZR1,PSMD3,TNFAIP1,CLPP,PSMF1,ADRM1,UBA1,CSNK1D,VPS11,VPS28,CCNF,PLK1,BNIP3,MAN1B1,UBE2L3,NHLRC1,C17ORF97,WWP2",4.84414321911344
"7","skyblue",TRUE,0.000309,4236,312,117,0.375,0.028,"GO:0032991","CC",5,"macromolecular complex",1,"PDK2,PIGQ,MED24,EDC4,AP2S1,FAM160A2,ATP6AP1,SNRPA,SRCAP,PIGS,GNAO1,KHSRP,MCOLN1,RNF31,SETD1A,ATP5D,SF3A1,PES1,DGCR14,GGA1,DEPDC5,GTPBP1,REC8,RABGGTA,IFT52,HM13,NPRL3,TSC2,NARFL,UBE2I,BCKDK,INTS9,PIH1D1,FZR1,MRPL4,GRWD1,MIER2,PRPF31,COPE,HPS1,PSMD3,PEX12,TNFAIP1,PHF12,KIAA1267,ARMC7,CLPP,PSMF1,DYNLRB1,WDR24,KCNC1,ILF3,JUND,ADRM1,TRIM28,EIF2S3,IGHMBP2,SRRM1,MEN1,SAP130,DPM2,DCTN3,SETD1B,DCAF5,PELP1,CBX4,GATAD2B,KCNMB1,TUT1,INCENP,CPSF7,DCP1B,MMS19,AP3S2,ZC3H18,MRPL10,VPS11,VPS28,U2AF1L4,CCNF,TAF6L,PLK1,VPS39,KLHL26,TRAPPC9,SRRM2,ATXN2L,CHTF8,SIN3A,TRAPPC1,NFRKB,NDUFA3,BCL2L1,BBS1,MED16,COX8A,PXMP2,SMCR8,BET1L,ERN1,SAMD4B,GEMIN4,MRPS16,EP400,NOC4L,HGS,UBE2L3,BLOC1S3,WWP2,NCOA6,LDB1,DHX16,PPP1R11,AKT1S1,ATXN2,RBM14,C17ORF49",2.1696505805963
"8","skyblue",TRUE,0.00192,1239,312,47,0.151,0.038,"GO:1902494","CC",5,"catalytic complex",2,"PDK2,PIGQ,PIGS,GNAO1,KHSRP,RNF31,SETD1A,SF3A1,DGCR14,GTPBP1,RABGGTA,UBE2I,BCKDK,INTS9,FZR1,PRPF31,PSMD3,TNFAIP1,PHF12,KIAA1267,PSMF1,DYNLRB1,ADRM1,SRRM1,MEN1,SAP130,DPM2,SETD1B,DCAF5,PELP1,CBX4,MMS19,CCNF,TAF6L,KLHL26,SRRM2,SIN3A,NFRKB,NDUFA3,SMCR8,ERN1,EP400,UBE2L3,WWP2,NCOA6,PPP1R11,C17ORF49",3.96141004982435
"9","skyblue",TRUE,7.61e-08,4841,312,141,0.452,0.029,"GO:0031974","CC",1,"membrane-enclosed lumen",1,"CIAPIN1,CREBBP,PDK2,NFIX,MED24,PRSS3,GRN,RANBP3,EDC4,CTSA,FOXJ2,RNF126,MNT,MARK2,SNRPA,CIC,SRCAP,BCORL1,CHERP,KHSRP,SETD1A,ATP5D,MKNK2,MED15,CABIN1,SF3A1,PES1,GGA1,PDGFB,FOXRED2,ALKBH1,REC8,PCIF1,EMD,N4BP1,HCFC1R1,UBE2I,BCKDK,INTS9,SARS2,PIH1D1,MED25,SNAPC2,FZR1,MRPL4,GRWD1,PRPF31,COPE,ZMIZ1,PSMD3,DPH1,TNFAIP1,PHF12,CCDC86,ATN1,CTSD,KIAA1267,DDX54,ALKBH7,CLPP,PSMF1,THRA,CLN6,ILF3,JUND,ADRM1,TRIM28,UBA1,THAP1,WBP2,ERAL1,SRRM1,MEN1,SAP130,DCTN3,GCHFR,MMAB,SUOX,SETD1B,DCAF5,TLE3,BCAS3,PELP1,CSNK1D,CBX4,MBD1,NFIC,SH3BGRL3,GATAD2B,GPR107,PPRC1,TUT1,INCENP,CPSF7,MMS19,ZC3H18,MRPL10,U2AF1L4,TAF6L,PYGO2,FOXK1,PCBD1,MAPK7,PLK1,STAT6,SRRM2,ATXN2L,CHTF8,SIN3A,ASPSCR1,TRAPPC1,NFRKB,IRF2BP1,C17ORF63,KDM2A,MED16,BNIP3,KCMF1,SMCR8,PNPLA2,CHID1,PER1,GEMIN4,MRPS16,LDOC1,RBM10,EP400,THAP7,NOC4L,UBE2L3,CYHR1,NCOA6,LDB1,DHX16,AKT1S1,ARL2,ORM2,RBM14,C17ORF49,STRADA,LIN37",2.31652234550961
"10","skyblue",TRUE,4.22e-09,11213,312,257,0.824,0.023,"GO:0043226","CC",1,"organelle",1,"CIAPIN1,CREBBP,PDK2,PIGQ,NFIX,MED24,PRSS3,SLC25A39,GRN,RANBP3,PNPLA6,EDC4,AP2S1,SPHK2,ISOC2,CTSA,FOXJ2,MAOB,RNF126,MNT,ATP6AP1,MARK2,SNRPA,CIC,SRCAP,BCORL1,CHERP,PIGS,KHSRP,LTBP4,MCOLN1,SETD1A,ATP5D,TECR,MKNK2,MED15,CABIN1,SF3A1,PES1,DGCR14,GGA1,DEPDC5,LMF2,PDGFB,FOXRED2,ALKBH1,REC8,PCIF1,IFT52,HM13,TM9SF4,EMD,N4BP1,VAC14,HCFC1R1,NPRL3,TSC2,CLCN7,SLC7A5,UBE2I,CDIPT,BCKDK,CD276,RPAP1,INTS9,SARS2,PIH1D1,TBC1D17,PTOV1,SGTA,MED25,SNAPC2,FZR1,MRPL4,KDELR1,GRWD1,MIER2,PRPF31,COPE,ATP13A1,HPS1,SFXN3,ZMIZ1,PSMD3,PEX12,MPP2,DPH1,TNFAIP1,PHF12,MFSD10,ATG2A,CCDC86,TMEM109,AMBRA1,MLEC,ATN1,CTH,CTSD,KIAA1267,ZSCAN18,DDX54,GGA3,ARMC7,ALKBH7,CLPP,OPA3,PSMF1,TBC1D20,DYNLRB1,COX6B1,THRA,WDR24,CLN6,MPDU1,ILF3,JUND,ADRM1,TRIM28,EIF2S3,UBA1,THAP1,WBP2,ERAL1,IGHMBP2,PEMT,SRRM1,MEN1,NUMB,ACP2,COQ10A,CIDEB,SAP130,DPM2,DCTN3,YIPF3,GCHFR,MMAB,SUOX,SETD1B,DCAF5,TLE3,BCAS3,PELP1,CSNK1D,CBX4,MBD1,NFIC,SH3BGRL3,GATAD2B,DOK3,TMEM27,SNX12,GPR107,SEC16A,PPRC1,TUT1,CAPN5,INCENP,CPSF7,DCP1B,TXNDC11,KLF10,MMS19,WHAMM,TSC22D3,AP3S2,SPPL3,ZC3H18,MRPL10,G6PD,VPS11,VPS28,U2AF1L4,PGAP3,CCNF,TAF6L,CABC1,PYGO2,FOXK1,SALL2,ZFYVE1,PCBD1,MAPK7,NDST2,TMEM135,PLK1,VPS39,STAT6,MIDN,TRAPPC9,YIF1B,SRRM2,ATXN2L,CHTF8,SIN3A,SPNS1,ASPSCR1,TRAPPC1,NFRKB,KRT86,IRF2BP1,NDUFA3,BCL2L1,DPAGT1,C17ORF63,KDM2A,RNF26,BBS1,RAB1B,MED16,BNIP3,COX8A,KCMF1,PXMP2,SMCR8,MAN1B1,PNPLA2,CHID1,BET1L,ERN1,PFAS,PER1,SAMD4B,GEMIN4,MYADM,SLC35C1,MRPS16,LDOC1,EXOC7,ALG12,RBM10,EP400,THAP7,NOC4L,RAB11B,HGS,UBE2L3,NHLRC1,CYHR1,BLOC1S3,FUT11,SLC9A8,WWP2,NCOA6,LDB1,DHX16,PPP1R11,AKT1S1,ATXN2,ARL2,ALG3,ORM2,RBM14,C17ORF49,STRADA,LIN37,F8A1",0.760772938189011
