"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"blue","blue_M2_Oligodendrocytes__HumanMeta","Brain",6.30618395926082e-178
"red","brown_M3_Astrocytes__HumanMeta","Brain",8.38482580071996e-167
"red","Astrocyte_probable__Cahoy","Brain",2.04990567205542e-131
"black","pink_M10_Microglia(Type1)__HumanMeta","Brain",3.9399805634702e-108
"blue","Oligodendrocyte_probable__Cahoy","Brain",2.77636829495992e-95
"blue","turquoise_M9_Oligodendrocyte__CTX","Brain",3.01762317003062e-94
"red","brown_M15_Astrocyte__CTX","Brain",8.2833801882848e-78
"yellow","green_M5_Mitochondria__HumanMeta","Brain",1.10442403186065e-66
"yellow","Autism_associated_module_M12__Voineagu","Brain",1.84829939215337e-64
"greenyellow","Neuron_probable__Cahoy","Brain",1.39113482980947e-62
"yellow","Neuron_probable__Cahoy","Brain",2.31089996155584e-62
"yellow","PostSynapticDensity_proteins__Bayes","Brain",8.82951436724038e-58
"red","Astrocyte_definite__Cahoy","Brain",5.11798261690726e-52
"yellow","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",1.12517329013972e-45
"red","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.37674267505228e-42
"yellow","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",5.7623003605119e-42
"purple","blue_M2_Oligodendrocytes__HumanMeta","Brain",1.93875247018096e-38
"blue","tan_noChangeAD_oligo_plasmaMembrane__Blalock_AD","Brain",1.19104173462835e-37
"blue","turquoise_upAging_oligo__Lu_Aging","Brain",2.78952897803556e-37
"red","brown_upAging_copperHomeostatisMT1__Lu_Aging","Brain",8.25010773791869e-37
"purple","Oligodendrocyte_probable__Cahoy","Brain",2.6637250953624e-33
"black","upInFrontalCortex__EarlyAD","Brain",2.32220686076225e-32
"red","red_ACCandCaudate__HumanChimp","Brain",2.92195727709472e-32
"yellow","red_M11_Neuron__HumanMeta","Brain",1.65052081825328e-31
"yellow","brown_downAD_mitochondrion__Blalock_AD","Brain",1.71993982783833e-30
"greenyellow","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.57072410693416e-28
"lightcyan","yellow_M18__CTX","Brain",3.56685927513052e-28
"purple","turquoise_M9_Oligodendrocyte__CTX","Brain",6.60592759880648e-28
"black","magenta_M8_Microglia(Type2)__HumanMeta","Brain",3.43319650256393e-27
"green","Neuron_probable__Cahoy","Brain",4.26707444333379e-27
"blue","Oligodendrocyte_definite__Cahoy","Brain",4.11799139566555e-26
"lightcyan","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",5.63009552680697e-23
"black","purple_M4_Microglia(Type1)__CTX","Brain",3.22958352492454e-22
"greenyellow","red_M11_Neuron__HumanMeta","Brain",3.31387756623916e-22
"midnightblue","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",6.78199711599528e-22
"lightcyan","blue_M16_Neuron__CTX","Brain",1.8210648004291e-20
"greenyellow","Autism_associated_module_M12__Voineagu","Brain",5.40284218271711e-20
"yellow","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",6.25441019324275e-20
"blue","Oligodendrocyte__ABA","Brain",7.13235730042269e-20
"yellow","blue_Cortex__HumanChimp","Brain",8.17047728469344e-20
"purple","turquoise_upAging_oligo__Lu_Aging","Brain",1.51163422829074e-19
"purple","turquoise_M14_Nucleus__HumanMeta","Brain",2.56625101300289e-19
"lightcyan","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.66743904652438e-18
"greenyellow","purple_downAD_synapticTransmission__Blalock_AD","Brain",4.00663374182232e-18
"grey60","Neuron_probable__Cahoy","Brain",7.52500072049907e-18
"yellow","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",4.51806950652285e-16
"greenyellow","PostSynapticDensity_proteins__Bayes","Brain",5.63536420382563e-16
"black","orange_M5_Microglia(Type2)__CTX","Brain",7.73255459617005e-16
"blue","black_WhiteMatter__HumanChimp","Brain",3.86199664408352e-15
"greenyellow","Neuron_definite__Cahoy","Brain",1.03438181458067e-14
"midnightblue","blue_M16_Neuron__CTX","Brain",2.22539638398551e-14
"yellow","purple_downAD_synapticTransmission__Blalock_AD","Brain",5.19933992342338e-14
"black","tan_M12_Hypoxia__CTX","Brain",1.18285888328334e-13
"midnightblue","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",1.28179230509567e-13
"black","upMGactivagtion_GSE1910__MicrogialMarkers","Brain",1.94272707078118e-13
"greenyellow","pink_downAD_synapticTransmission__Blalock_AD","Brain",2.41855840615808e-13
"greenyellow","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",3.44508002125462e-13
"red","yellow_noChangeAD_antigenProcessing_ribosome__Blalock_AD","Brain",3.8366664135183e-13
"yellow","Somatic__MitochondrialType","Brain",7.49746735431094e-13
"black","mutationMouseOrHumanOrBoth__JAXdiseaseGene","Brain",8.86114803616017e-13
"red","Validated_Astrocyte_Bachoo__MO","Brain",1.05151396097986e-12
"brown","Neuron_probable__Cahoy","Brain",1.14917960195651e-12
"yellow","Synaptic__MitochondrialType","Brain",1.60532086498838e-12
"yellow","pink_downAD_synapticTransmission__Blalock_AD","Brain",2.06862373315586e-12
"yellow","Neuron__ABA","Brain",4.74300322423959e-12
"midnightblue","turquoise_M14_Nucleus__MouseMeta","Brain",5.86082757342732e-12
"lightyellow","green_M10_GlutamatergicSynapticFunction__CTX","Brain",1.30732626120881e-11
"greenyellow","blue_Cortex__HumanChimp","Brain",1.87996978466471e-11
"yellow","greenyellow_downAD_ionAndCalciumTransport__Blalock_AD","Brain",3.34573563827024e-11
"greenyellow","brown_downAD_mitochondrion__Blalock_AD","Brain",3.70000729355561e-11
"greenyellow","blue_M16_Neuron__CTX","Brain",4.79736136375147e-11
"lightcyan","turquoise_M14_Nucleus__HumanMeta","Brain",8.59957300527716e-11
"yellow","green_M10_GlutamatergicSynapticFunction__CTX","Brain",1.9313292790681e-10
"yellow","turquoise_CingulateNeurons(allTypes)/Layer5__Sugino/Winden","Brain",1.9429289018173e-10
"lightcyan","brown_pyramidalNeurons_Layer5/basolateralAmygdala__Sugino/Winden","Brain",3.8317401879569e-10
"red","Astrocyte__ABA","Brain",4.60062069031283e-10
"yellow","greenyellow_M6_GlutatmatergicSynapse__MouseMeta","Brain",7.33039345410646e-10
"lightyellow","greenyellow_M6_GlutatmatergicSynapse__MouseMeta","Brain",7.39647943878208e-10
"yellow","PresynapticCompartmentProteins_Morciano__MO","Brain",4.16103354665442e-09
"yellow","brown_Cortex__HumanChimp","Brain",5.44817676329391e-09
"greenyellow","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",5.61490439350055e-09
"green","greenyellow_M6_GlutatmatergicSynapse__HumanMeta","Brain",5.75376814906953e-09
"yellow","black_M1_PvalbInterneurons__HumanMeta","Brain",1.57331349662022e-08
"yellow","Neuron_definite__Cahoy","Brain",3.09908117106569e-08
"black","mutationHuman__JAXdiseaseGene","Brain",4.37938277982934e-08
"greenyellow","black_M1_PvalbInterneurons__HumanMeta","Brain",9.86139915206357e-08
"greenyellow","brown_Cortex__HumanChimp","Brain",1.15588465507126e-07
"greenyellow","green_M5_Mitochondria__HumanMeta","Brain",1.18285090181702e-07
"black","mutationMouse__JAXdiseaseGene","Brain",6.33745175486431e-07
"green","CA1specific_Newrzella__CA1vsCA3","Brain",8.63203570382603e-07
"grey60","Neuron_definite__Cahoy","Brain",8.9713444828702e-07
"brown","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",1.02605689655929e-06
"yellow","Mitochondria_Foster__MO","Brain",1.46482833314741e-06
"black","upInHippocampus__EarlyAD","Brain",1.77386632940182e-06
"greenyellow","tan_M13_Neuron__HumanMeta","Brain",3.29171227232498e-06
"purple","turquoise_M14_Nucleus__MouseMeta","Brain",4.20068661918397e-06
"lightcyan","PostSynapticDensity_proteins__Bayes","Brain",4.97391473337717e-06
"yellow","blue_downAD_metalIonTransport_glycoprotein__Blalock_AD","Brain",5.97371244972072e-06
"yellow","blue_M16_Neuron__CTX","Brain",6.56448408846431e-06
