"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","darkmagenta",TRUE,0.00486,452,394,28,0.071,0.062,"GO:0055114","BP",6,"oxidation-reduction process",1,"NDUFAB1,COX15,IDH3G,MCAT,ALKBH1,IDH3B,SLC25A14,PGK1,GSK3A,ALDOC,NDUFA8,COX6B1,TRAP1,INPP5K,COQ10A,GRHPR,NDUFB10,SIRT3,PGD,OXA1L,PHKG2,G6PD,DCXR,PGAM1,COX8A,COX5A,UQCR10,NDUFA7",4.62044271985946
"2","darkmagenta",TRUE,0.0297,338,394,22,0.056,0.065,"GO:0006091","BP",6,"generation of precursor metabolites and energy",1,"NDUFAB1,COX15,IDH3G,IDH3B,SLC25A14,PGK1,GSK3A,ALDOC,NDUFA8,COX6B1,TRAP1,INPP5K,COQ10A,NDUFB10,SIRT3,OXA1L,PHKG2,PGAM1,COX8A,COX5A,UQCR10,NDUFA7",5.29083662525617
"3","darkmagenta",TRUE,0.0023,222,394,19,0.048,0.086,"GO:0015980","BP",6,"energy derivation by oxidation of organic compounds",2,"NDUFAB1,COX15,IDH3G,IDH3B,SLC25A14,GSK3A,NDUFA8,COX6B1,TRAP1,INPP5K,COQ10A,NDUFB10,SIRT3,OXA1L,PHKG2,COX8A,COX5A,UQCR10,NDUFA7",5.56841030838719
"4","darkmagenta",TRUE,0.00186,158,394,16,0.041,0.101,"GO:0045333","BP",6,"cellular respiration",3,"NDUFAB1,COX15,IDH3G,IDH3B,SLC25A14,NDUFA8,COX6B1,TRAP1,COQ10A,NDUFB10,SIRT3,OXA1L,COX8A,COX5A,UQCR10,NDUFA7",6.17710365810862
"5","darkmagenta",TRUE,0.0351,176,394,15,0.038,0.085,"GO:0006888","BP",10,"ER to Golgi vesicle-mediated transport",1,"COPE,GBF1,RANGRF,TBC1D20,DCTN3,ACTR1A,ARFGAP2,MPPE1,PEF1,TMED3,TRAPPC9,YIF1B,DCTN2,BCAP31,TRAPPC4",7.21095737942857
"6","darkmagenta",TRUE,0.0169,1239,394,53,0.135,0.043,"GO:1902494","CC",4,"catalytic complex",1,"NDUFAB1,PSMC4,DHX8,CLNS1A,XAB2,KEAP1,PIGS,DGCR14,PRMT5,DCAF11,RABGGTA,FBXO31,ATP5SL,PPP2R1A,PSMD11,EFTUD2,TNFAIP1,C11ORF51,NDUFA8,SNRPB,PSMB2,PRMT1,BECN1,ADRM1,RBMX2,DPM2,DCAF5,DET1,NDUFB10,EIF4A3,SAE1,POLE3,DLAT,BTBD11,PHKG2,PEF1,SRRM2,SIN3A,PPP1CA,KAT5,PRPF8,KCTD13,SART1,POLR2L,FARSA,RUVBL2,UQCR10,MCRS1,SF3B3,RPP21,BCKDHA,C17ORF49,NDUFA7",3.96141004982435
"7","darkmagenta",TRUE,0.0296,95,394,11,0.028,0.116,"GO:0071013","CC",4,"catalytic step 2 spliceosome",1,"DHX8,XAB2,DGCR14,EFTUD2,SNRPB,RBMX2,EIF4A3,SRRM2,PRPF8,SART1,SF3B3",6.66032776736329
"8","darkmagenta",TRUE,1.43e-06,11213,394,310,0.787,0.028,"GO:0043226","CC",2,"organelle",1,"POLDIP2,NDUFAB1,RHBDD2,ELAC2,PSMC4,ANGEL1,COX15,ALG1,EDC4,ALDH18A1,DGAT2,ISOC2,DHX8,IDH3G,TBC1D25,RNF126,JMJD6,ATP6AP1,MRPS34,CLNS1A,NUAK1,SLC25A3,XAB2,UBE2T,PAFAH1B3,KEAP1,ARG2,NFE2L1,PIGS,EDEM2,RBBP9,PEBP1,ERP29,GANAB,DDX24,MCOLN1,AARS,NAT14,TINF2,NANS,DDT,DGCR14,ANKRD54,DEPDC5,XBP1,POLDIP3,TOM1,MCAT,TXN2,PRMT5,LGMN,ALKBH1,DCAF11,PCIF1,IFT52,EEF1A2,TM9SF4,IDH3B,SLC32A1,WFDC2,AHCY,MAP1LC3A,SUV39H1,SLC25A14,EMD,PGK1,USP11,PORCN,MAGED2,KLF5,SLC25A15,N4BP1,ARL2BP,VAC14,DNAJA3,BFAR,ECH1,TRMT1,SNAPC2,SLC1A6,CCNE1,ATP5SL,MRPL4,CYTH2,DBP,PPP2R1A,COPE,TMEM147,SPIN1,LHX6,GBF1,PNPO,SLC25A11,C1QBP,PSMD11,PEX12,EFTUD2,RANGRF,TNFAIP1,ALDOC,SIAE,TMEM109,C11ORF51,AIP,NOP2,COPS7A,PPM1G,ATP6V0B,CTSD,GLE1,NDUFA8,TCTN3,GOT1,AKAP1,SLC35B1,CRY2,PEX16,MRPS2,C12ORF44,ADCK4,SSR1,GGA3,SLC25A19,SNRPB,NRSN2,TBC1D20,PSMB2,TMEM53,CAPNS1,COX6B1,PRDX5,PRMT1,BECN1,TRAP1,ZC4H2,SLC35E1,TPST2,APOL2,GAD1,CHAC1,CLN6,ISLR,TUBGCP2,ADRM1,CHMP2A,YIPF2,TUBG1,ACLY,ARFIP2,INPP5K,ERAL1,PEMT,WDR74,MORC2,PEBP4,RBMX2,COQ10A,TMEM127,TACO1,SKIL,PRPF4,DPM2,RABEPK,DCTN3,GRHPR,HINT2,KHK,ACTR1A,DUSP5,ARL3,PEX5,C12ORF52,C12ORF10,DCAF5,WARS,BCL2A1,CDH13,NDUFB10,NOB1,G6PC3,WRAP53,SAT2,EIF4A3,NARF,SIRT3,SAE1,PGD,CDKN2B,POLE3,DNAJB12,PPRC1,ARFGAP2,PPP4C,DLAT,DCP1B,TXNDC11,NMRAL1,MPPE1,TMEM55A,OXA1L,JMJD5,RPUSD3,RNF111,TSC22D3,SPPL3,DEDD,IFNGR2,ATP5G1,CHAF1B,ATP6V0D1,G6PD,RRP1,DEDD2,VPS11,VPS28,SAP30BP,SNRNP25,JMJD8,PEF1,EN1,TIGD6,STOML2,ZFYVE1,ANKRD2,TMED3,FAM96B,VPS39,DOLPP1,MYO5B,TRAPPC9,YIF1B,DAPK3,RILP,OTUB1,RCOR2,CD320,PRDX2,SRRM2,SLC3A2,LTBP3,THAP11,STIP1,XPO6,SIN3A,GPS1,DCXR,RAC3,MORN4,PGAM1,TCEA2,DPAGT1,TP53RK,PPP1CA,CORO1B,KAT5,RNF26,CTSF,PRPF8,KCTD13,DCTN2,EIF1AD,SART1,COX8A,SPRYD4,PXMP2,TIMM22,ACOT4,POLR2L,CHID1,COX5A,MPI,EIF3K,RAD23A,C14ORF119,FAHD1,RNF41,MRPS11,MRPS16,LDOC1,SHMT2,RUVBL2,TUBA8,VPS33B,UQCR10,THAP7,EIF4ENIF1,BCAP31,MCRS1,EYS,SF3B3,TRAPPC4,HIST3H2BB,RAB40C,PSAP,SLC9A8,ASNA1,ARL2,MRPL23,ALKBH6,RPP21,NME2,NFS1,BCKDHA,ABHD14A,C17ORF49,TIMM23,STRADA,LIN37,NDUFA7,F8A1",0.760772938189011
"9","darkmagenta",TRUE,3.97e-10,10491,394,306,0.777,0.029,"GO:0043227","CC",2,"membrane-bounded organelle",2,"POLDIP2,NDUFAB1,RHBDD2,ELAC2,PSMC4,ANGEL1,COX15,ALG1,EDC4,ALDH18A1,DGAT2,ISOC2,DHX8,IDH3G,TBC1D25,RNF126,JMJD6,ATP6AP1,MRPS34,CLNS1A,NUAK1,SLC25A3,XAB2,UBE2T,PAFAH1B3,KEAP1,ARG2,NFE2L1,PIGS,EDEM2,RBBP9,PEBP1,ERP29,GANAB,DDX24,MCOLN1,AARS,NAT14,TINF2,NANS,DDT,DGCR14,ANKRD54,DEPDC5,XBP1,POLDIP3,TOM1,MCAT,TXN2,PRMT5,LGMN,ALKBH1,DCAF11,PCIF1,EEF1A2,TM9SF4,IDH3B,SLC32A1,WFDC2,AHCY,MAP1LC3A,SUV39H1,SLC25A14,EMD,PGK1,USP11,PORCN,MAGED2,KLF5,SLC25A15,N4BP1,ARL2BP,VAC14,DNAJA3,BFAR,ECH1,TRMT1,SNAPC2,CCNE1,ATP5SL,MRPL4,CYTH2,DBP,PPP2R1A,COPE,TMEM147,SPIN1,LHX6,GBF1,PNPO,SLC25A11,C1QBP,PSMD11,PEX12,EFTUD2,RANGRF,TNFAIP1,ALDOC,SIAE,TMEM109,C11ORF51,AIP,NOP2,COPS7A,PPM1G,ATP6V0B,CTSD,GLE1,NDUFA8,TCTN3,GOT1,AKAP1,SLC35B1,CRY2,PEX16,MRPS2,C12ORF44,ADCK4,SSR1,GGA3,SLC25A19,SNRPB,NRSN2,TBC1D20,PSMB2,TMEM53,CAPNS1,COX6B1,PRDX5,PRMT1,BECN1,TRAP1,ZC4H2,SLC35E1,TPST2,APOL2,GAD1,CHAC1,CLN6,ISLR,TUBGCP2,ADRM1,CHMP2A,YIPF2,TUBG1,ACLY,ARFIP2,INPP5K,ERAL1,PEMT,WDR74,MORC2,PEBP4,RBMX2,COQ10A,TMEM127,TACO1,SKIL,PRPF4,DPM2,RABEPK,DCTN3,GRHPR,HINT2,KHK,ACTR1A,DUSP5,ARL3,PEX5,C12ORF52,C12ORF10,DCAF5,WARS,BCL2A1,CDH13,NDUFB10,NOB1,G6PC3,WRAP53,SAT2,EIF4A3,NARF,SIRT3,SAE1,PGD,CDKN2B,POLE3,DNAJB12,PPRC1,ARFGAP2,PPP4C,DLAT,DCP1B,TXNDC11,NMRAL1,MPPE1,TMEM55A,OXA1L,JMJD5,RPUSD3,RNF111,TSC22D3,SPPL3,DEDD,IFNGR2,ATP5G1,CHAF1B,ATP6V0D1,G6PD,RRP1,DEDD2,VPS11,VPS28,SAP30BP,SNRNP25,JMJD8,PEF1,EN1,TIGD6,STOML2,ZFYVE1,ANKRD2,TMED3,FAM96B,VPS39,DOLPP1,MYO5B,TRAPPC9,YIF1B,DAPK3,RILP,OTUB1,RCOR2,CD320,PRDX2,SRRM2,SLC3A2,LTBP3,THAP11,STIP1,XPO6,SIN3A,GPS1,DCXR,RAC3,PGAM1,TCEA2,DPAGT1,TP53RK,PPP1CA,CORO1B,KAT5,RNF26,CTSF,PRPF8,KCTD13,DCTN2,EIF1AD,SART1,COX8A,SPRYD4,PXMP2,TIMM22,ACOT4,POLR2L,CHID1,COX5A,MPI,EIF3K,RAD23A,C14ORF119,FAHD1,RNF41,MRPS11,MRPS16,LDOC1,SHMT2,RUVBL2,VPS33B,UQCR10,THAP7,EIF4ENIF1,BCAP31,MCRS1,EYS,SF3B3,TRAPPC4,HIST3H2BB,RAB40C,PSAP,SLC9A8,ASNA1,ARL2,MRPL23,ALKBH6,RPP21,NME2,NFS1,BCKDHA,ABHD14A,C17ORF49,TIMM23,STRADA,LIN37,NDUFA7,F8A1",0.950314742956453
"10","darkmagenta",TRUE,3.06e-07,7864,394,241,0.612,0.031,"GO:0044422","CC",2,"organelle part",2,"POLDIP2,NDUFAB1,RHBDD2,ELAC2,PSMC4,COX15,ALG1,EDC4,ALDH18A1,DGAT2,DHX8,IDH3G,RNF126,JMJD6,ATP6AP1,MRPS34,CLNS1A,NUAK1,SLC25A3,XAB2,UBE2T,KEAP1,ARG2,PIGS,EDEM2,RBBP9,ERP29,GANAB,DDX24,MCOLN1,TINF2,DGCR14,DEPDC5,XBP1,POLDIP3,TOM1,MCAT,TXN2,PRMT5,LGMN,ALKBH1,DCAF11,PCIF1,IFT52,EEF1A2,IDH3B,SLC32A1,MAP1LC3A,SUV39H1,SLC25A14,EMD,USP11,PORCN,MAGED2,KLF5,SLC25A15,N4BP1,ARL2BP,VAC14,DNAJA3,BFAR,TRMT1,SNAPC2,CCNE1,ATP5SL,MRPL4,CYTH2,PPP2R1A,COPE,TMEM147,SPIN1,GBF1,PNPO,SLC25A11,PSMD11,PEX12,EFTUD2,RANGRF,TNFAIP1,ALDOC,C11ORF51,AIP,NOP2,COPS7A,PPM1G,ATP6V0B,CTSD,GLE1,NDUFA8,TCTN3,GOT1,SLC35B1,CRY2,PEX16,MRPS2,C12ORF44,SSR1,GGA3,SLC25A19,SNRPB,TBC1D20,PSMB2,COX6B1,PRDX5,PRMT1,TRAP1,TPST2,APOL2,GAD1,CHAC1,CLN6,ISLR,TUBGCP2,ADRM1,CHMP2A,TUBG1,ACLY,ARFIP2,INPP5K,ERAL1,PEMT,WDR74,RBMX2,SKIL,PRPF4,DPM2,RABEPK,DCTN3,GRHPR,HINT2,ACTR1A,DUSP5,ARL3,PEX5,C12ORF52,C12ORF10,DCAF5,BCL2A1,NDUFB10,NOB1,G6PC3,WRAP53,EIF4A3,NARF,SIRT3,SAE1,POLE3,DNAJB12,PPRC1,PPP4C,DLAT,MPPE1,TMEM55A,OXA1L,JMJD5,RNF111,SPPL3,DEDD,ATP5G1,CHAF1B,ATP6V0D1,RRP1,DEDD2,VPS11,VPS28,SAP30BP,SNRNP25,PEF1,STOML2,ZFYVE1,ANKRD2,TMED3,FAM96B,VPS39,DOLPP1,MYO5B,TRAPPC9,YIF1B,RILP,OTUB1,CD320,SRRM2,THAP11,XPO6,SIN3A,GPS1,DCXR,RAC3,MORN4,PGAM1,TCEA2,DPAGT1,TP53RK,PPP1CA,CORO1B,KAT5,RNF26,CTSF,PRPF8,KCTD13,DCTN2,SART1,COX8A,PXMP2,TIMM22,ACOT4,POLR2L,CHID1,COX5A,RAD23A,FAHD1,RNF41,MRPS11,MRPS16,LDOC1,SHMT2,RUVBL2,VPS33B,UQCR10,THAP7,BCAP31,MCRS1,SF3B3,TRAPPC4,HIST3H2BB,RAB40C,PSAP,SLC9A8,ASNA1,ARL2,MRPL23,ALKBH6,RPP21,NME2,NFS1,BCKDHA,C17ORF49,TIMM23,STRADA,LIN37,NDUFA7",1.42400670158964
