"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"green","blue_M2_Oligodendrocytes__HumanMeta","Brain",4.25955513452615e-228
"pink","brown_M3_Astrocytes__HumanMeta","Brain",7.31929029486147e-175
"pink","Astrocyte_probable__Cahoy","Brain",5.77150841948728e-130
"green","turquoise_M9_Oligodendrocyte__CTX","Brain",3.50535800517055e-128
"yellow","Neuron_probable__Cahoy","Brain",6.88652404427674e-113
"pink","brown_M15_Astrocyte__CTX","Brain",4.42918314418977e-111
"green","Oligodendrocyte_probable__Cahoy","Brain",1.01655331672424e-99
"tan","pink_M10_Microglia(Type1)__HumanMeta","Brain",4.49178083275967e-79
"green","tan_noChangeAD_oligo_plasmaMembrane__Blalock_AD","Brain",8.35552948468097e-63
"pink","Astrocyte_definite__Cahoy","Brain",1.47537321739476e-52
"green","turquoise_upAging_oligo__Lu_Aging","Brain",3.74851701610788e-52
"yellow","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.0952865879085e-46
"green","Oligodendrocyte_definite__Cahoy","Brain",2.93496995434491e-46
"brown","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",7.91358213593046e-44
"cyan","Neuron_probable__Cahoy","Brain",1.11266997951064e-43
"yellow","Neuron_definite__Cahoy","Brain",1.49231295999155e-39
"red","yellow_M18__CTX","Brain",1.35867861148818e-38
"yellow","Autism_associated_module_M12__Voineagu","Brain",4.17715387109698e-38
"pink","red_ACCandCaudate__HumanChimp","Brain",2.35873968538696e-35
"green","Oligodendrocyte__ABA","Brain",1.2672629959322e-33
"pink","brown_upAging_copperHomeostatisMT1__Lu_Aging","Brain",5.39287357520646e-31
"red","blue_M16_Neuron__CTX","Brain",3.76948863567275e-29
"brown","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",5.13599953693244e-27
"cyan","yellow_Caudate__HumanChimp","Brain",5.96742241829785e-27
"yellow","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",1.88426476660283e-26
"yellow","PostSynapticDensity_proteins__Bayes","Brain",4.98031155819992e-26
"yellow","tan_M13_Neuron__HumanMeta","Brain",8.45410816216415e-26
"blue","blue_M2_Oligodendrocytes__HumanMeta","Brain",1.37210970728843e-25
"tan","upInFrontalCortex__EarlyAD","Brain",1.70284952627766e-25
"brown","blue_M16_Neuron__CTX","Brain",9.09820069732112e-25
"yellow","pink_downAD_synapticTransmission__Blalock_AD","Brain",4.97759194685535e-24
"yellow","purple_downAD_synapticTransmission__Blalock_AD","Brain",7.6685582878185e-24
"yellow","green_M5_Mitochondria__HumanMeta","Brain",3.17295605776606e-23
"red","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",2.47014530262268e-21
"brown","red_M11_Neuron__HumanMeta","Brain",4.23875151395059e-21
"tan","purple_M4_Microglia(Type1)__CTX","Brain",5.27105015559825e-21
"yellow","Neuron__ABA","Brain",7.35193276960124e-21
"red","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",8.21777948884276e-21
"pink","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.90939132744398e-20
"green","black_WhiteMatter__HumanChimp","Brain",1.39952645812543e-19
"brown","PostSynapticDensity_proteins__Bayes","Brain",2.24892290725449e-19
"brown","brown_downAD_mitochondrion__Blalock_AD","Brain",3.70103806189108e-19
"yellow","greenyellow_downAD_ionAndCalciumTransport__Blalock_AD","Brain",4.07956181457393e-16
"brown","turquoise_M14_Nucleus__MouseMeta","Brain",8.10237669279103e-16
"cyan","Autism_associated_module_M12__Voineagu","Brain",8.13534962935272e-16
"blue","magenta_M8_Microglia(Type2)__HumanMeta","Brain",3.83349788627668e-15
"yellow","brown_Cortex__HumanChimp","Brain",4.46308107649636e-15
"cyan","Neuron_definite__Cahoy","Brain",5.42040249830452e-15
"yellow","brown_downAD_mitochondrion__Blalock_AD","Brain",1.64570988181888e-14
"red","turquoise_M14_Nucleus__HumanMeta","Brain",1.87303901733042e-14
