"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"brown","brown_M3_Astrocytes__HumanMeta","Brain",4.98391718095506e-239
"yellow","blue_M2_Oligodendrocytes__HumanMeta","Brain",2.37034363521481e-231
"brown","Astrocyte_probable__Cahoy","Brain",1.38507662561506e-167
"brown","brown_M15_Astrocyte__CTX","Brain",1.17061250998744e-148
"yellow","turquoise_M9_Oligodendrocyte__CTX","Brain",4.4293236991003e-138
"yellow","Oligodendrocyte_probable__Cahoy","Brain",5.70557248135197e-79
"brown","Astrocyte_definite__Cahoy","Brain",3.0312095722622e-76
"yellow","tan_noChangeAD_oligo_plasmaMembrane__Blalock_AD","Brain",2.78410560902276e-69
"midnightblue","pink_M10_Microglia(Type1)__HumanMeta","Brain",1.85375681619672e-68
"magenta","Neuron_probable__Cahoy","Brain",1.0704552036118e-58
"yellow","Oligodendrocyte_definite__Cahoy","Brain",3.13128233455201e-57
"brown","red_ACCandCaudate__HumanChimp","Brain",2.1975450735558e-53
"brown","brown_upAging_copperHomeostatisMT1__Lu_Aging","Brain",5.15349775928021e-53
"yellow","turquoise_upAging_oligo__Lu_Aging","Brain",9.72338975822788e-51
"lightyellow","Neuron_probable__Cahoy","Brain",1.29166697995033e-43
"magenta","Autism_associated_module_M12__Voineagu","Brain",1.27330031467678e-41
"magenta","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",3.00727569884258e-41
"green","Neuron_probable__Cahoy","Brain",2.06064167477853e-39
"yellow","Oligodendrocyte__ABA","Brain",1.465034838225e-37
"lightyellow","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",3.43327369386343e-32
"magenta","PostSynapticDensity_proteins__Bayes","Brain",1.40508379477101e-31
"green","Autism_associated_module_M12__Voineagu","Brain",1.89124322344594e-29
"magenta","red_M11_Neuron__HumanMeta","Brain",1.06967926893168e-28
"magenta","Neuron_definite__Cahoy","Brain",6.97881854504034e-28
"pink","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",1.57695614064566e-26
"lightyellow","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",5.55011599342353e-25
"magenta","brown_downAD_mitochondrion__Blalock_AD","Brain",7.38772926838328e-25
"brown","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.47132991645496e-24
"green","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",3.34803730023862e-24
"magenta","blue_M16_Neuron__CTX","Brain",1.63562157558335e-23
"lightgreen","yellow_M18__CTX","Brain",2.897873950574e-22
"yellow","black_WhiteMatter__HumanChimp","Brain",3.14321856669205e-22
"midnightblue","purple_M4_Microglia(Type1)__CTX","Brain",5.39096213443049e-22
"tan","Neuron_probable__Cahoy","Brain",1.13613591099276e-21
"green","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",2.05588279437965e-21
"green","black_M1_PvalbInterneurons__HumanMeta","Brain",4.26622843391998e-21
"tan","greenyellow_M6_GlutatmatergicSynapse__HumanMeta","Brain",6.93765835544333e-21
"lightyellow","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",4.86461384239101e-20
"green","red_M11_Neuron__HumanMeta","Brain",1.01101932061714e-19
"magenta","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",1.67029768741071e-19
"magenta","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",1.89894864884905e-19
"cyan","blue_M2_Oligodendrocytes__HumanMeta","Brain",2.65357324052169e-19
"magenta","brown_Cortex__HumanChimp","Brain",6.21407122388266e-19
"magenta","purple_downAD_synapticTransmission__Blalock_AD","Brain",8.06716107045904e-19
"lightyellow","brown_downAD_mitochondrion__Blalock_AD","Brain",8.46016095631522e-19
"purple","turquoise_M14_Nucleus__HumanMeta","Brain",8.05155624017897e-18
"lightyellow","green_M5_Mitochondria__HumanMeta","Brain",2.90379595223772e-17
"midnightblue","upInFrontalCortex__EarlyAD","Brain",4.16307399183717e-17
"tan","tan_M13_Neuron__HumanMeta","Brain",9.73923790810654e-17
"green","PostSynapticDensity_proteins__Bayes","Brain",1.32136388352504e-16
