"","yellow","grey60","tan","darkgreen","magenta","turquoise","pink","lightyellow","lightgreen","lightcyan","cyan","greenyellow","darkred","black","brown","blue","red","salmon","midnightblue"
"Astrocyte",1,1,1,1,1,1,1,1,1,1,1,1,1,1.63710837292639e-30,1,1,1,1,1
"Bcells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA1_Pyramidal",1,1,1,1,1,1,6.89682802887838e-10,1,1,1,0.0340254335214767,1,1,1,1,1,1,1,1
"CA1.Pyramidal",1,1,1,1,1,1,6.89682802887838e-10,1,1,1,0.0340254335214767,1,1,1,1,1,1,1,1
"CD8Tcells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Basket_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Bergmann_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,8.88842332163201e-16,1,1,1,1,1
"Cerebellum_Golgi_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Granule_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cerebellum_Microglia_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.61341582381509e-35,1
"Cerebellum_MicrogliaActivation_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.84774273819658e-15,1
"Cerebellum_MicrogliaDeactivation_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.73867443101372e-36,1
"Cerebellum_Oligo_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.85299693359774e-19,1,1
"Cerebellum_Purkinje_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_Astrocyte_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_Endothelial_Neuroexpresso",1,1,1,1,1,1,1,1,1,4.14472720900934e-14,1,1,1,1,1,1,1,1,1
"Cortex_GabaPV_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_GabaRelnCalb_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_GabaVIPReln_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_Microglia_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.02285863467774e-44,1
"Cortex_MicrogliaActivation_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.46955169151392e-25,1
"Cortex_MicrogliaDeactivation_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.45297074769775e-42,1
"Cortex_Oligo_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.08848166909469e-48,1,1
"Cortex_OligoPrecursors_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cortex_Pyramidal_Neuroexpresso",1,1,9.49754027284794e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Cytotoxiccells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom4",1,1,0.000882866612594803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D_NEuronCom7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DAMANIS_MICROGLIA",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.23339781269227e-22,1
"DARMANIS_ASTROCYES",1,1,1,1,1,1,1,1,1,1,1,1,1,7.68880933161855e-19,1,1,1,1,1
"DARMANIS_ENDOTHELIAL",1,1,1,1,1,1,1,1,1,2.70723552826887e-08,1,1,1,1,1,1,1,1,1
"DARMANIS_FETAL1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_FETAL2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_MIXTURENEUASTRO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_MIXTURENEUOLIGOPC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_NEUROND",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DARMANIS_OLIGO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.61481290691672e-21,1,1
"DARMANIS_OPCS",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dopaminergic_Neuron_SN",1,1,1,1,1,1,5.40548629905638e-05,1,1,1,1,1,2.65531397792546e-05,1,1,1,1,1,1
"Dopaminergic_Neuron_VTA",1,1,1,1,1,1,1,1,1,1,1,1,1,0.0020178250941142,1,1,1,1,1
"Dopaminergic_Neuron",1,1,1,1,1,1,1,1,1,1,1,1,0.00373435337925184,1,1,1,1,1,1
"Dopaminergic",1,1,1,1,1,1,5.40548629905638e-05,1,1,1,1,1,0.00373435337925184,0.0020178250941142,1,1,1,1,1
"DopaminergicNeuron",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Endothelial",1,1,1,1,1,1,1,1,1,8.63947558224922e-12,1,1,1,1,1,1,1,1,1
"Eosinophils",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ependymal",1,1,1,1,1,1,1,1,1,1,1,1,1,0.02676591751061,1,1,1,1,2.35030425114072e-45
"Ex1",1,1,0.00746995046795865,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex6",1,1,1,1,1,1,1,1,1,1,1,1,1,0.00375303084826371,1,1,1,1,1
"Ex7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ex8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"GABASST_HIPPD_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hippocampus_Astrocyte_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hippocampus_DentateGranule_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hippocampus_GabaSSTRein_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hippocampus_MicrogliaActivation_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.53579328536201e-23,1
"Hippocampus_MicrogliaDeactivation_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.10936202235047e-34,1
"Hippocampus_Oligo_Neuroexpresso",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.60228369727137e-26,1,1
