"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","yellow",TRUE,0.047,551,493,34,0.069,0.062,"GO:0051603","BP",6,"proteolysis involved in cellular protein catabolic process",1,"RANBP3,TOLLIP,AURKA,EDEM2,CDC34,XBP1,FOXRED2,N4BP1,FBXO31,UBE2I,RNF40,SGTA,GSK3A,PSMD3,TNFAIP1,PRPF19,C11ORF51,RAD23B,CLPP,PSMF1,NR1D1,NUDT15,CSNK1D,ANAPC11,LONRF1,VPS28,TMUB1,UBAP1,KCTD13,SIAH2,MTA1,UBE2L3,C17ORF97,CSNK1E",4.8829554734504
"2","yellow",TRUE,0.0127,384,493,28,0.057,0.073,"GO:0006397","BP",3,"mRNA processing",1,"STRAP,CPSF1,SNRPA,CHERP,KHSRP,SF3A1,DGCR14,TFIP11,RNF40,ERCC2,PRPF31,SUPT6H,PRPF19,NUP98,WDR77,SYMPK,SNRPB,SRRM1,CDK9,EIF4A3,TUT1,CPSF7,SRRM2,PRPF8,POLR2L,HNRNPA0,POLR2A,SUPT5H",5.10706474188456
"3","yellow",TRUE,0.000745,414,493,32,0.065,0.077,"GO:0061919","BP",7,"process utilizing autophagic mechanism",1,"CAPN1,PHF23,TBC1D25,MARK2,DEPDC5,NPRL3,TSC2,GSK3A,HSPB1,ATG2A,PRKAB1,CTSD,C12ORF44,CAPNS1,MAP1S,CHMP2A,C19ORF12,ATP6V1G1,RPTOR,AKT1,VPS28,TSC1,ZFYVE1,VPS39,SNX32,RAB1B,SMCR8,ULK1,HGS,SUPT5H,ATG9A,PIP4K2B",NA
"4","yellow",TRUE,0.000111,9333,493,323,0.655,0.035,"GO:0008152","BP",7,"metabolic process",1,"UPF1,DHX33,LIG3,CREBBP,PDK2,ELAC2,QPCTL,ERCC1,DNASE1L1,POLA2,CAPN1,COX15,RNF10,STRAP,RANBP3,PNPLA6,USP2,EDC4,PHF23,PHPT1,FAM168A,UNKL,AP3D1,COASY,TBC1D25,FTSJ1,MNT,CPSF1,MARK2,GTF3C1,SNRPA,CBFA2T2,TOLLIP,CIC,SRCAP,NFE2L1,SSH1,AGBL5,CHERP,PIGS,AURKA,CNOT3,KHSRP,EDEM2,ZBTB25,NUP50,CRAT,SH2D3C,ATP5D,TECR,CDC34,MED15,BCL2L13,SF3A1,PES1,DGCR14,GGA1,HIRA,TFIP11,GCAT,DEPDC5,XBP1,JOSD1,SBF1,FOXRED2,ACO2,POLR3H,PMM1,DCAF11,REC8,PCIF1,GINS1,BMP7,GMEB2,NKAP,PORCN,MGRN1,ZNF629,N4BP1,ARL2BP,VAC14,NPRL3,TSC2,FBXO31,UBE2I,DNAJA3,CDIPT,BCKDK,RNF40,CD276,INTS9,SARS2,PIH1D1,ERCC2,IL4I1,SGTA,MED25,SNAPC2,DYRK1B,MRPL4,DBP,MIER2,PRPF31,JAK3,GSK3A,OGDH,HSPB1,TAF6,RAPGEF1,GBF1,PITRM1,PSMD3,SLC25A11,HSD17B1,MLX,DPH1,TNFAIP1,SUPT6H,ATG2A,PRPF19,C11ORF51,DDX6,NUP98,PRKAB1,PPARD,PPM1G,WDR77,CTSD,KLF9,RAD23B,NR4A3,LYPLA1,GTF3A,MRPS2,DDX54,NR4A1,C12ORF44,DDX27,NQO2,NDUFA1,GGA3,CLPP,OPA3,SYMPK,PSMF1,SNRPB,CITED1,KDM5C,CAPNS1,NR1D1,FLRT1,TRAP1,TRAF2,POR,TPST2,CLN6,MPDU1,ECSIT,MAP1S,CHMP2A,C19ORF12,MYBBP1A,WBP2,GPS2,ERAL1,TERF2,PEMT,SRRM1,CSNK1G2,MEN1,FBXO18,NUDT15,DBNL,NMT1,CDK9,USP20,ATP6V1G1,DPM2,UBAP2,FRS3,PEX5,MAP3K12,SETD1B,DCAF5,FURIN,NDUFB10,PDPK1,TCF25,NOB1,BCAS3,WRAP53,EIF4A3,CSNK1D,ANAPC11,RPTOR,FOXK2,MBD1,BRD4,SIRT3,AKT1,CARM1,WDTC1,UBAP2L,ARF1,SNX12,ASB6,INPP5E,PPRC1,ADM,TUT1,INCENP,CPSF7,TM7SF2,PPP4C,TAOK2,IPMK,ZDHHC7,CEBPG,LONRF1,OXA1L,ZIC3,B4GALT3,MRPL10,CTBP1,ZDHHC1,NR2F6,G6PD,NACC1,LY6E,VPS28,PGAP3,TAF6L,TKT,TMUB1,FOXK1,UBAP1,TSC1,ZFYVE1,MAPK7,NDST2,VPS39,PRDX2,ABCA3,SRRM2,MGAT2,CHTF8,APEX2,NDUFA3,CCBL1,ZDHHC16,TCEA2,DPAGT1,BSG,HINFP,PPP1CA,HCFC1,SNX32,PRPF8,BRMS1,RAB1B,KCTD13,MED16,CHST1,DOLK,PPP2R2D,DRAP1,IP6K1,COX8A,EID2,WSB2,SMCR8,ULK1,POLR2L,HNRNPA0,GRB2,EIF3K,PER1,POLR2A,SIAH2,MRPL41,MRPS16,SHMT2,GLRX5,MTA1,EP400,NDUFB1,CBX6,POU6F1,TOP1MT,NOC4L,RAB11B,HGS,UBE2L3,IRS2,NDUFA13,POLR1D,NF2,C17ORF97,H1F0,ZNF681,SUPT5H,ZNF140,FITM2,GPAA1,MYO1C,SPG7,ZNF335,PRIM1,ZNF28,GRK5,ATG9A,AGPAT1,AKT1S1,ATXN2,RNF208,QTRT1,CSNK1E,EXOSC6,TAPBP,RBM14,ZNF585B,ZNF225,PIP4K2B",1.10347152361181
"5","yellow",TRUE,0.0106,8600,493,293,0.594,0.034,"GO:0044238","BP",7,"primary metabolic process",2,"UPF1,DHX33,LIG3,CREBBP,PDK2,ELAC2,QPCTL,ERCC1,DNASE1L1,POLA2,CAPN1,COX15,RNF10,STRAP,RANBP3,PNPLA6,USP2,EDC4,PHF23,PHPT1,FAM168A,UNKL,COASY,FTSJ1,MNT,CPSF1,MARK2,GTF3C1,SNRPA,CBFA2T2,TOLLIP,CIC,SRCAP,NFE2L1,SSH1,AGBL5,CHERP,PIGS,AURKA,CNOT3,KHSRP,EDEM2,NUP50,CRAT,SH2D3C,ATP5D,TECR,CDC34,MED15,BCL2L13,SF3A1,PES1,DGCR14,GGA1,HIRA,TFIP11,GCAT,XBP1,JOSD1,SBF1,FOXRED2,ACO2,POLR3H,PMM1,DCAF11,REC8,GINS1,BMP7,GMEB2,NKAP,PORCN,MGRN1,ZNF629,N4BP1,ARL2BP,VAC14,TSC2,FBXO31,UBE2I,DNAJA3,CDIPT,BCKDK,RNF40,CD276,INTS9,SARS2,PIH1D1,ERCC2,IL4I1,SGTA,MED25,SNAPC2,DYRK1B,MRPL4,DBP,MIER2,PRPF31,JAK3,GSK3A,OGDH,HSPB1,TAF6,RAPGEF1,PITRM1,PSMD3,SLC25A11,HSD17B1,MLX,DPH1,TNFAIP1,SUPT6H,PRPF19,C11ORF51,DDX6,NUP98,PRKAB1,PPARD,PPM1G,WDR77,CTSD,KLF9,RAD23B,NR4A3,LYPLA1,GTF3A,MRPS2,DDX54,NR4A1,DDX27,NDUFA1,GGA3,CLPP,OPA3,SYMPK,PSMF1,SNRPB,CITED1,KDM5C,NR1D1,FLRT1,TRAP1,TRAF2,TPST2,CLN6,MPDU1,MYBBP1A,WBP2,GPS2,ERAL1,TERF2,PEMT,SRRM1,CSNK1G2,MEN1,FBXO18,NUDT15,DBNL,NMT1,CDK9,USP20,DPM2,FRS3,PEX5,MAP3K12,SETD1B,DCAF5,FURIN,NDUFB10,PDPK1,TCF25,NOB1,BCAS3,WRAP53,EIF4A3,CSNK1D,ANAPC11,RPTOR,FOXK2,MBD1,BRD4,SIRT3,AKT1,CARM1,WDTC1,ARF1,SNX12,ASB6,INPP5E,PPRC1,ADM,TUT1,INCENP,CPSF7,TM7SF2,PPP4C,TAOK2,ZDHHC7,CEBPG,LONRF1,ZIC3,B4GALT3,MRPL10,CTBP1,ZDHHC1,NR2F6,G6PD,NACC1,LY6E,VPS28,PGAP3,TAF6L,TKT,TMUB1,FOXK1,UBAP1,TSC1,MAPK7,ABCA3,SRRM2,MGAT2,CHTF8,APEX2,NDUFA3,CCBL1,ZDHHC16,TCEA2,DPAGT1,HINFP,PPP1CA,HCFC1,PRPF8,BRMS1,RAB1B,KCTD13,MED16,CHST1,DOLK,PPP2R2D,DRAP1,IP6K1,COX8A,EID2,WSB2,SMCR8,ULK1,POLR2L,HNRNPA0,GRB2,EIF3K,PER1,POLR2A,SIAH2,MRPL41,MRPS16,SHMT2,GLRX5,MTA1,EP400,NDUFB1,CBX6,POU6F1,TOP1MT,NOC4L,RAB11B,HGS,UBE2L3,IRS2,NDUFA13,POLR1D,NF2,C17ORF97,H1F0,ZNF681,SUPT5H,ZNF140,FITM2,GPAA1,SPG7,ZNF335,PRIM1,ZNF28,GRK5,AGPAT1,AKT1S1,ATXN2,RNF208,QTRT1,CSNK1E,EXOSC6,RBM14,ZNF585B,ZNF225,PIP4K2B",1.36698257719581
"6","yellow",TRUE,0.0435,9007,493,301,0.611,0.033,"GO:0071704","BP",7,"organic substance metabolic process",2,"UPF1,DHX33,LIG3,CREBBP,PDK2,ELAC2,QPCTL,ERCC1,DNASE1L1,POLA2,CAPN1,COX15,RNF10,STRAP,RANBP3,PNPLA6,USP2,EDC4,PHF23,PHPT1,FAM168A,UNKL,COASY,FTSJ1,MNT,CPSF1,MARK2,GTF3C1,SNRPA,CBFA2T2,TOLLIP,CIC,SRCAP,NFE2L1,SSH1,AGBL5,CHERP,PIGS,AURKA,CNOT3,KHSRP,EDEM2,ZBTB25,NUP50,CRAT,SH2D3C,ATP5D,TECR,CDC34,MED15,BCL2L13,SF3A1,PES1,DGCR14,GGA1,HIRA,TFIP11,GCAT,XBP1,JOSD1,SBF1,FOXRED2,ACO2,POLR3H,PMM1,DCAF11,REC8,GINS1,BMP7,GMEB2,NKAP,PORCN,MGRN1,ZNF629,N4BP1,ARL2BP,VAC14,TSC2,FBXO31,UBE2I,DNAJA3,CDIPT,BCKDK,RNF40,CD276,INTS9,SARS2,PIH1D1,ERCC2,IL4I1,SGTA,MED25,SNAPC2,DYRK1B,MRPL4,DBP,MIER2,PRPF31,JAK3,GSK3A,OGDH,HSPB1,TAF6,RAPGEF1,PITRM1,PSMD3,SLC25A11,HSD17B1,MLX,DPH1,TNFAIP1,SUPT6H,PRPF19,C11ORF51,DDX6,NUP98,PRKAB1,PPARD,PPM1G,WDR77,CTSD,KLF9,RAD23B,NR4A3,LYPLA1,GTF3A,MRPS2,DDX54,NR4A1,DDX27,NDUFA1,GGA3,CLPP,OPA3,SYMPK,PSMF1,SNRPB,CITED1,KDM5C,NR1D1,FLRT1,TRAP1,TRAF2,TPST2,CLN6,MPDU1,MYBBP1A,WBP2,GPS2,ERAL1,TERF2,PEMT,SRRM1,CSNK1G2,MEN1,FBXO18,NUDT15,DBNL,NMT1,CDK9,USP20,DPM2,UBAP2,FRS3,PEX5,MAP3K12,SETD1B,DCAF5,FURIN,NDUFB10,PDPK1,TCF25,NOB1,BCAS3,WRAP53,EIF4A3,CSNK1D,ANAPC11,RPTOR,FOXK2,MBD1,BRD4,SIRT3,AKT1,CARM1,WDTC1,UBAP2L,ARF1,SNX12,ASB6,INPP5E,PPRC1,ADM,TUT1,INCENP,CPSF7,TM7SF2,PPP4C,TAOK2,IPMK,ZDHHC7,CEBPG,LONRF1,ZIC3,B4GALT3,MRPL10,CTBP1,ZDHHC1,NR2F6,G6PD,NACC1,LY6E,VPS28,PGAP3,TAF6L,TKT,TMUB1,FOXK1,UBAP1,TSC1,MAPK7,NDST2,ABCA3,SRRM2,MGAT2,CHTF8,APEX2,NDUFA3,CCBL1,ZDHHC16,TCEA2,DPAGT1,BSG,HINFP,PPP1CA,HCFC1,PRPF8,BRMS1,RAB1B,KCTD13,MED16,CHST1,DOLK,PPP2R2D,DRAP1,IP6K1,COX8A,EID2,WSB2,SMCR8,ULK1,POLR2L,HNRNPA0,GRB2,EIF3K,PER1,POLR2A,SIAH2,MRPL41,MRPS16,SHMT2,GLRX5,MTA1,EP400,NDUFB1,CBX6,POU6F1,TOP1MT,NOC4L,RAB11B,HGS,UBE2L3,IRS2,NDUFA13,POLR1D,NF2,C17ORF97,H1F0,ZNF681,SUPT5H,ZNF140,FITM2,GPAA1,MYO1C,SPG7,ZNF335,PRIM1,ZNF28,GRK5,AGPAT1,AKT1S1,ATXN2,RNF208,QTRT1,CSNK1E,EXOSC6,TAPBP,RBM14,ZNF585B,ZNF225,PIP4K2B",1.26232799050953
"7","yellow",TRUE,0.00073,7442,493,266,0.54,0.036,"GO:0043170","BP",7,"macromolecule metabolic process",3,"UPF1,DHX33,LIG3,CREBBP,ELAC2,QPCTL,ERCC1,DNASE1L1,POLA2,CAPN1,RNF10,STRAP,RANBP3,USP2,EDC4,PHF23,PHPT1,FAM168A,UNKL,FTSJ1,MNT,CPSF1,MARK2,GTF3C1,SNRPA,CBFA2T2,TOLLIP,CIC,SRCAP,NFE2L1,SSH1,AGBL5,CHERP,PIGS,AURKA,CNOT3,KHSRP,EDEM2,ZBTB25,NUP50,SH2D3C,CDC34,MED15,BCL2L13,SF3A1,PES1,DGCR14,GGA1,HIRA,TFIP11,XBP1,JOSD1,SBF1,FOXRED2,POLR3H,PMM1,DCAF11,REC8,GINS1,BMP7,GMEB2,NKAP,PORCN,MGRN1,ZNF629,N4BP1,ARL2BP,TSC2,FBXO31,UBE2I,DNAJA3,RNF40,CD276,INTS9,SARS2,PIH1D1,ERCC2,SGTA,MED25,SNAPC2,DYRK1B,MRPL4,DBP,MIER2,PRPF31,JAK3,GSK3A,HSPB1,TAF6,RAPGEF1,PITRM1,PSMD3,MLX,DPH1,TNFAIP1,SUPT6H,PRPF19,C11ORF51,DDX6,NUP98,PRKAB1,PPARD,PPM1G,WDR77,CTSD,KLF9,RAD23B,NR4A3,LYPLA1,GTF3A,MRPS2,DDX54,NR4A1,DDX27,GGA3,CLPP,SYMPK,PSMF1,SNRPB,CITED1,KDM5C,NR1D1,FLRT1,TRAP1,TRAF2,TPST2,CLN6,MYBBP1A,WBP2,GPS2,ERAL1,TERF2,SRRM1,CSNK1G2,MEN1,FBXO18,NUDT15,DBNL,NMT1,CDK9,USP20,DPM2,UBAP2,FRS3,PEX5,MAP3K12,SETD1B,DCAF5,FURIN,PDPK1,TCF25,NOB1,BCAS3,WRAP53,EIF4A3,CSNK1D,ANAPC11,RPTOR,FOXK2,MBD1,BRD4,SIRT3,AKT1,CARM1,WDTC1,UBAP2L,ARF1,SNX12,ASB6,PPRC1,ADM,TUT1,INCENP,CPSF7,PPP4C,TAOK2,ZDHHC7,CEBPG,LONRF1,ZIC3,B4GALT3,MRPL10,CTBP1,ZDHHC1,NR2F6,G6PD,NACC1,LY6E,VPS28,TAF6L,TMUB1,FOXK1,UBAP1,TSC1,MAPK7,NDST2,ABCA3,SRRM2,MGAT2,CHTF8,APEX2,ZDHHC16,TCEA2,DPAGT1,HINFP,PPP1CA,HCFC1,PRPF8,BRMS1,RAB1B,KCTD13,MED16,CHST1,DOLK,PPP2R2D,DRAP1,EID2,WSB2,SMCR8,ULK1,POLR2L,HNRNPA0,GRB2,EIF3K,PER1,POLR2A,SIAH2,MRPL41,MRPS16,SHMT2,GLRX5,MTA1,EP400,CBX6,POU6F1,TOP1MT,NOC4L,RAB11B,HGS,UBE2L3,IRS2,NDUFA13,POLR1D,NF2,C17ORF97,H1F0,ZNF681,SUPT5H,ZNF140,GPAA1,MYO1C,SPG7,ZNF335,PRIM1,ZNF28,GRK5,AKT1S1,ATXN2,RNF208,QTRT1,CSNK1E,EXOSC6,TAPBP,RBM14,ZNF585B,ZNF225",1.48452897992254
"8","yellow",TRUE,0.0151,2065,493,92,0.187,0.045,"GO:0009056","BP",7,"catabolic process",2,"UPF1,CAPN1,RANBP3,PNPLA6,EDC4,PHF23,TBC1D25,MARK2,TOLLIP,AURKA,CNOT3,KHSRP,EDEM2,NUP50,CRAT,CDC34,GCAT,DEPDC5,XBP1,FOXRED2,N4BP1,NPRL3,TSC2,FBXO31,UBE2I,BCKDK,RNF40,IL4I1,SGTA,GSK3A,OGDH,HSPB1,PSMD3,TNFAIP1,ATG2A,PRPF19,C11ORF51,DDX6,NUP98,PRKAB1,PPARD,CTSD,RAD23B,LYPLA1,C12ORF44,CLPP,PSMF1,CAPNS1,NR1D1,CLN6,MAP1S,CHMP2A,C19ORF12,FBXO18,NUDT15,ATP6V1G1,FURIN,EIF4A3,CSNK1D,ANAPC11,RPTOR,AKT1,SNX12,LONRF1,VPS28,TMUB1,UBAP1,TSC1,ZFYVE1,MAPK7,VPS39,PRDX2,CCBL1,SNX32,RAB1B,KCTD13,SMCR8,ULK1,HNRNPA0,SIAH2,MTA1,HGS,UBE2L3,IRS2,NDUFA13,C17ORF97,H1F0,SUPT5H,ATG9A,CSNK1E,EXOSC6,PIP4K2B",3.57415318246847
"9","yellow",TRUE,0.00451,775,493,46,0.093,0.059,"GO:0009894","BP",7,"regulation of catabolic process",3,"UPF1,CAPN1,PHF23,TBC1D25,KHSRP,EDEM2,NUP50,DEPDC5,N4BP1,NPRL3,TSC2,SGTA,GSK3A,HSPB1,PSMD3,C11ORF51,NUP98,PRKAB1,RAD23B,C12ORF44,PSMF1,CAPNS1,NUDT15,ATP6V1G1,FURIN,CSNK1D,ANAPC11,RPTOR,AKT1,SNX12,LONRF1,VPS28,TSC1,MAPK7,SNX32,RAB1B,SMCR8,ULK1,HNRNPA0,HGS,IRS2,NDUFA13,SUPT5H,CSNK1E,EXOSC6,PIP4K2B",5.01043790619549
"10","yellow",TRUE,2.55e-05,8796,493,311,0.631,0.035,"GO:0044237","BP",7,"cellular metabolic process",1,"UPF1,DHX33,LIG3,CREBBP,PDK2,ELAC2,QPCTL,ERCC1,DNASE1L1,POLA2,CAPN1,COX15,RNF10,STRAP,RANBP3,PNPLA6,USP2,EDC4,PHF23,PHPT1,FAM168A,UNKL,COASY,TBC1D25,FTSJ1,MNT,CPSF1,MARK2,GTF3C1,SNRPA,CBFA2T2,TOLLIP,CIC,SRCAP,NFE2L1,SSH1,AGBL5,CHERP,PIGS,AURKA,CNOT3,KHSRP,EDEM2,NUP50,CRAT,SH2D3C,ATP5D,TECR,CDC34,MED15,BCL2L13,SF3A1,PES1,DGCR14,GGA1,HIRA,TFIP11,GCAT,DEPDC5,XBP1,JOSD1,SBF1,FOXRED2,ACO2,POLR3H,PMM1,DCAF11,REC8,PCIF1,GINS1,BMP7,GMEB2,NKAP,PORCN,MGRN1,ZNF629,N4BP1,ARL2BP,VAC14,NPRL3,TSC2,FBXO31,UBE2I,DNAJA3,CDIPT,BCKDK,RNF40,CD276,INTS9,SARS2,PIH1D1,ERCC2,IL4I1,SGTA,MED25,SNAPC2,DYRK1B,MRPL4,DBP,MIER2,PRPF31,JAK3,GSK3A,OGDH,HSPB1,TAF6,RAPGEF1,GBF1,PSMD3,HSD17B1,MLX,DPH1,TNFAIP1,SUPT6H,ATG2A,PRPF19,C11ORF51,DDX6,NUP98,PRKAB1,PPARD,PPM1G,WDR77,CTSD,KLF9,RAD23B,NR4A3,LYPLA1,GTF3A,MRPS2,DDX54,NR4A1,C12ORF44,DDX27,NQO2,NDUFA1,GGA3,CLPP,SYMPK,PSMF1,SNRPB,CITED1,KDM5C,CAPNS1,NR1D1,FLRT1,TRAP1,TRAF2,POR,TPST2,CLN6,MPDU1,MAP1S,CHMP2A,C19ORF12,MYBBP1A,WBP2,GPS2,ERAL1,TERF2,PEMT,SRRM1,CSNK1G2,MEN1,FBXO18,NUDT15,DBNL,NMT1,CDK9,USP20,ATP6V1G1,DPM2,FRS3,PEX5,MAP3K12,SETD1B,DCAF5,FURIN,NDUFB10,PDPK1,TCF25,NOB1,BCAS3,WRAP53,EIF4A3,CSNK1D,ANAPC11,RPTOR,FOXK2,MBD1,BRD4,SIRT3,AKT1,CARM1,WDTC1,ARF1,SNX12,ASB6,INPP5E,PPRC1,ADM,TUT1,INCENP,CPSF7,PPP4C,TAOK2,IPMK,ZDHHC7,CEBPG,LONRF1,OXA1L,ZIC3,B4GALT3,MRPL10,CTBP1,ZDHHC1,NR2F6,G6PD,NACC1,LY6E,VPS28,PGAP3,TAF6L,TKT,TMUB1,FOXK1,UBAP1,TSC1,ZFYVE1,MAPK7,VPS39,PRDX2,ABCA3,SRRM2,MGAT2,CHTF8,APEX2,NDUFA3,CCBL1,ZDHHC16,TCEA2,DPAGT1,BSG,HINFP,PPP1CA,HCFC1,SNX32,PRPF8,BRMS1,RAB1B,KCTD13,MED16,CHST1,DOLK,PPP2R2D,DRAP1,IP6K1,COX8A,EID2,WSB2,SMCR8,ULK1,POLR2L,HNRNPA0,GRB2,EIF3K,PER1,POLR2A,SIAH2,MRPL41,MRPS16,SHMT2,GLRX5,MTA1,EP400,NDUFB1,CBX6,POU6F1,TOP1MT,NOC4L,RAB11B,HGS,UBE2L3,IRS2,NDUFA13,POLR1D,NF2,C17ORF97,H1F0,ZNF681,SUPT5H,ZNF140,FITM2,GPAA1,ZNF335,PRIM1,ZNF28,GRK5,ATG9A,AGPAT1,AKT1S1,ATXN2,RNF208,QTRT1,CSNK1E,EXOSC6,TAPBP,RBM14,ZNF585B,ZNF225,PIP4K2B",1.33189125738454
