"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"blue","Neuron_probable__Cahoy","Brain",1.60693065603416e-248
"brown","blue_M2_Oligodendrocytes__HumanMeta","Brain",4.82970928990555e-139
"midnightblue","brown_M3_Astrocytes__HumanMeta","Brain",1.22774011830654e-137
"blue","Neuron_definite__Cahoy","Brain",4.13595911521078e-109
"red","pink_M10_Microglia(Type1)__HumanMeta","Brain",4.92587695421779e-100
"midnightblue","Astrocyte_probable__Cahoy","Brain",1.98988295103795e-96
"midnightblue","brown_M15_Astrocyte__CTX","Brain",8.45990816356512e-88
"blue","Autism_associated_module_M12__Voineagu","Brain",4.93854637298785e-87
"brown","turquoise_M9_Oligodendrocyte__CTX","Brain",5.81030686127992e-70
"blue","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",1.97563422704511e-65
"brown","Oligodendrocyte_probable__Cahoy","Brain",5.1881313856369e-63
"blue","PostSynapticDensity_proteins__Bayes","Brain",3.21375099526958e-60
"cyan","Neuron_probable__Cahoy","Brain",1.20965260246457e-57
"grey60","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",1.60028719994487e-56
"blue","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",4.3071468736774e-54
"blue","green_M5_Mitochondria__HumanMeta","Brain",1.38143914183329e-51
"blue","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",1.69179761149878e-49
"grey60","blue_M16_Neuron__CTX","Brain",1.37629475268514e-44
"blue","purple_downAD_synapticTransmission__Blalock_AD","Brain",7.75775102059781e-44
"grey60","red_M11_Neuron__HumanMeta","Brain",2.1179457402385e-43
"blue","blue_downAD_metalIonTransport_glycoprotein__Blalock_AD","Brain",1.01519293520326e-40
"grey60","brown_downAD_mitochondrion__Blalock_AD","Brain",2.00573375118826e-40
"midnightblue","Astrocyte_definite__Cahoy","Brain",8.72354039598632e-40
"blue","brown_Cortex__HumanChimp","Brain",2.24305022003734e-38
"blue","Neuron__ABA","Brain",5.66679156362405e-38
"blue","pink_downAD_synapticTransmission__Blalock_AD","Brain",1.0729590109349e-36
"brown","tan_noChangeAD_oligo_plasmaMembrane__Blalock_AD","Brain",3.11333842852081e-35
"grey60","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.87419796911273e-34
"midnightblue","red_ACCandCaudate__HumanChimp","Brain",1.33718990739626e-33
"midnightblue","brown_upAging_copperHomeostatisMT1__Lu_Aging","Brain",7.13223698592109e-33
"red","upInFrontalCortex__EarlyAD","Brain",7.93492909515936e-33
"greenyellow","Astrocyte_probable__Cahoy","Brain",1.70126625430103e-31
"brown","Oligodendrocyte_definite__Cahoy","Brain",5.7430109817931e-31
"blue","GlutamatergicNeuronsInMouseCortex_Sugino__MO","Brain",1.18962843609656e-29
"purple","Astrocyte_probable__Cahoy","Brain",2.30165330772796e-29
"grey60","turquoise_M14_Nucleus__MouseMeta","Brain",1.5934189819061e-27
"blue","greenyellow_M6_GlutatmatergicSynapse__HumanMeta","Brain",9.4052280432559e-27
"red","purple_M4_Microglia(Type1)__CTX","Brain",9.58333151765498e-27
"blue","green_M10_GlutamatergicSynapticFunction__CTX","Brain",8.07882631663461e-26
"pink","turquoise_M14_Nucleus__HumanMeta","Brain",8.14190142147975e-26
"purple","brown_M3_Astrocytes__HumanMeta","Brain",3.86849966194714e-25
"purple","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",9.58779682116805e-25
"brown","turquoise_upAging_oligo__Lu_Aging","Brain",6.15076045621843e-24
"grey60","yellow_M18__CTX","Brain",1.27620105644586e-21
"blue","magenta_downAD_synapticTransmission__Blalock_AD","Brain",3.20952815029027e-21
"greenyellow","brown_M3_Astrocytes__HumanMeta","Brain",9.67234627679065e-20
"blue","black_M1_PvalbInterneurons__HumanMeta","Brain",1.08739227358824e-19
"blue","blue_Cortex__HumanChimp","Brain",2.18026888618022e-18
"brown","Oligodendrocyte__ABA","Brain",3.69295140274751e-18
"blue","greenyellow_M6_GlutatmatergicSynapse__MouseMeta","Brain",5.97710649818069e-18
"grey60","brown_pyramidalNeurons_Layer5/basolateralAmygdala__Sugino/Winden","Brain",7.17943074399606e-18
"cyan","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",2.89079009919299e-17
"blue","greenyellow_downAD_ionAndCalciumTransport__Blalock_AD","Brain",5.99835636612846e-16
"grey60","blue_Cortex__HumanChimp","Brain",3.69940923529982e-15
"grey60","PostSynapticDensity_proteins__Bayes","Brain",3.88637226154762e-15
