"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"1","tan",TRUE,4.89e-06,5142,840,327,0.389,0.064,"GO:0071840","BP",2,"cellular component organization or biogenesis",1,"SARM1,LIG3,CIAPIN1,CREBBP,CDK11A,CLCN6,WIZ,PSMC4,COX15,NUDCD3,ALAS1,B4GALT7,NOP16,FAM160A2,ATP9A,RASGRF1,OGFR,EPN1,GPC1,NGFR,AP3D1,WDR18,PRKCZ,TBC1D25,CSNK2A2,NCK2,PRKACA,MARK2,AP1M1,MRPS34,FSCN1,EXOSC5,CAPZB,ATG16L1,MAST2,EPB41L1,NSFL1C,DYNLL1,MRPS33,DPYSL2,HSP90AB1,H2AFY2,MAST3,PALM,KLHL22,CABIN1,SF3A1,GGA1,HIRA,EP300,CHD8,REC8,RAE1,HM13,TM9SF4,MAP1LC3A,ACOT8,EMD,MAPK3,NUTF2,NUP93,NPRL3,TSC2,DNAJA3,PEX11G,ERCC2,MED25,MRPL4,NAPA,PTPRS,MEGF8,CYTH2,MIER2,PRPF31,GSK3A,SIPA1L3,GRB10,TBC1D13,HPS1,GBF1,PEX12,HDAC5,TNFAIP1,NRXN2,PRPF19,MADD,RAB35,BYSL,MRPL2,PAPD7,FAF2,ARSB,RAD1,SNX17,PCGF1,STK25,GORASP2,BCL9,ARHGEF2,DNAJC6,SMG7,EBNA1BP2,FAM54B,ARID1A,MRPS2,C12ORF44,USP22,TBCC,GGA3,NCLN,DYNLRB1,LRFN3,CAPNS1,THRA,BECN1,NUP214,TRAF2,YEATS4,SIN3B,EPS15L1,SMARCA4,MRPS12,CLN6,GNL3L,ECSIT,MAP1S,TUBGCP2,ADRM1,EXOSC2,ATG4D,CHMP1A,TUBG1,VPS25,ZNF304,DHX30,ARFIP2,INPP5K,WBP2,ERAL1,TERF2,VPS4A,PTPRA,SYT11,CASP9,PEMT,CSNK1G2,MEN1,NAT10,TGFBRAP1,DDX56,DBNL,NMT1,CDK9,TOR1A,DCTN3,PREB,ACTR1A,SEMA7A,SETD1B,VPS33A,IGF1R,FURIN,PDPK1,BCAS3,WRAP53,MINK1,CSNK1D,RPTOR,SIRT3,PEX14,SH3BGRL3,CELSR2,ISG20L2,GATAD2B,ARF1,CAND2,TTBK1,ZMYM3,SEC16A,PPRC1,TMEM138,CPSF7,EI24,MRPL49,TAOK2,CDC123,SPOCK1,EPHB1,MMS19,ZFYVE27,RAB39B,BRPF1,SKI,NDUFS2,FBXW5,HLCS,CHCHD6,CTBP1,ATP6V0D1,ZYX,PCNT,BRSK1,VPS11,NACC1,VPS28,LRWD1,SENP3,STX5,NOL9,PEF1,PEX19,VPS72,ATXN7,LRPAP1,APEH,MON1A,NOL6,VCP,NSD1,PRDX3,MAPK7,CENPV,COG1,VPS39,MRPL16,PIP4K2C,TRAPPC9,DAPK3,OTUB1,NDUFV1,MLST8,DDB1,ATXN2L,CHTF8,LETM1,LMAN2,GPS1,NLGN2,TRAPPC1,TMEM43,NDUFA3,HDAC3,TLN2,DPAGT1,BSG,PPP1CA,HCFC1,KAT5,TADA2B,MRP63,ESRRA,RNF26,PRPF8,BRSK2,RAB1B,KCTD13,DCTN2,TOM1L2,SMCR8,ULK1,GBA,IMP3,MPI,GAK,FARSA,PACS2,MYADM,TRAPPC5,MRPS16,NPLOC4,AP2A2,RUVBL2,EP400,NOC4L,RAB11B,HGS,UBE2L3,IRS2,CIDEC,MCRS1,DNER,NOC2L,SF3B3,BLOC1S3,ZKSCAN3,RRP7A,NTNG2,IPO4,AP2A1,DYNC1H1,FITM2,MRPL21,DACT3,HTT,GPAA1,ZNF335,QRICH1,UNC13B,LDB1,MTOR,DENND4B,RUNDC1,SREBF2,DCLRE1A,ATG9A,PHACTR4,RING1,CSNK2B,BAT3,ATXN2,TECPR1,ARL2,NCKIPSD,CSNK1E,TTLL3,VAMP2,EXOSC6,ELFN1,RBM14,ADSL,RPP21,TWF2,CUX1,TIMM23,EGLN2,PIP4K2B,MRM1",2.24797428336949
"2","tan",TRUE,5.23e-05,4939,840,311,0.37,0.063,"GO:0016043","BP",2,"cellular component organization",2,"SARM1,LIG3,CIAPIN1,CREBBP,CDK11A,CLCN6,WIZ,PSMC4,COX15,NUDCD3,ALAS1,B4GALT7,FAM160A2,ATP9A,RASGRF1,OGFR,EPN1,GPC1,NGFR,AP3D1,PRKCZ,TBC1D25,CSNK2A2,NCK2,PRKACA,MARK2,AP1M1,MRPS34,FSCN1,CAPZB,ATG16L1,MAST2,EPB41L1,NSFL1C,DYNLL1,MRPS33,DPYSL2,HSP90AB1,H2AFY2,MAST3,PALM,KLHL22,CABIN1,SF3A1,GGA1,HIRA,EP300,CHD8,REC8,RAE1,HM13,TM9SF4,MAP1LC3A,ACOT8,EMD,MAPK3,NUTF2,NUP93,NPRL3,TSC2,DNAJA3,PEX11G,ERCC2,MED25,MRPL4,NAPA,PTPRS,MEGF8,CYTH2,MIER2,PRPF31,GSK3A,SIPA1L3,GRB10,TBC1D13,HPS1,GBF1,PEX12,HDAC5,TNFAIP1,NRXN2,PRPF19,MADD,RAB35,MRPL2,PAPD7,FAF2,ARSB,RAD1,SNX17,PCGF1,STK25,GORASP2,BCL9,ARHGEF2,DNAJC6,SMG7,FAM54B,ARID1A,MRPS2,C12ORF44,USP22,TBCC,GGA3,NCLN,DYNLRB1,LRFN3,CAPNS1,THRA,BECN1,NUP214,TRAF2,YEATS4,SIN3B,EPS15L1,SMARCA4,MRPS12,CLN6,GNL3L,ECSIT,MAP1S,TUBGCP2,ADRM1,EXOSC2,ATG4D,CHMP1A,TUBG1,VPS25,ZNF304,DHX30,ARFIP2,INPP5K,WBP2,ERAL1,TERF2,VPS4A,PTPRA,SYT11,CASP9,PEMT,CSNK1G2,MEN1,NAT10,TGFBRAP1,DBNL,NMT1,CDK9,TOR1A,DCTN3,PREB,ACTR1A,SEMA7A,SETD1B,VPS33A,IGF1R,FURIN,PDPK1,BCAS3,WRAP53,MINK1,CSNK1D,RPTOR,SIRT3,PEX14,SH3BGRL3,CELSR2,GATAD2B,ARF1,CAND2,TTBK1,ZMYM3,SEC16A,PPRC1,TMEM138,CPSF7,EI24,MRPL49,TAOK2,CDC123,SPOCK1,EPHB1,MMS19,ZFYVE27,RAB39B,BRPF1,SKI,NDUFS2,FBXW5,HLCS,CHCHD6,CTBP1,ATP6V0D1,ZYX,PCNT,BRSK1,VPS11,NACC1,VPS28,LRWD1,STX5,PEF1,PEX19,VPS72,ATXN7,LRPAP1,APEH,MON1A,VCP,NSD1,PRDX3,MAPK7,CENPV,COG1,VPS39,MRPL16,PIP4K2C,TRAPPC9,DAPK3,OTUB1,NDUFV1,MLST8,DDB1,ATXN2L,CHTF8,LETM1,LMAN2,GPS1,NLGN2,TRAPPC1,TMEM43,NDUFA3,HDAC3,TLN2,DPAGT1,BSG,PPP1CA,HCFC1,KAT5,TADA2B,MRP63,ESRRA,RNF26,PRPF8,BRSK2,RAB1B,KCTD13,DCTN2,TOM1L2,SMCR8,ULK1,GBA,GAK,FARSA,PACS2,MYADM,TRAPPC5,MRPS16,NPLOC4,AP2A2,RUVBL2,EP400,RAB11B,HGS,UBE2L3,IRS2,CIDEC,MCRS1,DNER,NOC2L,SF3B3,BLOC1S3,ZKSCAN3,RRP7A,NTNG2,IPO4,AP2A1,DYNC1H1,FITM2,MRPL21,DACT3,HTT,GPAA1,ZNF335,QRICH1,UNC13B,LDB1,MTOR,DENND4B,RUNDC1,SREBF2,DCLRE1A,ATG9A,PHACTR4,RING1,CSNK2B,BAT3,ATXN2,TECPR1,ARL2,NCKIPSD,CSNK1E,TTLL3,VAMP2,ELFN1,RBM14,ADSL,TWF2,CUX1,TIMM23,EGLN2,PIP4K2B",2.26874934594445
"3","tan",TRUE,0.000144,497,840,53,0.063,0.107,"GO:0022411","BP",2,"cellular component disassembly",3,"TBC1D25,CSNK2A2,MARK2,MRPS34,FSCN1,CAPZB,MRPS33,RAE1,MAP1LC3A,EMD,NUP93,TSC2,MRPL4,NAPA,GSK3A,GBF1,MRPL2,ARHGEF2,DNAJC6,ARID1A,MRPS2,CAPNS1,BECN1,NUP214,SMARCA4,MRPS12,MAP1S,ATG4D,CHMP1A,ERAL1,VPS4A,VPS33A,FURIN,PEX14,SH3BGRL3,MRPL49,STX5,APEH,VCP,MRPL16,BSG,PPP1CA,MRP63,SMCR8,GBA,GAK,MRPS16,MRPL21,HTT,SREBF2,ATG9A,TECPR1,TWF2",5.09386718980262
"4","tan",TRUE,0.00135,263,840,33,0.039,0.125,"GO:0032984","BP",2,"macromolecular complex disassembly",4,"TBC1D25,MRPS34,CAPZB,MRPS33,MAP1LC3A,MRPL4,NAPA,MRPL2,ARHGEF2,DNAJC6,ARID1A,MRPS2,SMARCA4,MRPS12,CHMP1A,ERAL1,VPS4A,VPS33A,PEX14,SH3BGRL3,MRPL49,APEH,VCP,MRPL16,PPP1CA,MRP63,SMCR8,GBA,GAK,MRPS16,MRPL21,TECPR1,TWF2",5.98834744910388
"5","tan",TRUE,0.000169,3065,840,208,0.248,0.068,"GO:0006996","BP",2,"organelle organization",3,"LIG3,CREBBP,NUDCD3,ALAS1,FAM160A2,AP3D1,TBC1D25,CSNK2A2,NCK2,PRKACA,MARK2,AP1M1,FSCN1,CAPZB,ATG16L1,MAST2,EPB41L1,NSFL1C,DYNLL1,DPYSL2,HSP90AB1,H2AFY2,MAST3,KLHL22,CABIN1,HIRA,EP300,CHD8,REC8,RAE1,MAP1LC3A,ACOT8,EMD,MAPK3,NUTF2,NUP93,NPRL3,TSC2,DNAJA3,PEX11G,ERCC2,NAPA,CYTH2,MIER2,GSK3A,SIPA1L3,TBC1D13,HPS1,GBF1,PEX12,HDAC5,TNFAIP1,NRXN2,PAPD7,FAF2,ARSB,RAD1,PCGF1,STK25,GORASP2,ARHGEF2,SMG7,FAM54B,ARID1A,C12ORF44,USP22,DYNLRB1,BECN1,NUP214,YEATS4,SIN3B,SMARCA4,CLN6,GNL3L,ECSIT,MAP1S,TUBGCP2,ATG4D,CHMP1A,TUBG1,VPS25,ZNF304,DHX30,ARFIP2,INPP5K,WBP2,ERAL1,TERF2,VPS4A,SYT11,PEMT,NAT10,TGFBRAP1,DBNL,NMT1,CDK9,TOR1A,DCTN3,PREB,ACTR1A,SETD1B,VPS33A,PDPK1,BCAS3,WRAP53,MINK1,CSNK1D,SIRT3,PEX14,SH3BGRL3,GATAD2B,ARF1,ZMYM3,SEC16A,PPRC1,TMEM138,TAOK2,ZFYVE27,BRPF1,NDUFS2,FBXW5,HLCS,CHCHD6,CTBP1,ATP6V0D1,ZYX,PCNT,BRSK1,VPS11,VPS28,LRWD1,STX5,PEF1,PEX19,VPS72,ATXN7,NSD1,PRDX3,CENPV,COG1,VPS39,PIP4K2C,TRAPPC9,DAPK3,OTUB1,NDUFV1,MLST8,DDB1,ATXN2L,CHTF8,LETM1,GPS1,NLGN2,TRAPPC1,TMEM43,NDUFA3,HDAC3,HCFC1,KAT5,TADA2B,ESRRA,RNF26,BRSK2,RAB1B,KCTD13,DCTN2,TOM1L2,SMCR8,GAK,PACS2,MYADM,TRAPPC5,NPLOC4,RUVBL2,EP400,HGS,UBE2L3,CIDEC,MCRS1,NOC2L,BLOC1S3,ZKSCAN3,RRP7A,IPO4,DYNC1H1,FITM2,HTT,ZNF335,QRICH1,LDB1,MTOR,RUNDC1,SREBF2,DCLRE1A,ATG9A,PHACTR4,RING1,BAT3,ATXN2,ARL2,NCKIPSD,CSNK1E,TTLL3,VAMP2,RBM14,TWF2,TIMM23,PIP4K2B",2.9244389639695
"6","tan",TRUE,0.0111,130,840,20,0.024,0.154,"GO:0007033","BP",2,"vacuole organization",4,"FAM160A2,ATG16L1,NSFL1C,MAP1LC3A,NPRL3,HPS1,ARSB,C12ORF44,BECN1,CLN6,ATG4D,VPS33A,VPS11,PIP4K2C,RAB1B,SMCR8,PACS2,ZKSCAN3,ATG9A,PIP4K2B",6.73848156103744
"7","tan",TRUE,0.000612,230,840,31,0.037,0.135,"GO:0043241","BP",2,"protein complex disassembly",1,"TBC1D25,MRPS34,CAPZB,MRPS33,MAP1LC3A,MRPL4,NAPA,MRPL2,ARHGEF2,DNAJC6,MRPS2,MRPS12,CHMP1A,ERAL1,VPS4A,VPS33A,PEX14,SH3BGRL3,MRPL49,APEH,VCP,MRPL16,PPP1CA,MRP63,SMCR8,GBA,GAK,MRPS16,MRPL21,TECPR1,TWF2",6.0269852418093
"8","tan",TRUE,0.0245,160,840,22,0.026,0.138,"GO:0043624","BP",2,"cellular protein complex disassembly",2,"MRPS34,CAPZB,MRPS33,MRPL4,NAPA,MRPL2,ARHGEF2,DNAJC6,MRPS2,MRPS12,ERAL1,VPS4A,PEX14,SH3BGRL3,MRPL49,APEH,MRPL16,MRP63,GAK,MRPS16,MRPL21,TWF2",6.12229542161362
"9","tan",TRUE,0.000514,2338,840,165,0.196,0.071,"GO:0051641","BP",8,"cellular localization",1,"PKD1,SLC25A39,ZC3H3,NUDCD3,FAM160A2,NGFR,CTSA,AP3D1,TBC1D25,RNF126,CSNK2A2,ATP6AP1,CPSF1,PRKACA,MARK2,AP1M1,CAPZB,CHERP,EDEM2,DYNLL1,HSP90AB1,H2AFY2,GGA1,TOM1,RAE1,HM13,TM9SF4,EMD,MGRN1,MAPK3,NUTF2,NUP93,TSC2,DNAJA3,NAPA,KDELR1,PRPF31,PIK3R2,GSK3A,TBC1D13,GBF1,SLC25A11,PEX12,NRXN2,PRPF19,VPS29,RAB35,FAF2,ARSB,SNX17,STK25,ICMT,ARHGEF2,DNAJC6,SMG7,XPO5,GGA3,DYNLRB1,TMEM115,BECN1,NUP214,GNL3L,MAP1S,EXOSC2,ATG4D,CHMP1A,TUBG1,VPS25,INPP5K,MYBBP1A,TERF2,VPS4A,SYT11,PEMT,SRRM1,TGFBRAP1,NMT1,TOR1A,DCTN3,TAF8,PREB,ACTR1A,C12ORF52,VPS33A,PDPK1,VPS53,BCAS3,WRAP53,CSNK1D,RERE,PEX14,GPN2,SLC25A38,SEC16A,HYOU1,B3GAT3,TAOK2,DLG2,ZFYVE27,AP3S2,ATP6V0D1,PCNT,BRSK1,VPS11,SLC25A44,VPS28,LRWD1,U2AF1L4,STX5,PEF1,PEX19,UBAP1,NOL6,VCP,TMED3,COG1,VPS39,SCG5,TRAPPC9,YIF1B,LETM1,NLGN2,TRAPPC1,HDAC3,C2CD2L,ADCY5,BRSK2,RAB1B,DCTN2,FAM89B,BET1L,GAK,CYC1,PACS2,TRAPPC5,SLC25A42,NPLOC4,RUVBL2,RAB11B,HGS,UBE2L3,MCRS1,BLOC1S3,IPO4,AP2A1,DYNC1H1,DACT3,HTT,RAB40C,GPAA1,IPO9,UNC13B,RUNDC1,SREBF2,ATG9A,SYS1,BAT3,PPP1R10,RNPS1,ARL2,NCKIPSD,CSNK1E,VAMP2,TWF2,TIMM23",3.24197399957096
"10","tan",TRUE,0.000966,1416,840,110,0.131,0.078,"GO:0070727","BP",8,"cellular macromolecule localization",2,"PKD1,ZC3H3,NUDCD3,NGFR,CTSA,AP3D1,TBC1D25,CSNK2A2,CPSF1,CHERP,EDEM2,DYNLL1,HSP90AB1,H2AFY2,GGA1,RAE1,HM13,TM9SF4,EMD,NUTF2,NUP93,TSC2,DNAJA3,NAPA,KDELR1,PIK3R2,GSK3A,TBC1D13,GBF1,PEX12,NRXN2,PRPF19,VPS29,RAB35,FAF2,SNX17,ICMT,ARHGEF2,SMG7,XPO5,GGA3,DYNLRB1,NUP214,GNL3L,EXOSC2,ATG4D,VPS25,INPP5K,TERF2,VPS4A,SYT11,PEMT,SRRM1,NMT1,TOR1A,TAF8,PREB,BCAS3,WRAP53,CSNK1D,RERE,PEX14,GPN2,B3GAT3,TAOK2,DLG2,ZFYVE27,AP3S2,PCNT,VPS11,VPS28,LRWD1,U2AF1L4,STX5,PEX19,NOL6,VCP,SCG5,NLGN2,HDAC3,BRSK2,DCTN2,FAM89B,GAK,PACS2,NPLOC4,RUVBL2,RAB11B,HGS,UBE2L3,MCRS1,IPO4,AP2A1,DACT3,RAB40C,GPAA1,IPO9,RUNDC1,SREBF2,ATG9A,SYS1,BAT3,PPP1R10,RNPS1,ARL2,NCKIPSD,CSNK1E,VAMP2,TWF2,TIMM23",4.21374105910208
